anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28089.41488,11475.96063,3298.316228,274.4024224,324.7440397,98.39054523,1024.572415,1722.109422,1827.64543,2020.103644,-297.994222,-52.48528268,1600.844595,2131.091685,0,1.062254843,16019.18991,13999.08627,2523.12564
2011,28976.97508,11707.61829,3204.017473,247.3659334,579.9078657,331.3371406,486.9378972,1645.548837,1697.199669,1830.549092,-185.000255,190.4273858,1737.959754,2281.33261,0,1.083697882,16255.88996,14425.34087,2717.722581
2012,29560.25401,11958.61739,3142.018,670.2354881,181.4734493,472.6890618,915.2733298,2239.671329,2318.257054,1764.971465,474.6998641,-315.2078518,1789.203,2359.7,0,1.106931232,16533.1876,14768.21613,2809.598737
2013,30354.24829,12155.58331,3066.668636,464.060776,334.7779094,749.0901805,530.6877955,2078.616661,2133.773443,1817.771626,260.8450351,83.1183865,1813.000954,2314.001983,0,1.125163083,16938.14274,15120.37112,2964.787811
2014,31294.83586,12497.8909,3043.148649,631.4127562,103.7141558,949.2681548,598.8860755,2283.281142,2335.754858,1894.373931,388.9072116,79.2199443,1861.772477,2400.943252,0,1.156848264,17416.84357,15522.46964,3024.578745
2015,32268.66313,12989.74031,3099.013496,1130.482423,2.165786445,565.1369348,809.9845577,2507.769702,2563.458193,2030.966206,476.803496,140.6993749,1786.331162,2449.018461,0,1.202375557,18130.22407,16099.25786,3109.517559
2016,32894.37726,13383.70693,3153.230443,1027.786266,0,1152.553821,471.2882393,2651.628326,2682.621251,2114.022553,537.6057723,35.53414755,1792.891133,2422.09463,0,1.238842478,18625.88927,16511.86672,3128.159792
2017,34250.70596,13678.39695,3174.345219,1031.668036,0,1040.638431,100.0414635,2172.347931,2133.760575,2296.749652,-124.401721,924.8732868,1869.897522,2503.170818,0,1.266120011,19278.10273,16981.35308,3302.956133
2018,35172.71741,13905.61095,3247.706474,2289.939411,0,1112.446378,0,3402.385789,2930.284003,2442.193866,960.1919228,471.2197931,1924.276746,2597.656693,0,1.28715173,19881.44127,17439.24741,3533.636457
2019,35798.30143,14135.1088,3372.528694,5115.87583,0,1746.555442,0,6862.431271,4932.509803,2810.138301,4052.29297,-1094.847197,1937.66587,2611.710152,0,1.30839485,20671.25582,17861.11752,3726.008717
