anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28031.70947,11379.39732,3298.316228,238.0222569,387.486946,26.15061977,1120.071676,1771.731499,1875.355645,2020.103644,-248.3721452,-51.24052984,1600.844595,2131.091685,0,1.053316608,15971.58158,13951.47793,2572.080608
2011,28774.12999,11554.30954,3204.017473,345.2108854,762.5173005,163.7965906,563.9736132,1835.49839,1914.239529,1815.800472,19.69791782,50.28949215,1737.959754,2281.33261,0,1.069507091,16179.48318,14363.68271,2809.373167
2012,29429.78775,11780.91114,3142.018,559.7387579,542.2166741,301.4899367,863.2337528,2266.679121,2349.778498,1727.798954,538.8801672,-224.2868668,1789.203,2359.7,0,1.090482124,16477.92377,14750.12482,2969.213677
2013,30256.12921,12026.17751,3066.668636,458.3938161,726.9535345,395.4713021,506.0862287,2086.904881,2154.99797,1747.406202,339.4986797,124.5978486,1813.000954,2314.001983,0,1.113184832,16871.44094,15124.03474,3097.857224
2014,31092.18775,12480.97021,3043.148649,467.2846152,682.7506049,447.7951323,552.7598787,2150.590231,2202.511018,1781.959757,368.6304744,81.16569386,1861.772477,2400.943252,0,1.155282026,17268.62479,15486.66503,3005.694828
2015,31883.31532,12936.65335,3099.013496,622.7448524,360.2670723,624.7448664,813.3335551,2421.090346,2467.166975,1824.007881,597.0824655,46.68196411,1786.331162,2449.018461,0,1.197461643,17886.82848,16062.8206,3126.167255
2016,32643.89596,13368.46105,3153.230443,563.3950254,374.562048,1026.65345,459.4687747,2424.079298,2446.965504,1900.027334,524.051964,88.64121342,1792.891133,2422.09463,0,1.237431267,18428.09472,16528.06738,3159.606329
2017,33884.0678,13655.16107,3174.345219,573.3945758,367.0969951,1119.620962,72.10674768,2132.219281,2097.566544,2047.550323,84.66895828,774.3953687,1869.897522,2503.170818,0,1.263969218,19068.19491,17020.64459,3365.483513
2018,35066.61282,13885.78567,3247.706474,556.1246799,1373.678052,1172.518301,0,3102.321033,3014.022877,2246.528402,855.7926312,277.8885685,1924.276746,2597.656693,0,1.285316633,19752.02364,17505.49524,3619.709571
2019,36283.76464,13886.73564,3372.528694,3280.764763,1888.100268,800.2122099,0,5969.077241,4803.224757,2505.05828,3464.018961,-759.152658,1937.66587,2611.710152,0,1.285404566,20629.29215,18124.23387,4237.498232
