vincolo,duale,famiglia
"bilancio[111CA,2010]",9.256347921e-05,bilancio
"bilancio[113FF,2010]",9.256347921e-05,bilancio
"bilancio[211,2010]",6.314786475e-05,bilancio
"bilancio[212,2010]",7.267523464e-05,bilancio
"bilancio[213,2010]",7.860590671e-05,bilancio
"bilancio[22,2010]",7.980999294e-05,bilancio
"bilancio[23,2010]",0.0001059544361,bilancio
"bilancio[321,2010]",9.256347921e-05,bilancio
"bilancio[327,2010]",9.256347921e-05,bilancio
"bilancio[331,2010]",5.71046669e-06,bilancio
"bilancio[332,2010]",9.037494868e-05,bilancio
"bilancio[333,2010]",1.768504225e-05,bilancio
"bilancio[334,2010]",8.166496509e-05,bilancio
"bilancio[335,2010]",8.52939729e-05,bilancio
"bilancio[3361MV,2010]",6.35505543e-06,bilancio
"bilancio[3364OT,2010]",7.361534119e-06,bilancio
"bilancio[337,2010]",9.256347921e-05,bilancio
"bilancio[339,2010]",1.811513303e-05,bilancio
"bilancio[311FT,2010]",9.256347921e-05,bilancio
"bilancio[313TT,2010]",2.398378651e-05,bilancio
"bilancio[315AL,2010]",5.088728757e-05,bilancio
"bilancio[322,2010]",9.256347921e-05,bilancio
"bilancio[323,2010]",9.256347921e-05,bilancio
"bilancio[324,2010]",7.39700386e-05,bilancio
"bilancio[325,2010]",-0,bilancio
"bilancio[326,2010]",8.297153216e-05,bilancio
"bilancio[42,2010]",8.689412526e-05,bilancio
"bilancio[441,2010]",3.354994239e-05,bilancio
"bilancio[445,2010]",9.256347921e-05,bilancio
"bilancio[452,2010]",9.256347921e-05,bilancio
"bilancio[4A0,2010]",9.256347921e-05,bilancio
"bilancio[481,2010]",8.544676567e-05,bilancio
"bilancio[482,2010]",1.639559242e-05,bilancio
"bilancio[483,2010]",8.771848121e-05,bilancio
"bilancio[484,2010]",9.256347921e-05,bilancio
"bilancio[485,2010]",9.256347921e-05,bilancio
"bilancio[486,2010]",7.410980884e-06,bilancio
"bilancio[487OS,2010]",9.256347921e-05,bilancio
"bilancio[493,2010]",9.256347921e-05,bilancio
"bilancio[511,2010]",8.403052016e-05,bilancio
