anno,industria,x,x_oss
2012,111CA,426.8869924,404.166
2012,113FF,45.36911509,46.892
2012,211,415.2701432,362.616
2012,212,118.8457291,124.611
2012,213,25.24175145,126.19
2012,22,508.5931902,461.578
2012,23,1517.543895,1075.477
2012,321,90.31110163,80.398
2012,327,106.2699169,99.294
2012,331,216.9028363,269.218
2012,332,317.0462252,343.079
2012,333,287.7132258,404.552
2012,334,292.5520883,354.253
2012,335,114.9297058,122.794
2012,3361MV,421.6226585,516.699
2012,3364OT,239.9032132,290.815
2012,337,58.01251954,65.729
2012,339,130.2538071,156.592
2012,311FT,959.9504533,895.874
2012,313TT,46.2805011,51.802
2012,315AL,0.9590728877,19.244
2012,322,172.3831048,179.235
2012,323,76.36593079,83.081
2012,324,984.1760626,833.174
2012,325,767.2244127,794.029
2012,326,202.9764531,216.486
2012,42,1605.815547,1655.028
2012,441,217.953488,221.875
2012,445,208.3088127,207.679
2012,452,211.7398914,210.838
2012,4A0,784.393359,763.319
2012,481,207.1081783,195.415
2012,482,77.79475266,79.141
2012,483,52.81448279,50.023
2012,484,284.4884341,297.774
2012,485,50.92478883,50.992
2012,486,38.68462104,36.442
2012,487OS,186.4522237,187.233
2012,493,107.378611,108.888
2012,511,260.5477684,296.233
2012,512,118.0518635,131.699
2012,513,767.9310268,733.128
2012,514,202.2341442,221.543
2012,521CI,767.9879113,761.619
2012,523,505.1417058,478.47
2012,524,825.0670347,798.591
2012,525,139.443112,117.259
2012,HS,1741.231952,1726.663
2012,ORE,1065.647118,889.093
2012,532RL,297.8286027,298.617
2012,5411,349.5446258,306.935
2012,5415,253.4731578,354.223
2012,5412OP,934.5260314,1123.861
2012,55,460.0884616,478.846
2012,561,653.8071426,661.562
2012,562,89.83187318,83.564
2012,61,304.7682537,309.61
2012,621,869.3191156,869.254
2012,622,708.1633648,709.379
2012,623,209.0014016,208.979
2012,624,169.7599234,169.679
2012,711AS,157.3931064,144.767
2012,713,120.0007783,119.836
2012,721,215.237796,214.978
2012,722,614.9159187,613.983
2012,81,576.0770761,576.029
2012,GFGD,671.8577896,676.303
2012,GFGN,367.5746757,370.378
2012,GFE,99.8740563,98.913
2012,GSLG,1952.884669,1947.062
2012,GSLE,327.5408425,298.57
2013,111CA,460.9918056,420.0646127
2013,113FF,49.29064693,48.1981787
2013,211,426.5249213,391.494883
2013,212,124.8612236,118.9735655
2013,213,95.26339473,125.8668437
2013,22,515.9948327,466.0971225
2013,23,931.254768,1128.512488
2013,321,78.63161563,83.89403777
2013,327,97.68116808,102.9350132
2013,331,255.2215668,278.3293753
2013,332,331.3706486,348.5399126
2013,333,304.6141817,391.446297
2013,334,349.6802029,355.2192175
2013,335,109.5289027,123.7550645
2013,3361MV,557.9590581,550.3998909
2013,3364OT,284.1669808,299.0793759
2013,337,60.82104011,66.59806607
2013,339,163.4789648,165.9540944
2013,311FT,1033.328836,913.0265358
2013,313TT,53.75646544,53.18469398
2013,315AL,5.811676752,18.89724949
2013,322,186.6594115,179.9165585
2013,323,82.70198146,82.72247182
2013,324,1067.164885,863.2053806
2013,325,1054.540806,823.2479886
2013,326,221.5534568,219.7654445
2013,42,1788.51769,1721.203425
2013,441,273.7787859,245.1925543
2013,445,208.7485566,207.6042028
2013,452,214.8752577,215.2028244
2013,4A0,786.4688628,799.0861312
2013,481,217.825597,202.4961396
2013,482,84.69116109,80.11151624
2013,483,54.70117052,50.56052114
2013,484,305.2303128,304.5854531
2013,485,55.04829387,54.63903366
2013,486,43.08151198,36.73040608
2013,487OS,196.5173719,190.8201192
2013,493,113.5038356,111.7750646
2013,511,332.9967961,310.9524895
2013,512,146.3581376,136.619994
2013,513,807.6147663,749.7202742
2013,514,239.4695149,240.2347354
2013,521CI,840.091149,777.0406913
2013,523,533.4916107,474.2308528
2013,524,916.8644518,827.3564829
2013,525,161.4748663,135.5303097
2013,HS,1841.315761,1743.029863
2013,ORE,976.5144833,960.4627846
2013,532RL,329.8779214,315.3567273
2013,5411,321.1959034,297.716879
2013,5415,335.6688092,369.3379096
2013,5412OP,1052.344354,1131.560509
2013,55,498.8869587,488.6777069
2013,561,688.052965,681.2134559
2013,562,90.21545159,85.47727804
2013,61,310.4068968,312.3842837
2013,621,865.4180164,865.5747508
2013,622,717.0795796,718.0263465
2013,623,211.6568184,211.6676564
2013,624,171.1620445,171.2084374
2013,711AS,165.8593608,148.7714629
2013,713,123.0799824,122.9797275
2013,721,222.6685998,221.7037595
2013,722,627.4328757,625.6137757
2013,81,577.4595881,574.6962508
2013,GFGD,631.3579557,633.1510606
2013,GFGN,359.3783544,360.5372605
2013,GFE,97.46878879,93.45068235
2013,GSLG,1960.930272,1962.204783
2013,GSLE,329.9226347,302.5492615
2014,111CA,471.7443324,426.9591743
2014,113FF,51.8887194,53.00329593
