anno,industria,tipo,I
2012,111CA,E,0
2012,111CA,S,0
2012,111CA,N,14.88367252
2012,113FF,E,0
2012,113FF,S,0
2012,113FF,N,0
2012,211,E,0
2012,211,S,0
2012,211,N,42.16398251
2012,212,E,0
2012,212,S,0
2012,212,N,0
2012,213,E,0
2012,213,S,0
2012,213,N,0
2012,22,E,0
2012,22,S,0
2012,22,N,0
2012,23,E,0
2012,23,S,0
2012,23,N,0
2012,311FT,E,0
2012,311FT,S,0
2012,311FT,N,0
2012,313TT,E,0
2012,313TT,S,0
2012,313TT,N,0
2012,315AL,E,0
2012,315AL,S,0
2012,315AL,N,0
2012,321,E,0
2012,321,S,0
2012,321,N,0
2012,322,E,0
2012,322,S,0
2012,322,N,0
2012,323,E,0
2012,323,S,0
2012,323,N,0
2012,324,E,38.30234015
2012,324,S,0
2012,324,N,0
2012,325,E,79.01609223
2012,325,S,0
2012,325,N,0
2012,326,E,0
2012,326,S,0
2012,326,N,0
2012,327,E,0
2012,327,S,0
2012,327,N,0
2012,331,E,0
2012,331,S,0
2012,331,N,0
2012,332,E,0
2012,332,S,0
2012,332,N,0
2012,333,E,0
2012,333,S,0
2012,333,N,0
2012,334,E,0
2012,334,S,0
2012,334,N,0
2012,335,E,0
2012,335,S,0
2012,335,N,0
2012,3361MV,E,1.992497605
2012,3361MV,S,0
2012,3361MV,N,0
2012,3364OT,E,0
2012,3364OT,S,0
2012,3364OT,N,0
2012,337,E,0
2012,337,S,0
2012,337,N,0
2012,339,E,0
2012,339,S,0
2012,339,N,0
2012,42,E,82.12021721
2012,42,S,0
2012,42,N,0
2012,441,E,0
2012,441,S,0
2012,441,N,0
2012,445,E,0
2012,445,S,0
2012,445,N,0
2012,452,E,0
2012,452,S,0
2012,452,N,2.14872327
2012,481,E,0
2012,481,S,0
2012,481,N,0
2012,482,E,0
2012,482,S,0
2012,482,N,3.61090211
2012,483,E,5.060768544
2012,483,S,0
2012,483,N,0
2012,484,E,12.88297419
2012,484,S,0
2012,484,N,0
2012,485,E,0
2012,485,S,0
2012,485,N,0
2012,486,E,0
2012,486,S,0
2012,486,N,5.239553084
2012,487OS,E,0
2012,487OS,S,0
2012,487OS,N,0
2012,493,E,2.372242233
2012,493,S,0
2012,493,N,0
2012,4A0,E,0
2012,4A0,S,0
2012,4A0,N,8.249581911
2012,511,E,0
2012,511,S,0
2012,511,N,0
2012,512,E,0
2012,512,S,0
2012,512,N,17.60259313
2012,513,E,147.6148646
2012,513,S,0
2012,513,N,3.344331434
2012,514,E,0
2012,514,S,44.93263224
2012,514,N,0
2012,521CI,E,165.4474978
2012,521CI,S,0
2012,521CI,N,0
2012,523,E,0
2012,523,S,0
2012,523,N,7.913477585
2012,524,E,0
2012,524,S,77.45048566
2012,524,N,0
2012,525,E,0.04136697043
2012,525,S,0
2012,525,N,0
2012,532RL,E,42.70069625
2012,532RL,S,0
2012,532RL,N,0
2012,5411,E,0
2012,5411,S,4.147631477
2012,5411,N,0
2012,5412OP,E,0
2012,5412OP,S,0
2012,5412OP,N,0
2012,5415,E,0
2012,5415,S,0
2012,5415,N,0
2012,55,E,0
2012,55,S,0
2012,55,N,8.60777953
2012,561,E,13.06432324
2012,561,S,0
2012,561,N,0
2012,562,E,0
2012,562,S,0
2012,562,N,0
2012,61,E,0
2012,61,S,0
2012,61,N,11.25570856
2012,621,E,10.90697634
2012,621,S,0
2012,621,N,0
2012,622,E,0
2012,622,S,0
2012,622,N,29.18900604
2012,623,E,0
2012,623,S,0
2012,623,N,1.199201341
2012,624,E,0
2012,624,S,0
2012,624,N,0.350251289
2012,711AS,E,0
2012,711AS,S,0
2012,711AS,N,14.26694092
2012,713,E,0
2012,713,S,0
2012,713,N,0
2012,721,E,0
2012,721,S,0
2012,721,N,0
2012,722,E,12.06703876
2012,722,S,0
2012,722,N,0
2012,81,E,0
2012,81,S,0
2012,81,N,0
2012,ORE,E,0
2012,ORE,S,0
2012,ORE,N,0
2012,HS,R,1330.874749
2013,111CA,E,0
2013,111CA,S,0
2013,111CA,N,20.12858331
2013,113FF,E,0
2013,113FF,S,0
2013,113FF,N,1.311012262
2013,211,E,0
2013,211,S,118.5618445
2013,211,N,21.18885247
2013,212,E,0
2013,212,S,0
2013,212,N,0
2013,213,E,0
2013,213,S,0
2013,213,N,0
2013,22,E,0
2013,22,S,0
2013,22,N,7.234639031
2013,23,E,0
2013,23,S,0
2013,23,N,0
2013,311FT,E,16.23782888
2013,311FT,S,0
2013,311FT,N,0
2013,313TT,E,0
2013,313TT,S,0
2013,313TT,N,0
2013,315AL,E,0
2013,315AL,S,0
2013,315AL,N,0
2013,321,E,0
2013,321,S,0
2013,321,N,0
2013,322,E,0
2013,322,S,0
2013,322,N,6.261401271
2013,323,E,0
2013,323,S,0
2013,323,N,0
2013,324,E,10.63224143
2013,324,S,0
2013,324,N,0
2013,325,E,0
2013,325,S,0
2013,325,N,28.84019537
2013,326,E,2.602428946
2013,326,S,0
2013,326,N,0
2013,327,E,0
2013,327,S,0
2013,327,N,0
2013,331,E,0
2013,331,S,0
2013,331,N,0
2013,332,E,0
2013,332,S,0
2013,332,N,0
2013,333,E,0
2013,333,S,0
2013,333,N,0
2013,334,E,0
2013,334,S,0
2013,334,N,38.44274636
2013,335,E,0
2013,335,S,0
2013,335,N,0
2013,3361MV,E,36.06665605
2013,3361MV,S,0
2013,3361MV,N,0
2013,3364OT,E,12.9015075
2013,3364OT,S,0
2013,3364OT,N,0
2013,337,E,0
2013,337,S,0
2013,337,N,0
2013,339,E,6.9715163
2013,339,S,0
2013,339,N,0
2013,42,E,76.35396588
2013,42,S,0
2013,42,N,0
2013,441,E,0
2013,441,S,0
2013,441,N,0
2013,445,E,0
2013,445,S,0
2013,445,N,2.999437339
2013,452,E,0
2013,452,S,0
2013,452,N,7.457164791
2013,481,E,0
2013,481,S,0
2013,481,N,0
2013,482,E,0
2013,482,S,0
2013,482,N,4.139546888
2013,483,E,4.845995808
2013,483,S,0
2013,483,N,0
2013,484,E,27.60470879
2013,484,S,0
2013,484,N,0
2013,485,E,2.241157234
2013,485,S,0
2013,485,N,0
2013,486,E,0
2013,486,S,0
2013,486,N,6.147441714
2013,487OS,E,0
2013,487OS,S,0
2013,487OS,N,4.357268431
2013,493,E,1.164255104
2013,493,S,0
2013,493,N,0
2013,4A0,E,0
2013,4A0,S,0
2013,4A0,N,26.90132464
2013,511,E,0
2013,511,S,0
2013,511,N,82.16494861
2013,512,E,0
2013,512,S,0
2013,512,N,0
2013,513,E,54.72109491
2013,513,S,0
2013,513,N,110.5412784
2013,514,E,43.36390111
2013,514,S,0
2013,514,N,0
2013,521CI,E,121.0000607
2013,521CI,S,0
2013,521CI,N,0
2013,523,E,0
2013,523,S,0
2013,523,N,11.89722471
2013,524,E,0
2013,524,S,43.980768
2013,524,N,0
2013,525,E,0
2013,525,S,0
2013,525,N,0.8840300021
2013,532RL,E,80.87540797
2013,532RL,S,0
2013,532RL,N,0
2013,5411,E,0
2013,5411,S,4.741477524
2013,5411,N,0
2013,5412OP,E,158.4067581
2013,5412OP,S,0
2013,5412OP,N,0
2013,5415,E,30.58710816
2013,5415,S,0
2013,5415,N,0
2013,55,E,0
2013,55,S,0
2013,55,N,22.4597281
2013,561,E,44.35814316
2013,561,S,0
2013,561,N,0
2013,562,E,0
2013,562,S,0
2013,562,N,3.805534785
2013,61,E,0
2013,61,S,0
2013,61,N,18.78535824
2013,621,E,48.02993275
2013,621,S,0
2013,621,N,0
2013,622,E,0
2013,622,S,0
2013,622,N,34.06198639
2013,623,E,0
2013,623,S,0
2013,623,N,3.557212204
2013,624,E,0
2013,624,S,0
2013,624,N,1.61057633
2013,711AS,E,0
2013,711AS,S,0
2013,711AS,N,17.68138556
2013,713,E,0
2013,713,S,0
