anno,industria,x,x_oss
2012,111CA,426.8869924,404.166
2012,113FF,45.43308459,46.892
2012,211,415.2701432,362.616
2012,212,125.3937489,124.611
2012,213,109.3082015,126.19
2012,22,506.2534835,461.578
2012,23,1517.543895,1075.477
2012,321,90.30242089,80.398
2012,327,106.0956353,99.294
2012,331,210.4240187,269.218
2012,332,309.0620775,343.079
2012,333,251.6629419,404.552
2012,334,282.5176077,354.253
2012,335,112.6104587,122.794
2012,3361MV,405.3318811,516.699
2012,3364OT,236.3660015,290.815
2012,337,56.10336269,65.729
2012,339,127.8798909,156.592
2012,311FT,960.9936224,895.874
2012,313TT,45.98572483,51.802
2012,315AL,0.9373436514,19.244
2012,322,171.7705425,179.235
2012,323,76.60064725,83.081
2012,324,885.2079221,833.174
2012,325,763.6734992,794.029
2012,326,201.8681807,216.486
2012,42,1571.890748,1655.028
2012,441,240.1906772,221.875
2012,445,208.2924845,207.679
2012,452,211.3794611,210.838
2012,4A0,777.8955103,763.319
2012,481,206.9325053,195.415
2012,482,77.05128212,79.141
2012,483,52.81448279,50.023
2012,484,293.7770569,297.774
2012,485,50.86857794,50.992
2012,486,37.44258398,36.442
2012,487OS,186.2029809,187.233
2012,493,107.0685472,108.888
2012,511,251.3956228,296.233
2012,512,113.1268355,131.699
2012,513,761.8271657,733.128
2012,514,198.6096579,221.543
2012,521CI,767.9879113,761.619
2012,523,517.5182881,478.47
2012,524,825.0670347,798.591
2012,525,139.4377532,117.259
2012,HS,1741.231952,1726.663
2012,ORE,1049.102437,889.093
2012,532RL,298.6784155,298.617
2012,5411,349.5446258,306.935
2012,5415,242.6178918,354.223
2012,5412OP,908.602248,1123.861
2012,55,457.0354719,478.846
2012,561,650.4414726,661.562
2012,562,89.85773423,83.564
2012,61,303.9553634,309.61
2012,621,907.6089833,869.254
2012,622,708.2415875,709.379
2012,623,209.0366278,208.979
2012,624,169.7645809,169.679
2012,711AS,156.4281714,144.767
2012,713,120.0148727,119.836
2012,721,215.0927752,214.978
2012,722,614.9362833,613.983
2012,81,576.2252153,576.029
2012,GFGD,671.2698562,676.303
2012,GFGN,367.1880367,370.378
2012,GFE,99.66596399,98.913
2012,GSLG,1952.188616,1947.062
2012,GSLE,326.3321229,298.57
2013,111CA,449.9943071,420.0646127
2013,113FF,48.92922241,48.1981787
2013,211,432.8427264,391.494883
2013,212,121.1433348,118.9735655
2013,213,127.7061788,125.8668437
2013,22,510.9367443,466.0971225
2013,23,1155.070653,1128.512488
2013,321,84.05314123,83.89403777
2013,327,102.7717681,102.9350132
2013,331,240.5932332,278.3293753
2013,332,321.9620624,348.5399126
2013,333,253.9296733,391.446297
2013,334,294.6212945,355.2192175
2013,335,108.7212846,123.7550645
2013,3361MV,509.0656482,550.3998909
2013,3364OT,268.4088464,299.0793759
2013,337,57.08886921,66.59806607
2013,339,158.4735549,165.9540944
2013,311FT,1020.57011,913.0265358
2013,313TT,51.47393672,53.18469398
2013,315AL,4.178115763,18.89724949
2013,322,182.2674365,179.9165585
2013,323,82.15101797,82.72247182
2013,324,1061.599032,863.2053806
2013,325,905.9203213,823.2479886
2013,326,215.8777047,219.7654445
2013,42,1707.687544,1721.203425
2013,441,267.3707611,245.1925543
2013,445,208.6010262,207.6042028
2013,452,214.7147839,215.2028244
2013,4A0,788.9482705,799.0861312
2013,481,217.3333763,202.4961396
2013,482,82.28975377,80.11151624
2013,483,54.51691708,50.56052114
2013,484,311.3753921,304.5854531
2013,485,54.99255141,54.63903366
2013,486,42.57008659,36.73040608
2013,487OS,194.5612624,190.8201192
2013,493,111.4985978,111.7750646
2013,511,330.581572,310.9524895
2013,512,143.1442238,136.619994
2013,513,801.5115488,749.7202742
2013,514,236.5847984,240.2347354
2013,521CI,836.7620794,777.0406913
2013,523,533.5464924,474.2308528
2013,524,919.1839042,827.3564829
2013,525,161.4948514,135.5303097
2013,HS,1829.33687,1743.029863
2013,ORE,1007.440183,960.4627846
2013,532RL,329.9490634,315.3567273
2013,5411,323.1054981,297.716879
2013,5415,325.519734,369.3379096
2013,5412OP,1029.718757,1131.560509
2013,55,486.0236536,488.6777069
2013,561,683.6733929,681.2134559
2013,562,91.20716251,85.47727804
2013,61,309.9923605,312.3842837
2013,621,865.4638241,865.5747508
2013,622,717.0819748,718.0263465
2013,623,211.6653321,211.6676564
2013,624,171.1997186,171.2084374
2013,711AS,164.673712,148.7714629
2013,713,123.0815839,122.9797275
2013,721,222.7280741,221.7037595
2013,722,627.3745329,625.6137757
2013,81,576.8819773,574.6962508
2013,GFGD,630.8442983,633.1510606
2013,GFGN,359.0984518,360.5372605
2013,GFE,96.26019879,93.45068235
2013,GSLG,1962.397222,1962.204783
2013,GSLE,328.6672078,302.5492615
2014,111CA,468.2232325,426.9591743
2014,113FF,51.91835734,53.00329593
2014,211,461.5333164,426.7537306
2014,212,112.5903895,122.4624409
2014,213,113.482719,159.7072121
2014,22,508.0996662,472.1610722
2014,23,971.6569226,1191.792556
2014,321,72.35606523,84.86816984
2014,327,95.98526694,107.0695856
2014,331,227.3709525,278.4018351
2014,332,310.4201593,355.5833421
2014,333,270.0497197,398.1527264
2014,334,321.2415657,354.7213471
2014,335,101.745406,127.3907201
2014,3361MV,448.0161297,587.2035562
2014,3364OT,269.1061263,311.5349482
2014,337,55.01505521,67.44260484
2014,339,151.4544641,160.4764343
2014,311FT,1012.511394,910.5577956
2014,313TT,49.43828625,53.96859719
2014,315AL,3.97027691,18.15784282
2014,322,177.9374885,178.583728
2014,323,80.88772876,81.53338845
2014,324,989.6703328,834.613092
2014,325,820.9379468,810.5917251
2014,326,212.7657636,224.507892
2014,42,1785.971547,1802.327272
2014,441,297.6452275,271.6411199
2014,445,210.8570143,209.9680384
2014,452,217.955498,219.1929247
2014,4A0,798.5961817,827.1238123
2014,481,225.1627487,210.6764134
2014,482,83.52299706,84.81309337
2014,483,56.63079287,52.98547068
2014,484,322.1086885,326.4871626
2014,485,67.25146803,60.86070485
2014,486,42.9315011,39.1053764
2014,487OS,205.9305045,200.4218243
2014,493,111.8757601,112.3573748
2014,511,357.648495,327.2902762
2014,512,124.3487903,138.2572914
2014,513,851.5700476,792.944715
2014,514,254.7022946,260.4244569
2014,521CI,849.1540655,794.9007774
2014,523,522.3367632,466.0142255
2014,524,969.8851503,884.5774773
2014,525,164.0214471,137.51382
2014,HS,1855.547668,1738.811048
2014,ORE,940.7870366,1008.8257
2014,532RL,343.8671705,334.1377749
2014,5411,303.0798499,295.0836616
2014,5415,372.0967817,399.2951331
2014,5412OP,1064.74608,1185.159305
2014,55,518.3020281,519.4258455
2014,561,736.8814455,737.2642375
2014,562,94.47647293,90.3897978
2014,61,312.391151,315.283236
2014,621,1066.522843,892.2740288
2014,622,860.0163166,719.8774351
2014,623,216.3951189,216.2839925
2014,624,177.6791337,177.6651074
2014,711AS,171.7417413,156.8679416
2014,713,125.8418648,125.8390589
2014,721,233.4091321,233.392097
2014,722,652.6644589,650.1047981
2014,81,604.0881652,602.0764871
2014,GFGD,608.9713747,611.1507441
2014,GFGN,360.0935823,361.275454
2014,GFE,94.75212406,91.01968091
2014,GSLG,2011.563233,1974.686571
2014,GSLE,324.467798,302.0676769
2015,111CA,485.9923993,436.0488367
2015,113FF,52.01549678,51.65745506
2015,211,474.3789048,385.4277226
2015,212,100.9737278,116.0829032
2015,213,101.294364,130.5363462
2015,22,503.2315819,467.807517
2015,23,672.7946321,1295.417935
2015,321,69.19548016,90.20827436
2015,327,87.17913725,109.2318949
2015,331,225.9354396,263.6489986
2015,332,297.1428912,347.9478634
2015,333,260.6550943,365.7140668
2015,334,354.641121,357.9108663
2015,335,101.7695907,127.9215545
2015,3361MV,472.0513594,612.0777708
2015,3364OT,269.8886703,312.476085
2015,337,61.17888173,71.61670546
2015,339,154.5765217,162.2099672
2015,311FT,1064.866002,942.6697447
2015,313TT,49.63035269,51.98721063
2015,315AL,6.508995403,17.53919044
2015,322,179.9914923,177.498468
2015,323,82.43557347,80.75759637
2015,324,959.7351406,816.58304
2015,325,816.025855,798.7331198
2015,326,219.6351328,229.5009016
2015,42,1866.872826,1834.793204
2015,441,346.5130885,309.3517
2015,445,212.0705916,211.0073652
2015,452,225.1454304,226.8170894
2015,4A0,952.8542462,869.7926879
2015,481,237.750808,221.8366338
2015,482,79.92990693,81.24824659
2015,483,54.0052301,50.44854095
2015,484,331.020581,332.248169
2015,485,70.3906529,63.65092971
2015,486,45.87254936,41.175425
2015,487OS,218.068314,209.4803452
2015,493,116.1308392,111.8821372
2015,511,393.7033496,331.2869921
2015,512,118.9239522,145.2152306
2015,513,905.7322208,835.6001965
2015,514,289.0201983,287.7877374
2015,521CI,852.5250354,796.9871293
2015,523,514.5483675,457.0513089
2015,524,1011.053537,923.2496697
2015,525,178.6279344,149.5228717
2015,HS,1819.757079,1738.697539
2015,ORE,980.6592402,1080.250361
2015,532RL,339.2469694,330.8324745
2015,5411,301.8504745,297.423745
2015,5415,457.7464776,414.3131013
2015,5412OP,1110.842589,1215.558175
2015,55,547.4859094,536.8542537
2015,561,779.684722,772.1057593
2015,562,95.14440354,92.13327874
2015,61,317.5616493,319.0729495
2015,621,1125.977734,940.9201437
2015,622,900.0585912,753.697788
2015,623,221.2563918,221.2311618
2015,624,184.0180576,184.1032362
2015,711AS,177.2065704,162.5597135
2015,713,129.9359215,129.7115215
2015,721,241.6034107,241.8098771
2015,722,688.3064249,684.9764838
2015,81,615.9330587,613.60812
2015,GFGD,595.2721457,596.7820889
2015,GFGN,370.9503632,371.7633928
2015,GFE,97.09702667,91.98470896
2015,GSLG,2064.60761,2029.242764
2015,GSLE,336.5821267,313.484584
2016,111CA,509.8863003,461.5977536
2016,113FF,46.80602013,48.12054667
2016,211,482.1544221,363.1658128
2016,212,101.2901507,107.0434337
2016,213,90.74958548,71.53234164
2016,22,496.4727212,460.0327092
2016,23,751.5524358,1377.64628
2016,321,66.94748877,92.85185132
2016,327,86.75054661,111.8139082
2016,331,273.0063121,249.8897303
2016,332,279.158943,340.2000873
2016,333,213.8119381,340.6332211
2016,334,418.6348959,365.1531145
2016,335,96.21762598,124.9476687
2016,3361MV,453.0604114,607.1532051
2016,3364OT,250.4614622,288.3043838
2016,337,52.11668024,72.17826789
2016,339,132.3320314,153.12297
2016,311FT,1079.282458,966.2365365
2016,313TT,45.55704404,51.00643607
2016,315AL,6.43069658,17.73403157
2016,322,177.1254163,174.597221
2016,323,88.26226377,84.21199313
2016,324,982.1877467,854.8533907
2016,325,796.8850567,802.0148884
2016,326,213.2862516,229.3779193
2016,42,1956.210192,1842.878735
2016,441,342.7042282,355.9027205
2016,445,211.0611011,210.1535874
2016,452,224.6153483,226.5747737
2016,4A0,881.3164701,907.8122411
2016,481,244.9957063,228.822564
2016,482,73.6037259,75.60502952
2016,483,53.96351957,50.07962994
2016,484,328.6299033,334.3699988
2016,485,70.30033901,63.4733522
2016,486,44.68499661,40.38676408
2016,487OS,224.0701887,214.9900956
2016,493,118.7983542,117.0890189
2016,511,779.9415154,363.3677901
2016,512,118.2385495,146.9240731
2016,513,991.1952676,882.6035539
2016,514,329.6476614,321.0355843
2016,521CI,859.869366,803.9760459
2016,523,499.6357952,441.6527574
2016,524,1015.086488,927.9252361
2016,525,161.4754662,135.0549824
2016,HS,1776.096544,1748.037831
2016,ORE,1025.224258,1129.464425
2016,532RL,349.0045913,337.8197812
2016,5411,301.3545595,296.4068177
2016,5415,402.9673073,452.6479139
2016,5412OP,1022.130192,1249.919785
2016,55,552.4026705,535.9275138
2016,561,826.5985418,819.5221816
2016,562,101.0731313,98.08074578
2016,61,366.992215,322.9982993
2016,621,1180.081935,987.2936635
2016,622,920.6949922,771.4130264
2016,623,223.8092053,223.7906487
2016,624,192.4072847,192.454026
2016,711AS,177.8624463,166.2427471
2016,713,153.9809727,133.9401647
2016,721,274.4106581,246.4954318
2016,722,703.675476,701.2796302
2016,81,632.9131967,630.9903739
2016,GFGD,590.8295784,594.8714443
2016,GFGN,375.1812877,377.678832
2016,GFE,99.92012792,94.17157242
2016,GSLG,2124.794314,2075.765401
2016,GSLE,352.8354832,322.4295374
