anno,industria,tipo,I
2012,111CA,E,0
2012,111CA,S,0
2012,111CA,N,12.91603714
2012,113FF,E,0
2012,113FF,S,0
2012,113FF,N,0
2012,211,E,0
2012,211,S,132.3006188
2012,211,N,0
2012,212,E,0
2012,212,S,0
2012,212,N,0
2012,213,E,0
2012,213,S,0
2012,213,N,0
2012,22,E,0
2012,22,S,0
2012,22,N,0
2012,23,E,0
2012,23,S,0
2012,23,N,0
2012,311FT,E,0
2012,311FT,S,0
2012,311FT,N,0
2012,313TT,E,0
2012,313TT,S,0
2012,313TT,N,0
2012,315AL,E,0
2012,315AL,S,0
2012,315AL,N,0
2012,321,E,0
2012,321,S,0
2012,321,N,0
2012,322,E,0
2012,322,S,0
2012,322,N,0
2012,323,E,0
2012,323,S,0
2012,323,N,0
2012,324,E,37.14300195
2012,324,S,0
2012,324,N,0
2012,325,E,0
2012,325,S,0
2012,325,N,0
2012,326,E,0
2012,326,S,0
2012,326,N,0
2012,327,E,0
2012,327,S,0
2012,327,N,0
2012,331,E,0
2012,331,S,0
2012,331,N,0
2012,332,E,0
2012,332,S,0
2012,332,N,0
2012,333,E,0
2012,333,S,0
2012,333,N,0
2012,334,E,0
2012,334,S,0
2012,334,N,0
2012,335,E,0
2012,335,S,0
2012,335,N,0
2012,3361MV,E,0
2012,3361MV,S,0
2012,3361MV,N,0
2012,3364OT,E,0
2012,3364OT,S,0
2012,3364OT,N,0
2012,337,E,0
2012,337,S,0
2012,337,N,0
2012,339,E,0
2012,339,S,0
2012,339,N,0
2012,42,E,0
2012,42,S,73.3566652
2012,42,N,0
2012,441,E,0
2012,441,S,0
2012,441,N,0
2012,445,E,0
2012,445,S,0
2012,445,N,0
2012,452,E,0
2012,452,S,0
2012,452,N,2.108857273
2012,481,E,0
2012,481,S,0
2012,481,N,0
2012,482,E,0
2012,482,S,0
2012,482,N,2.454474833
2012,483,E,4.910032438
2012,483,S,0
2012,483,N,0
2012,484,E,14.87925988
2012,484,S,0
2012,484,N,0
2012,485,E,0
2012,485,S,0
2012,485,N,0
2012,486,E,0
2012,486,S,0
2012,486,N,4.794288399
2012,487OS,E,0
2012,487OS,S,0
2012,487OS,N,0
2012,493,E,1.819553075
2012,493,S,0
2012,493,N,0
2012,4A0,E,0
2012,4A0,S,0
2012,4A0,N,8.824006339
2012,511,E,0
2012,511,S,0
2012,511,N,0
2012,512,E,0
2012,512,S,0
2012,512,N,12.55317867
2012,513,E,144.7351615
2012,513,S,0
2012,513,N,0
2012,514,E,0
2012,514,S,42.90586718
2012,514,N,0
2012,521CI,E,162.5370835
2012,521CI,S,0
2012,521CI,N,0
2012,523,E,0
2012,523,S,0
2012,523,N,7.917070156
2012,524,E,0
2012,524,S,78.24343171
2012,524,N,0
2012,525,E,0.04448216063
2012,525,S,0
2012,525,N,0
2012,532RL,E,42.77771984
2012,532RL,S,0
2012,532RL,N,0
2012,5411,E,0
2012,5411,S,4.408648778
2012,5411,N,0
2012,5412OP,E,0
2012,5412OP,S,0
2012,5412OP,N,0
2012,5415,E,0
2012,5415,S,0
2012,5415,N,0
2012,55,E,0
2012,55,S,0
2012,55,N,6.665830689
2012,561,E,12.19936528
2012,561,S,0
2012,561,N,0
2012,562,E,0.6339877469
2012,562,S,0
2012,562,N,0
2012,61,E,0
2012,61,S,0
2012,61,N,11.09440694
2012,621,E,10.91915852
2012,621,S,0
2012,621,N,0
2012,622,E,0
2012,622,S,0
2012,622,N,29.18961595
2012,623,E,0
2012,623,S,0
2012,623,N,1.200046582
2012,624,E,0
2012,624,S,0
2012,624,N,0.3521772454
2012,711AS,E,0
2012,711AS,S,0
2012,711AS,N,13.5810461
2012,713,E,0
2012,713,S,0
2012,713,N,0
2012,721,E,0
2012,721,S,0
2012,721,N,0
2012,722,E,12.05126448
2012,722,S,0
2012,722,N,0
2012,81,E,0
2012,81,S,0
2012,81,N,0
2012,ORE,E,0
2012,ORE,S,0
2012,ORE,N,0
2012,HS,R,1218.493759
2013,111CA,E,0
2013,111CA,S,0
2013,111CA,N,20.07137852
2013,113FF,E,0
2013,113FF,S,0
2013,113FF,N,1.316590553
2013,211,E,0
2013,211,S,167.5522195
2013,211,N,0
2013,212,E,0
2013,212,S,0
2013,212,N,0
2013,213,E,0
2013,213,S,0
2013,213,N,0
2013,22,E,0
2013,22,S,0
2013,22,N,3.590920766
2013,23,E,0
2013,23,S,0
2013,23,N,0
2013,311FT,E,0
2013,311FT,S,0
2013,311FT,N,11.58452936
2013,313TT,E,0
2013,313TT,S,0
2013,313TT,N,0
2013,315AL,E,0
2013,315AL,S,0
2013,315AL,N,0
2013,321,E,0
2013,321,S,0
2013,321,N,0
2013,322,E,0
2013,322,S,0
2013,322,N,4.799911334
2013,323,E,0
2013,323,S,0
2013,323,N,0
2013,324,E,0
2013,324,S,11.97480672
2013,324,N,0
2013,325,E,0
2013,325,S,0
2013,325,N,23.11528243
2013,326,E,0
2013,326,S,0
2013,326,N,0.7371113339
2013,327,E,0
2013,327,S,0
2013,327,N,0
2013,331,E,0
2013,331,S,0
2013,331,N,0
2013,332,E,0
2013,332,S,0
2013,332,N,0
2013,333,E,0
2013,333,S,0
2013,333,N,0
2013,334,E,0
2013,334,S,0
2013,334,N,31.39376246
2013,335,E,0
2013,335,S,0
2013,335,N,0
2013,3361MV,E,0
2013,3361MV,S,0
2013,3361MV,N,2.825073443
2013,3364OT,E,5.827063768
2013,3364OT,S,0
2013,3364OT,N,0
2013,337,E,0
2013,337,S,0
2013,337,N,0
2013,339,E,0
2013,339,S,0
2013,339,N,3.519254174
2013,42,E,0
2013,42,S,83.42110051
2013,42,N,0
2013,441,E,0
2013,441,S,0
2013,441,N,0
2013,445,E,0
2013,445,S,0
2013,445,N,2.963749488
2013,452,E,0
2013,452,S,0
2013,452,N,7.383688408
2013,481,E,0
2013,481,S,0
2013,481,N,0
2013,482,E,0
2013,482,S,0
2013,482,N,3.217843902
2013,483,E,0
2013,483,S,0
2013,483,N,1.212487399
2013,484,E,22.09790042
2013,484,S,0
2013,484,N,0
2013,485,E,5.132289471
2013,485,S,0
2013,485,N,0
2013,486,E,0
2013,486,S,0
2013,486,N,6.288430019
2013,487OS,E,0
2013,487OS,S,0
2013,487OS,N,3.787776468
2013,493,E,1.024628944
2013,493,S,0
2013,493,N,0
2013,4A0,E,0
2013,4A0,S,0
2013,4A0,N,25.15428248
2013,511,E,0
2013,511,S,0
2013,511,N,60.95852023
2013,512,E,0
2013,512,S,0
2013,512,N,0
2013,513,E,23.02012206
2013,513,S,0
2013,513,N,103.3178722
2013,514,E,0
2013,514,S,52.65554799
2013,514,N,0
2013,521CI,E,116.6422279
2013,521CI,S,0
2013,521CI,N,0
2013,523,E,0
2013,523,S,0
2013,523,N,11.93422898
2013,524,E,0
2013,524,S,43.26566656
2013,524,N,0
2013,525,E,0
2013,525,S,0
2013,525,N,0.8829718846
2013,532RL,E,78.31372352
2013,532RL,S,0
2013,532RL,N,0
2013,5411,E,0
2013,5411,S,3.187762268
2013,5411,N,0
2013,5412OP,E,76.07059637
2013,5412OP,S,0
2013,5412OP,N,0
2013,5415,E,24.90229269
2013,5415,S,0
2013,5415,N,0
2013,55,E,0
2013,55,S,0
2013,55,N,21.95361615
2013,561,E,40.96990772
2013,561,S,0
2013,561,N,0
2013,562,E,0
2013,562,S,0
2013,562,N,3.352357879
2013,61,E,0
2013,61,S,0
2013,61,N,16.68276333
2013,621,E,79.12496725
2013,621,S,0
2013,621,N,0
2013,622,E,0
2013,622,S,0
2013,622,N,70.34173575
2013,623,E,0
2013,623,S,0
2013,623,N,3.563886598
2013,624,E,0
2013,624,S,0
2013,624,N,1.611289532
2013,711AS,E,0
2013,711AS,S,0
2013,711AS,N,15.96790862
2013,713,E,0
2013,713,S,0
2013,713,N,1.903294674
