anno,industria,tipo,I
2012,111CA,E,0
2012,111CA,S,0
2012,111CA,N,14.93917824
2012,113FF,E,0
2012,113FF,S,0
2012,113FF,N,0
2012,211,E,0
2012,211,S,0
2012,211,N,41.76886836
2012,212,E,0
2012,212,S,0
2012,212,N,0
2012,213,E,0
2012,213,S,0
2012,213,N,0
2012,22,E,0
2012,22,S,0
2012,22,N,0
2012,23,E,0
2012,23,S,0
2012,23,N,0
2012,311FT,E,0
2012,311FT,S,0
2012,311FT,N,0
2012,313TT,E,0
2012,313TT,S,0
2012,313TT,N,0
2012,315AL,E,0
2012,315AL,S,0
2012,315AL,N,0
2012,321,E,0
2012,321,S,0
2012,321,N,0
2012,322,E,0
2012,322,S,0
2012,322,N,0
2012,323,E,0
2012,323,S,0
2012,323,N,0
2012,324,E,38.38737409
2012,324,S,0
2012,324,N,0
2012,325,E,84.33943468
2012,325,S,0
2012,325,N,0
2012,326,E,0
2012,326,S,0
2012,326,N,0
2012,327,E,0
2012,327,S,0
2012,327,N,0
2012,331,E,0
2012,331,S,0
2012,331,N,0
2012,332,E,0
2012,332,S,0
2012,332,N,0
2012,333,E,0
2012,333,S,0
2012,333,N,0
2012,334,E,0
2012,334,S,0
2012,334,N,0
2012,335,E,0
2012,335,S,0
2012,335,N,0
2012,3361MV,E,2.380165946
2012,3361MV,S,0
2012,3361MV,N,0
2012,3364OT,E,0
2012,3364OT,S,0
2012,3364OT,N,0
2012,337,E,0
2012,337,S,0
2012,337,N,0
2012,339,E,0
2012,339,S,0
2012,339,N,0
2012,42,E,82.5688001
2012,42,S,0
2012,42,N,0
2012,441,E,0
2012,441,S,0
2012,441,N,0
2012,445,E,0
2012,445,S,0
2012,445,N,0
2012,452,E,0
2012,452,S,0
2012,452,N,2.155682876
2012,481,E,0
2012,481,S,0
2012,481,N,0
2012,482,E,0
2012,482,S,0
2012,482,N,3.640287162
2012,483,E,5.066995674
2012,483,S,0
2012,483,N,0
2012,484,E,12.9313734
2012,484,S,0
2012,484,N,0
2012,485,E,0
2012,485,S,0
2012,485,N,0
2012,486,E,0
2012,486,S,0
2012,486,N,5.247677963
2012,487OS,E,0
2012,487OS,S,0
2012,487OS,N,0
2012,493,E,2.384127561
2012,493,S,0
2012,493,N,0
2012,4A0,E,0
2012,4A0,S,0
2012,4A0,N,8.326239995
2012,511,E,0
2012,511,S,0
2012,511,N,0
2012,512,E,0
2012,512,S,0
2012,512,N,18.78288427
2012,513,E,141.3968349
2012,513,S,0
2012,513,N,8.294760055
2012,514,E,0
2012,514,S,44.99925204
2012,514,N,0
2012,521CI,E,165.4950579
2012,521CI,S,0
2012,521CI,N,0
2012,523,E,0
2012,523,S,0
2012,523,N,7.910955517
2012,524,E,0
2012,524,S,77.41058147
2012,524,N,0
2012,525,E,0.04123139368
2012,525,S,0
2012,525,N,0
2012,532RL,E,42.71308566
2012,532RL,S,0
2012,532RL,N,0
2012,5411,E,0
2012,5411,S,4.133141022
2012,5411,N,0
2012,5412OP,E,0
2012,5412OP,S,0
2012,5412OP,N,0
2012,5415,E,0
2012,5415,S,0
2012,5415,N,0
2012,55,E,0
2012,55,S,0
2012,55,N,8.64444291
2012,561,E,13.08990026
2012,561,S,0
2012,561,N,0
2012,562,E,0
2012,562,S,0
2012,562,N,0
2012,61,E,0
2012,61,S,0
2012,61,N,11.26093094
2012,621,E,10.90847277
2012,621,S,0
2012,621,N,0
2012,622,E,0
2012,622,S,0
2012,622,N,29.19012072
2012,623,E,0
2012,623,S,0
2012,623,N,1.199188067
2012,624,E,0
2012,624,S,0
2012,624,N,0.3502383045
2012,711AS,E,0
2012,711AS,S,0
2012,711AS,N,14.37648688
2012,713,E,0
2012,713,S,0
2012,713,N,0
2012,721,E,0
2012,721,S,0
2012,721,N,0
2012,722,E,12.06628007
2012,722,S,0
2012,722,N,0
2012,81,E,0
2012,81,S,0
2012,81,N,0
2012,ORE,E,0
2012,ORE,S,0
2012,ORE,N,0
2012,HS,R,1330.85966
2013,111CA,E,0
2013,111CA,S,0
2013,111CA,N,20.1457069
2013,113FF,E,0
2013,113FF,S,0
2013,113FF,N,1.31539497
2013,211,E,0
2013,211,S,116.6807292
2013,211,N,11.6661981
2013,212,E,0
2013,212,S,0
2013,212,N,0
2013,213,E,0
2013,213,S,0
2013,213,N,0
2013,22,E,0
2013,22,S,0
2013,22,N,7.313949551
2013,23,E,0
2013,23,S,0
2013,23,N,0
2013,311FT,E,16.33415852
2013,311FT,S,0
2013,311FT,N,0
2013,313TT,E,0
2013,313TT,S,0
2013,313TT,N,0
2013,315AL,E,0
2013,315AL,S,0
2013,315AL,N,0
2013,321,E,0
2013,321,S,0
2013,321,N,0
2013,322,E,0
2013,322,S,0
2013,322,N,6.349805846
2013,323,E,0
2013,323,S,0
2013,323,N,0
2013,324,E,10.60152228
2013,324,S,0
2013,324,N,0
2013,325,E,0
2013,325,S,0
2013,325,N,26.6435544
2013,326,E,0
2013,326,S,0
2013,326,N,2.070522311
2013,327,E,0
2013,327,S,0
2013,327,N,0
2013,331,E,0
2013,331,S,0
2013,331,N,0
2013,332,E,0
2013,332,S,0
2013,332,N,0
2013,333,E,0
2013,333,S,0
2013,333,N,0
2013,334,E,0
2013,334,S,0
2013,334,N,38.73188387
2013,335,E,0
2013,335,S,0
2013,335,N,0
2013,3361MV,E,32.41667382
2013,3361MV,S,0
2013,3361MV,N,0
2013,3364OT,E,13.83128343
2013,3364OT,S,0
2013,3364OT,N,0
2013,337,E,0
2013,337,S,0
2013,337,N,0
2013,339,E,5.95908436
2013,339,S,0
2013,339,N,0
2013,42,E,75.62246504
2013,42,S,0
2013,42,N,0
2013,441,E,0
2013,441,S,0
2013,441,N,0
2013,445,E,0
2013,445,S,0
2013,445,N,3.001335542
2013,452,E,0
2013,452,S,0
2013,452,N,7.462596911
2013,481,E,0
2013,481,S,0
2013,481,N,0
2013,482,E,0
2013,482,S,0
2013,482,N,4.144301822
2013,483,E,4.846562935
2013,483,S,0
2013,483,N,0
2013,484,E,27.64527074
2013,484,S,0
2013,484,N,0
2013,485,E,2.297264101
2013,485,S,0
2013,485,N,0
2013,486,E,0
2013,486,S,0
2013,486,N,6.017495198
2013,487OS,E,0
2013,487OS,S,0
2013,487OS,N,4.423178464
2013,493,E,1.189499716
2013,493,S,0
2013,493,N,0
2013,4A0,E,0
2013,4A0,S,0
2013,4A0,N,27.17184541
2013,511,E,0
2013,511,S,0
2013,511,N,89.02685699
2013,512,E,0
2013,512,S,0
2013,512,N,0
2013,513,E,61.65304125
2013,513,S,0
2013,513,N,112.7521981
2013,514,E,45.97383616
2013,514,S,0
2013,514,N,0
2013,521CI,E,121.6876897
2013,521CI,S,0
2013,521CI,N,0
2013,523,E,0
2013,523,S,0
2013,523,N,11.90642614
2013,524,E,0
2013,524,S,43.98302569
2013,524,N,0
2013,525,E,0
2013,525,S,0
2013,525,N,0.8843176382
2013,532RL,E,81.47362852
2013,532RL,S,0
2013,532RL,N,0
2013,5411,E,0
2013,5411,S,4.842177449
2013,5411,N,0
2013,5412OP,E,174.0368008
2013,5412OP,S,0
2013,5412OP,N,0
2013,5415,E,32.64315675
2013,5415,S,0
2013,5415,N,0
2013,55,E,0
2013,55,S,0
2013,55,N,22.36380168
2013,561,E,45.03972515
2013,561,S,0
2013,561,N,0
2013,562,E,0
2013,562,S,0
2013,562,N,3.802159943
2013,61,E,0
2013,61,S,0
2013,61,N,19.23723685
2013,621,E,32.971539
2013,621,S,0
2013,621,N,0
2013,622,E,0
2013,622,S,0
2013,622,N,34.03764941
2013,623,E,0
2013,623,S,0
2013,623,N,3.553680357
2013,624,E,0
2013,624,S,0
2013,624,N,1.610010286
2013,711AS,E,0
2013,711AS,S,0
2013,711AS,N,17.99345963
2013,713,E,0
2013,713,S,0
