anno,industria,x,x_oss
2012,111CA,426.8869924,404.166
2012,113FF,46.892,46.892
2012,211,362.9013306,362.616
2012,212,124.611,124.611
2012,213,126.1820182,126.19
2012,22,461.8085807,461.578
2012,23,1075.641992,1075.477
2012,321,80.05050605,80.398
2012,327,98.82723161,99.294
2012,331,269.218,269.218
2012,332,340.6962429,343.079
2012,333,404.552,404.552
2012,334,354.253,354.253
2012,335,122.794,122.794
2012,3361MV,516.699,516.699
2012,3364OT,290.815,290.815
2012,337,65.31489027,65.729
2012,339,155.7260328,156.592
2012,311FT,895.874,895.874
2012,313TT,51.58775351,51.802
2012,315AL,19.244,19.244
2012,322,179.235,179.235
2012,323,83.34627758,83.081
2012,324,833.1431781,833.174
2012,325,797.5832347,794.029
2012,326,215.3237232,216.486
2012,42,1652.395236,1655.028
2012,441,221.8684447,221.875
2012,445,207.679,207.679
2012,452,210.838,210.838
2012,4A0,763.319,763.319
2012,481,195.415,195.415
2012,482,78.98562983,79.141
2012,483,50.04106783,50.023
2012,484,297.3724277,297.774
2012,485,50.992,50.992
2012,486,36.442,36.442
2012,487OS,187.1315528,187.233
2012,493,108.8440141,108.888
2012,511,296.8696167,296.233
2012,512,131.7999553,131.699
2012,513,733.1386316,733.128
2012,514,221.5534336,221.543
2012,521CI,761.7488827,761.619
2012,523,478.4672457,478.47
2012,524,798.591,798.591
2012,525,117.2590046,117.259
2012,HS,1726.663887,1726.663
2012,ORE,890.6322199,889.093
2012,532RL,298.7165061,298.617
2012,5411,306.9556489,306.935
2012,5415,354.211893,354.223
2012,5412OP,1123.861,1123.861
2012,55,478.7503372,478.846
2012,561,661.562,661.562
2012,562,83.58253193,83.564
2012,61,309.61,309.61
2012,621,869.254,869.254
2012,622,709.379,709.379
2012,623,208.979,208.979
2012,624,168.7783459,169.679
2012,711AS,144.7720977,144.767
2012,713,119.8319859,119.836
2012,721,214.978,214.978
2012,722,613.983,613.983
2012,81,576.0016997,576.029
2012,GFGD,676.303,676.303
2012,GFGN,370.3780627,370.378
2012,GFE,98.88783093,98.913
2012,GSLG,1947.078136,1947.062
2012,GSLE,298.6642338,298.57
2013,111CA,420.0646127,420.0646127
2013,113FF,48.23438683,48.1981787
2013,211,400.7407946,391.494883
2013,212,119.9211364,118.9735655
2013,213,126.1008397,125.8668437
2013,22,466.4376225,466.0971225
2013,23,1128.688834,1128.512488
2013,321,83.61041497,83.89403777
2013,327,102.9066503,102.9350132
2013,331,278.3293753,278.3293753
2013,332,348.5399126,348.5399126
2013,333,391.446297,391.446297
2013,334,355.2192175,355.2192175
2013,335,123.7550645,123.7550645
2013,3361MV,550.3998909,550.3998909
2013,3364OT,300.2054538,299.0793759
2013,337,66.60158913,66.59806607
2013,339,165.9540944,165.9540944
2013,311FT,914.7889686,913.0265358
2013,313TT,53.18469398,53.18469398
2013,315AL,16.59475422,18.89724949
2013,322,179.9165585,179.9165585
2013,323,82.5989125,82.72247182
2013,324,870.6356056,863.2053806
2013,325,823.2479886,823.2479886
2013,326,219.7654445,219.7654445
2013,42,1721.203425,1721.203425
2013,441,245.1943022,245.1925543
2013,445,207.6042028,207.6042028
2013,452,215.2028244,215.2028244
2013,4A0,799.0812731,799.0861312
2013,481,202.5126241,202.4961396
2013,482,80.55044399,80.11151624
2013,483,50.61377573,50.56052114
2013,484,304.5854531,304.5854531
2013,485,54.63903366,54.63903366
2013,486,37.84654329,36.73040608
2013,487OS,190.8201192,190.8201192
2013,493,111.7747085,111.7750646
2013,511,310.5740611,310.9524895
2013,512,136.6437215,136.619994
2013,513,749.8303373,749.7202742
2013,514,240.2451718,240.2347354
2013,521CI,777.2564454,777.0406913
2013,523,474.3273008,474.2308528
2013,524,827.3564829,827.3564829
2013,525,135.529368,135.5303097
2013,HS,1743.031998,1743.029863
2013,ORE,960.5506423,960.4627846
2013,532RL,315.4962823,315.3567273
2013,5411,297.8242299,297.716879
2013,5415,369.4449283,369.3379096
2013,5412OP,1131.79431,1131.560509
2013,55,489.2579958,488.6777069
