vincolo,duale,famiglia
"bilancio[111CA,2012]",9.037186305e-05,bilancio
"bilancio[113FF,2012]",9.037186305e-05,bilancio
"bilancio[211,2012]",4.954771402e-05,bilancio
"bilancio[212,2012]",-0,bilancio
"bilancio[213,2012]",1.551625157e-05,bilancio
"bilancio[22,2012]",6.267352947e-05,bilancio
"bilancio[23,2012]",7.716545204e-05,bilancio
"bilancio[321,2012]",1.546251871e-05,bilancio
"bilancio[327,2012]",2.981519013e-06,bilancio
"bilancio[331,2012]",-0,bilancio
"bilancio[332,2012]",2.918915265e-07,bilancio
"bilancio[333,2012]",-0,bilancio
"bilancio[334,2012]",-0,bilancio
"bilancio[335,2012]",-0,bilancio
"bilancio[3361MV,2012]",-0,bilancio
"bilancio[3364OT,2012]",-0,bilancio
"bilancio[337,2012]",1.417428407e-05,bilancio
"bilancio[339,2012]",3.840708929e-06,bilancio
"bilancio[311FT,2012]",9.037186305e-05,bilancio
"bilancio[313TT,2012]",2.579790339e-05,bilancio
"bilancio[315AL,2012]",9.037186305e-05,bilancio
"bilancio[322,2012]",-0,bilancio
"bilancio[323,2012]",8.621634913e-05,bilancio
"bilancio[324,2012]",4.465767085e-06,bilancio
"bilancio[325,2012]",6.698044899e-05,bilancio
"bilancio[326,2012]",1.462224059e-05,bilancio
"bilancio[42,2012]",6.042845075e-06,bilancio
"bilancio[441,2012]",2.089472244e-05,bilancio
"bilancio[445,2012]",9.037186305e-05,bilancio
"bilancio[452,2012]",9.037186305e-05,bilancio
"bilancio[4A0,2012]",9.037186305e-05,bilancio
"bilancio[481,2012]",-0,bilancio
"bilancio[482,2012]",3.90270282e-07,bilancio
"bilancio[483,2012]",5.782715266e-05,bilancio
"bilancio[484,2012]",1.112421386e-05,bilancio
"bilancio[485,2012]",9.037186305e-05,bilancio
"bilancio[486,2012]",-0,bilancio
"bilancio[487OS,2012]",2.186848202e-05,bilancio
"bilancio[493,2012]",3.349319096e-05,bilancio
"bilancio[511,2012]",6.594973481e-05,bilancio
"bilancio[512,2012]",7.31726282e-05,bilancio
"bilancio[513,2012]",7.082850067e-05,bilancio
"bilancio[514,2012]",6.497200642e-05,bilancio
"bilancio[521CI,2012]",6.953875525e-05,bilancio
"bilancio[523,2012]",4.536074709e-06,bilancio
"bilancio[524,2012]",9.037186305e-05,bilancio
"bilancio[525,2012]",6.20525479e-05,bilancio
"bilancio[HS,2012]",4.186528758e-05,bilancio
"bilancio[ORE,2012]",8.181729854e-05,bilancio
"bilancio[532RL,2012]",6.656288634e-05,bilancio
"bilancio[5411,2012]",7.399550423e-05,bilancio
"bilancio[5415,2012]",1.763197199e-05,bilancio
"bilancio[5412OP,2012]",3.907984636e-05,bilancio
"bilancio[55,2012]",1.003595891e-05,bilancio
"bilancio[561,2012]",9.037186305e-05,bilancio
"bilancio[562,2012]",8.311679759e-05,bilancio
"bilancio[61,2012]",9.037186305e-05,bilancio
"bilancio[621,2012]",9.037186305e-05,bilancio
"bilancio[622,2012]",9.037186305e-05,bilancio
"bilancio[623,2012]",9.037186305e-05,bilancio
"bilancio[624,2012]",9.037186305e-05,bilancio
"bilancio[711AS,2012]",7.498443962e-05,bilancio
"bilancio[713,2012]",6.626762927e-05,bilancio
"bilancio[721,2012]",9.037186305e-05,bilancio
"bilancio[722,2012]",9.037186305e-05,bilancio
"bilancio[81,2012]",4.116557139e-05,bilancio
"bilancio[GFGD,2012]",-0,bilancio
"bilancio[GFGN,2012]",8.25609875e-05,bilancio
"bilancio[GFE,2012]",2.474656848e-05,bilancio
"bilancio[GSLG,2012]",9.772225185e-05,bilancio
"bilancio[GSLE,2012]",8.372859013e-05,bilancio
"bilancio[111CA,2013]",-0,bilancio
"bilancio[113FF,2013]",8.911535767e-05,bilancio
"bilancio[211,2013]",5.815639513e-05,bilancio
"bilancio[212,2013]",6.688569328e-05,bilancio
"bilancio[213,2013]",6.885958493e-05,bilancio
"bilancio[22,2013]",7.19422802e-05,bilancio
"bilancio[23,2013]",7.407514376e-05,bilancio
"bilancio[321,2013]",1.473436813e-05,bilancio
"bilancio[327,2013]",9.255977766e-06,bilancio
"bilancio[331,2013]",-0,bilancio
"bilancio[332,2013]",-0,bilancio
"bilancio[333,2013]",-0,bilancio
"bilancio[334,2013]",-0,bilancio
"bilancio[335,2013]",-0,bilancio
"bilancio[3361MV,2013]",-0,bilancio
"bilancio[3364OT,2013]",6.707162371e-05,bilancio
"bilancio[337,2013]",7.671975011e-05,bilancio
"bilancio[339,2013]",-0,bilancio
"bilancio[311FT,2013]",6.457715945e-05,bilancio
"bilancio[313TT,2013]",-0,bilancio
"bilancio[315AL,2013]",2.749948205e-05,bilancio
"bilancio[322,2013]",-0,bilancio
"bilancio[323,2013]",1.235279586e-05,bilancio
"bilancio[324,2013]",7.550792123e-05,bilancio
"bilancio[325,2013]",-0,bilancio
"bilancio[326,2013]",-0,bilancio
"bilancio[42,2013]",1.822291652e-05,bilancio
"bilancio[441,2013]",7.964415926e-05,bilancio
"bilancio[445,2013]",8.911535767e-05,bilancio
"bilancio[452,2013]",8.911535767e-05,bilancio
"bilancio[4A0,2013]",3.088723084e-05,bilancio
"bilancio[481,2013]",8.052898343e-05,bilancio
"bilancio[482,2013]",7.77848795e-05,bilancio
"bilancio[483,2013]",8.249935232e-05,bilancio
"bilancio[484,2013]",8.911535767e-05,bilancio
"bilancio[485,2013]",8.911535767e-05,bilancio
"bilancio[486,2013]",5.912015314e-05,bilancio
"bilancio[487OS,2013]",8.911535767e-05,bilancio
"bilancio[493,2013]",3.362915274e-05,bilancio
"bilancio[511,2013]",1.115929507e-07,bilancio
"bilancio[512,2013]",7.110338836e-05,bilancio
"bilancio[513,2013]",6.810262952e-05,bilancio
"bilancio[514,2013]",6.21330865e-05,bilancio
"bilancio[521CI,2013]",7.776472627e-05,bilancio
"bilancio[523,2013]",7.940912056e-05,bilancio
"bilancio[524,2013]",8.911535767e-05,bilancio
"bilancio[525,2013]",3.241930321e-05,bilancio
"bilancio[HS,2013]",4.183543789e-05,bilancio
"bilancio[ORE,2013]",8.105236948e-05,bilancio
"bilancio[532RL,2013]",7.01818356e-05,bilancio
"bilancio[5411,2013]",7.276118526e-05,bilancio
"bilancio[5415,2013]",6.991406534e-05,bilancio
"bilancio[5412OP,2013]",6.606847191e-05,bilancio
"bilancio[55,2013]",7.689440411e-05,bilancio
"bilancio[561,2013]",8.911535767e-05,bilancio
"bilancio[562,2013]",7.379212588e-05,bilancio
"bilancio[61,2013]",8.198877302e-05,bilancio
"bilancio[621,2013]",8.359580865e-05,bilancio
"bilancio[622,2013]",7.917640146e-05,bilancio
"bilancio[623,2013]",8.911535767e-05,bilancio
"bilancio[624,2013]",8.911535767e-05,bilancio
"bilancio[711AS,2013]",7.137506986e-05,bilancio
"bilancio[713,2013]",8.911535767e-05,bilancio
"bilancio[721,2013]",8.911535767e-05,bilancio
"bilancio[722,2013]",8.911535767e-05,bilancio
"bilancio[81,2013]",8.911535767e-05,bilancio
"bilancio[GFGD,2013]",6.652276667e-05,bilancio
"bilancio[GFGN,2013]",7.925131371e-05,bilancio
"bilancio[GFE,2013]",8.911535767e-05,bilancio
"bilancio[GSLG,2013]",2.323327759e-05,bilancio
"bilancio[GSLE,2013]",8.831928443e-05,bilancio
"bilancio[111CA,2014]",5.832379396e-05,bilancio
"bilancio[113FF,2014]",5.049255382e-05,bilancio
"bilancio[211,2014]",4.303319303e-05,bilancio
"bilancio[212,2014]",-0,bilancio
"bilancio[213,2014]",3.822921466e-05,bilancio
"bilancio[22,2014]",4.446518435e-05,bilancio
"bilancio[23,2014]",4.139403922e-05,bilancio
"bilancio[321,2014]",-0,bilancio
"bilancio[327,2014]",-0,bilancio
"bilancio[331,2014]",-0,bilancio
"bilancio[332,2014]",-0,bilancio
"bilancio[333,2014]",-0,bilancio
"bilancio[334,2014]",4.004584499e-05,bilancio
"bilancio[335,2014]",-0,bilancio
"bilancio[3361MV,2014]",-0,bilancio
"bilancio[3364OT,2014]",-0,bilancio
"bilancio[337,2014]",4.377646164e-05,bilancio
"bilancio[339,2014]",-0,bilancio
"bilancio[311FT,2014]",-0,bilancio
"bilancio[313TT,2014]",-0,bilancio
"bilancio[315AL,2014]",-0,bilancio
"bilancio[322,2014]",-0,bilancio
"bilancio[323,2014]",-0,bilancio
