anno,industria,x,x_oss
2012,111CA,426.8869924,404.166
2012,113FF,46.21099832,46.892
2012,211,415.2701432,362.616
2012,212,130.8645441,124.611
2012,213,144.5135884,126.19
2012,22,508.005831,461.578
2012,23,1517.543895,1075.477
2012,321,91.67632852,80.398
2012,327,108.4917323,99.294
2012,331,220.9826077,269.218
2012,332,317.9635895,343.079
2012,333,254.7829443,404.552
2012,334,287.1387187,354.253
2012,335,115.9513486,122.794
2012,3361MV,428.1833211,516.699
2012,3364OT,245.5922733,290.815
2012,337,52.30266144,65.729
2012,339,132.679317,156.592
2012,311FT,939.6449766,895.874
2012,313TT,47.89575283,51.802
2012,315AL,3.873213201,19.244
2012,322,174.6464164,179.235
2012,323,76.70774063,83.081
2012,324,1001.110465,833.174
2012,325,783.3896332,794.029
2012,326,207.1515,216.486
2012,42,1598.701329,1655.028
2012,441,214.8788931,221.875
2012,445,208.0795332,207.679
2012,452,211.2086986,210.838
2012,4A0,777.4273466,763.319
2012,481,207.1232562,195.415
2012,482,77.04820275,79.141
2012,483,52.81448279,50.023
2012,484,283.456806,297.774
2012,485,50.8572766,50.992
2012,486,39.63149091,36.442
2012,487OS,185.924129,187.233
2012,493,106.8440383,108.888
2012,511,265.3092547,296.233
2012,512,105.4532537,131.699
2012,513,763.4937182,733.128
2012,514,200.6373765,221.543
2012,521CI,767.9879113,761.619
2012,523,508.3925978,478.47
2012,524,825.0670347,798.591
2012,525,117.4011942,117.259
2012,HS,1741.231952,1726.663
2012,ORE,1052.504589,889.093
2012,532RL,300.0543791,298.617
2012,5411,349.5446258,306.935
2012,5415,257.2414607,354.223
2012,5412OP,916.4783008,1123.861
2012,55,460.7156001,478.846
2012,561,653.3978013,661.562
2012,562,85.6212001,83.564
2012,61,304.2948006,309.61
2012,621,869.2516984,869.254
2012,622,708.0902243,709.379
2012,623,208.9967778,208.979
2012,624,169.7581878,169.679
2012,711AS,156.066701,144.767
2012,713,119.9569254,119.836
2012,721,215.1508779,214.978
2012,722,614.6097808,613.983
2012,81,576.1362416,576.029
2012,GFGD,671.52044,676.303
2012,GFGN,367.3891568,370.378
2012,GFE,99.70371998,98.913
2012,GSLG,1947.46223,1947.062
2012,GSLE,315.4211362,298.57
2013,111CA,434.1030409,420.0646127
2013,113FF,47.14106078,48.1981787
2013,211,447.4120263,391.494883
2013,212,136.4042554,118.9735655
2013,213,295.339552,125.8668437
2013,22,506.623185,466.0971225
2013,23,1344.956192,1128.512488
2013,321,82.35741503,83.89403777
2013,327,105.5911028,102.9350132
2013,331,223.9027019,278.3293753
2013,332,313.1718022,348.5399126
2013,333,255.4876781,391.446297
2013,334,288.6555488,355.2192175
2013,335,103.5718302,123.7550645
2013,3361MV,425.2220315,550.3998909
2013,3364OT,253.9080745,299.0793759
2013,337,49.62948908,66.59806607
2013,339,143.1371102,165.9540944
2013,311FT,997.1047201,913.0265358
2013,313TT,48.08397896,53.18469398
2013,315AL,1.153829691,18.89724949
2013,322,176.3264587,179.9165585
2013,323,78.80495697,82.72247182
2013,324,918.6630466,863.2053806
2013,325,917.540475,823.2479886
2013,326,208.582388,219.7654445
2013,42,1663.315472,1721.203425
2013,441,235.4728419,245.1925543
2013,445,208.3507194,207.6042028
2013,452,214.6856136,215.2028244
2013,4A0,792.0260777,799.0861312
2013,481,216.6731871,202.4961396
2013,482,78.04973826,80.11151624
2013,483,54.42193285,50.56052114
2013,484,287.1333323,304.5854531
2013,485,54.82442987,54.63903366
2013,486,39.42156714,36.73040608
2013,487OS,190.2205683,190.8201192
2013,493,109.3662274,111.7750646
2013,511,317.894229,310.9524895
2013,512,135.1542213,136.619994
2013,513,798.976354,749.7202742
2013,514,231.2770546,240.2347354
2013,521CI,834.3296439,777.0406913
2013,523,536.7850348,474.2308528
2013,524,919.9018113,827.3564829
2013,525,161.4969309,135.5303097
2013,HS,1831.400235,1743.029863
2013,ORE,973.8654153,960.4627846
2013,532RL,332.9800946,315.3567273
2013,5411,318.3937018,297.716879
2013,5415,313.1696413,369.3379096
2013,5412OP,998.4008712,1131.560509
2013,55,483.5891103,488.6777069
2013,561,676.1075072,681.2134559
2013,562,86.89369649,85.47727804
2013,61,309.2808416,312.3842837
2013,621,865.5236886,865.5747508
2013,622,717.0101261,718.0263465
2013,623,211.6636902,211.6676564
2013,624,171.2311538,171.2084374
2013,711AS,163.7151537,148.7714629
2013,713,123.0254413,122.9797275
2013,721,222.4397438,221.7037595
2013,722,626.4207214,625.6137757
2013,81,575.8194916,574.6962508
2013,GFGD,630.1461479,633.1510606
2013,GFGN,358.686962,360.5372605
2013,GFE,95.1743626,93.45068235
2013,GSLG,1961.748708,1962.204783
2013,GSLE,314.2601562,302.5492615
2014,111CA,475.4862504,426.9591743
2014,113FF,53.95927838,53.00329593
2014,211,550.4584445,426.7537306
2014,212,133.4825728,122.4624409
2014,213,308.7928157,159.7072121
2014,22,512.9379558,472.1610722
2014,23,1316.081346,1191.792556
2014,321,82.59519925,84.86816984
2014,327,109.944478,107.0695856
2014,331,241.2339259,278.4018351
2014,332,334.8298951,355.5833421
2014,333,283.7660744,398.1527264
2014,334,315.9769314,354.7213471
2014,335,108.5586598,127.3907201
2014,3361MV,455.7547157,587.2035562
2014,3364OT,266.4124054,311.5349482
2014,337,52.31946605,67.44260484
2014,339,149.0249038,160.4764343
2014,311FT,1019.753461,910.5577956
2014,313TT,50.89248851,53.96859719
2014,315AL,5.725481807,18.15784282
2014,322,179.9905172,178.583728
2014,323,79.37199724,81.53338845
2014,324,1017.708927,834.613092
2014,325,834.51851,810.5917251
2014,326,221.4028397,224.507892
2014,42,1807.122178,1802.327272
2014,441,261.9625656,271.6411199
2014,445,210.8956212,209.9680384
2014,452,218.5716933,219.1929247
2014,4A0,813.5822369,827.1238123
2014,481,225.4582252,210.6764134
2014,482,86.52405428,84.81309337
2014,483,57.23856593,52.98547068
2014,484,314.3783924,326.4871626
2014,485,60.99725596,60.86070485
2014,486,45.32430887,39.1053764
2014,487OS,201.969857,200.4218243
2014,493,111.3294508,112.3573748
2014,511,337.8527472,327.2902762
2014,512,124.8443576,138.2572914
2014,513,849.46459,792.944715
2014,514,250.5534883,260.4244569
2014,521CI,853.2670435,794.9007774
2014,523,527.1017596,466.0142255
2014,524,973.3695435,884.5774773
2014,525,164.0236325,137.51382
2014,HS,1833.840046,1738.811048
2014,ORE,968.0682483,1008.8257
2014,532RL,353.7298619,334.1377749
2014,5411,306.9650036,295.0836616
2014,5415,343.5985655,399.2951331
2014,5412OP,1058.291724,1185.159305
2014,55,523.8385684,519.4258455
2014,561,731.7137462,737.2642375
2014,562,91.22967581,90.3897978
2014,61,312.2605972,315.283236
2014,621,892.13508,892.2740288
2014,622,718.8152695,719.8774351
2014,623,216.2663915,216.2839925
2014,624,177.6567485,177.6651074
2014,711AS,171.7612463,156.8679416
2014,713,125.8435685,125.8390589
2014,721,233.7177517,233.392097
2014,722,650.069553,650.1047981
2014,81,603.5501565,602.0764871
2014,GFGD,608.4169672,611.1507441
2014,GFGN,359.5579472,361.275454
2014,GFE,93.17534337,91.01968091
2014,GSLG,1974.6503,1974.686571
2014,GSLE,312.2591371,302.0676769
2015,111CA,490.7973721,436.0488367
2015,113FF,53.29444753,51.65745506
2015,211,635.3093514,385.4277226
2015,212,119.2696493,116.0829032
2015,213,221.2339107,130.5363462
2015,22,509.8111364,467.807517
2015,23,1058.713072,1295.417935
2015,321,83.34336992,90.20827436
2015,327,102.6211106,109.2318949
2015,331,241.4164998,263.6489986
2015,332,324.3308849,347.9478634
2015,333,276.4449267,365.7140668
2015,334,387.2863326,357.9108663
2015,335,112.9075346,127.9215545
2015,3361MV,491.0178663,612.0777708
2015,3364OT,275.7248329,312.476085
2015,337,63.2558824,71.61670546
2015,339,152.5305459,162.2099672
2015,311FT,1069.419487,942.6697447
2015,313TT,51.2154814,51.98721063
2015,315AL,7.637508553,17.53919044
2015,322,182.791166,177.498468
2015,323,81.30408546,80.75759637
2015,324,989.1612194,816.58304
2015,325,826.7121052,798.7331198
2015,326,229.0780285,229.5009016
2015,42,1942.438776,1834.793204
2015,441,311.7509513,309.3517
2015,445,212.1756269,211.0073652
2015,452,226.5915102,226.8170894
2015,4A0,858.2931178,869.7926879
2015,481,239.0344005,221.8366338
2015,482,82.34787615,81.24824659
2015,483,54.60936956,50.44854095
2015,484,327.1224496,332.248169
2015,485,64.14748006,63.65092971
2015,486,48.53578345,41.175425
2015,487OS,215.1092227,209.4803452
2015,493,113.5061897,111.8821372
2015,511,379.9961257,331.2869921
2015,512,119.5364874,145.2152306
2015,513,911.4146943,835.6001965
2015,514,287.8976061,287.7877374
2015,521CI,860.7344276,796.9871293
2015,523,519.8044603,457.0513089
2015,524,1022.578626,923.2496697
2015,525,178.6938124,149.5228717
2015,HS,1806.903905,1738.697539
2015,ORE,1056.005863,1080.250361
2015,532RL,349.0886064,330.8324745
2015,5411,315.1979128,297.423745
2015,5415,449.778324,414.3131013
2015,5412OP,1123.304677,1215.558175
2015,55,554.8376596,536.8542537
2015,561,782.400133,772.1057593
2015,562,92.75704105,92.13327874
2015,61,317.700606,319.0729495
2015,621,940.8719843,940.9201437
2015,622,752.8461404,753.697788
2015,623,221.2006805,221.2311618
2015,624,184.0475869,184.1032362
2015,711AS,178.1739044,162.5597135
2015,713,129.7462199,129.7115215
2015,721,242.8751142,241.8098771
2015,722,686.7635444,684.9764838
2015,81,615.7346675,613.60812
2015,GFGD,595.1941554,596.7820889
2015,GFGN,370.8468252,371.7633928
2015,GFE,95.86345143,91.98470896
2015,GSLG,2027.749335,2029.242764
2015,GSLE,325.7645092,313.484584
2016,111CA,503.3610541,461.5977536
2016,113FF,45.80833828,48.12054667
2016,211,678.6629588,363.1658128
2016,212,111.61365,107.0434337
2016,213,164.8041285,71.53234164
2016,22,499.1404055,460.0327092
2016,23,951.0155331,1377.64628
2016,321,71.34862364,92.85185132
2016,327,93.8923778,111.8139082
2016,331,273.9817574,249.8897303
2016,332,291.9020647,340.2000873
2016,333,231.0403837,340.6332211
2016,334,506.0309908,365.1531145
2016,335,100.7038082,124.9476687
2016,3361MV,478.8631322,607.1532051
2016,3364OT,250.8584691,288.3043838
2016,337,54.2800362,72.17826789
2016,339,128.7560471,153.12297
2016,311FT,1067.66861,966.2365365
2016,313TT,45.19213564,51.00643607
2016,315AL,5.305264509,17.73403157
2016,322,178.355134,174.597221
2016,323,90.73801246,84.21199313
2016,324,992.5527459,854.8533907
2016,325,793.4555059,802.0148884
2016,326,216.6824943,229.3779193
2016,42,2013.287158,1842.878735
2016,441,350.8341367,355.9027205
2016,445,210.9659042,210.1535874
2016,452,225.6669411,226.5747737
2016,4A0,881.3164701,907.8122411
2016,481,263.1355278,228.822564
2016,482,74.85571809,75.60502952
2016,483,54.12483709,50.07962994
2016,484,321.434805,334.3699988
2016,485,63.73806685,63.4733522
2016,486,46.39907679,40.38676408
2016,487OS,224.3119616,214.9900956
2016,493,120.1436658,117.0890189
2016,511,1015.246279,363.3677901
2016,512,121.0395213,146.9240731
2016,513,1043.428155,882.6035539
2016,514,357.4417445,321.0355843
2016,521CI,870.996485,803.9760459
2016,523,504.5376737,441.6527574
2016,524,1102.973845,927.9252361
2016,525,161.8572863,135.0549824
2016,HS,1803.62242,1748.037831
2016,ORE,1037.126492,1129.464425
2016,532RL,357.360608,337.8197812
2016,5411,308.7777121,296.4068177
2016,5415,471.2019159,452.6479139
2016,5412OP,1066.480473,1249.919785
2016,55,562.8894038,535.9275138
2016,561,841.5807097,819.5221816
2016,562,96.94994164,98.08074578
2016,61,318.6933056,322.9982993
2016,621,986.9258533,987.2936635
2016,622,769.9077755,771.4130264
2016,623,223.7484727,223.7906487
2016,624,192.3963727,192.454026
2016,711AS,179.9167483,166.2427471
2016,713,133.8239478,133.9401647
2016,721,247.0013718,246.4954318
2016,722,700.6787833,701.2796302
2016,81,633.3675911,630.9903739
2016,GFGD,591.5012228,594.8714443
2016,GFGN,375.8757845,377.678832
2016,GFE,100.8946361,94.17157242
2016,GSLG,2068.174605,2075.765401
2016,GSLE,345.8110095,322.4295374
