anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28322.6358,11488.33153,3298.316228,591.6316123,397.0912361,487.3959709,454.4329421,1930.551761,2038.802278,2020.103644,-89.55188269,-116.5494997,1600.844595,2131.091685,0,1.063399936,16178.65344,14158.5498,2670.218271
2011,29136.74147,11738.19081,3204.017473,680.3763541,337.5275506,414.2865753,517.903744,1950.094224,2037.701289,1933.321768,16.77245646,-70.48541588,1737.959754,2281.33261,0,1.086527781,16366.05131,14432.72954,2694.538723
2012,29962.16956,11892.39577,3142.018,782.4328072,286.898418,352.143589,595.5893056,2017.06412,2112.177822,1900.11867,116.9454495,90.59461409,1789.203,2359.7,0,1.100801529,16666.68921,14766.57054,2874.174766
2013,30639.76512,12099.40285,3066.668636,899.7977283,243.8636554,404.9651273,650.5625586,2199.189069,2290.992834,1909.467287,289.7217828,67.06219662,1813.000954,2314.001983,0,1.119962824,17023.12549,15113.6582,3014.255351
2014,31465.59207,12425.48481,3043.148649,1034.767388,207.284107,465.7098964,621.1811778,2328.942569,2413.154534,1959.59595,369.3466187,84.47070675,1861.772477,2400.943252,0,1.150146105,17427.08792,15467.49197,3042.007164
2015,32249.2865,12922.23858,3099.013496,1189.982496,235.1322417,535.5663808,528.0040011,2488.685119,2558.623278,2019.712531,468.9725882,165.875293,1786.331162,2449.018461,0,1.196127362,18083.06335,16063.35082,3141.112237
2016,32950.52709,13256.87489,3153.230443,1368.47987,270.4020776,615.901338,448.803401,2703.586687,2779.251582,2066.976322,636.6103646,-1.835476683,1792.891133,2422.09463,0,1.227102463,18558.31794,16491.34162,3234.46673
2017,33932.8734,13575.53754,3174.345219,1573.751851,310.9623893,708.2865387,381.4828908,2974.483669,2892.710818,2174.321502,800.1621669,97.14984006,1869.897522,2503.170818,0,1.256598986,19106.47012,16932.14861,3356.611078
2018,34838.29181,13998.85409,3247.706474,1809.814628,357.6067476,814.5295195,324.2604572,3306.211352,2953.132663,2362.63282,943.5785322,89.75139884,1924.276746,2597.656693,0,1.29578264,19616.06468,17253.43186,3254.577769
2019,35426.67381,14480.10062,3372.528694,2081.286822,411.2477598,936.7089475,275.6213885,3704.864918,2924.398131,2656.061059,1048.803859,-15.441344,1937.66587,2611.710152,0,1.340328493,20087.54182,17431.48077,2951.380141
