anno,industria,x,x_oss
2010,111CA,415.6732562,410.635968
2010,113FF,45.31081712,47.97230405
2010,211,372.3081049,310.2504248
2010,212,131.8360605,122.5519868
2010,213,108.0966418,90.07869719
2010,22,527.4641218,484.3502015
2010,23,1106.046913,1072.812018
2010,321,71.43821049,74.19156597
2010,327,92.98434735,95.87725762
2010,331,223.2098062,252.4715087
2010,332,292.2907988,310.3419818
2010,333,270.08481,333.6215223
2010,334,291.9120864,349.1128872
2010,335,141.0876765,113.7506109
2010,3361MV,375.1200205,450.373889
2010,3364OT,249.0630861,258.369358
2010,337,46.81760187,59.88056791
2010,339,155.5425213,165.57078
2010,311FT,880.2831147,901.9630011
2010,313TT,51.3336558,54.22248795
2010,315AL,10.37078807,24.45383947
2010,322,174.4715668,175.7695379
2010,323,84.99839751,85.58333584
2010,324,982.9774388,794.8962343
2010,325,877.1377563,789.840828
2010,326,196.1060386,203.1143406
2010,42,1446.348028,1431.256907
2010,441,198.471778,203.930149
2010,445,215.0514008,215.2000665
2010,452,230.6406106,231.4790434
2010,4A0,703.2843221,711.8769266
2010,481,195.6229282,183.2040915
2010,482,75.01955194,74.83133139
2010,483,50.42797002,47.2954469
2010,484,264.3333442,274.2471601
2010,485,48.39319197,48.13693776
2010,486,36.26266612,33.19677558
2010,487OS,183.398063,182.0347979
2010,493,84.68688927,85.26549403
2010,511,309.4621722,288.8876666
2010,512,154.4849883,132.338888
2010,513,717.0946778,692.5783474
2010,514,164.223108,163.9690117
2010,521CI,779.3041963,723.1898399
2010,523,553.3418173,496.4579255
2010,524,754.9332902,679.690766
2010,525,141.7063494,118.6887055
2010,HS,1743.514628,1709.351405
2010,ORE,834.3624056,813.7397603
2010,532RL,290.3872333,277.3149204
2010,5411,330.4335331,305.5937754
2010,5415,251.7392545,304.0280435
2010,5412OP,1008.343173,1055.164244
2010,55,426.6155474,429.75256
2010,561,603.0826919,601.835638
2010,562,86.87342492,86.06860898
2010,61,306.4456453,308.004095
2010,621,825.6239961,825.6834837
2010,622,660.2849483,660.9254589
2010,623,202.747249,202.752989
2010,624,170.0338348,170.038702
2010,711AS,151.1801163,138.1331143
2010,713,117.8043861,117.744059
2010,721,195.7634,195.0397039
2010,722,575.6861164,574.4082853
2010,81,561.4009916,560.2502366
2010,GFGD,702.1042902,703.4826768
2010,GFGN,385.331951,386.3430023
2010,GFE,103.0265362,99.90879426
2010,GSLG,2018.363123,2017.489888
2010,GSLE,291.0303427,280.1599134
2011,111CA,435.0271818,398.7032071
2011,113FF,49.33479371,49.85670241
2011,211,566.2448878,338.9433348
2011,212,134.3418724,131.1202909
2011,213,144.3178532,102.0075197
2011,22,510.6414526,465.8249772
2011,23,1019.882108,1046.056824
2011,321,72.75973488,75.24390211
2011,327,92.06006636,96.30291717
2011,331,238.4230483,271.4797559
2011,332,306.1972663,331.4110827
2011,333,314.8441114,377.0353514
2011,334,306.4412421,357.1258249
2011,335,105.0152847,120.0001713
2011,3361MV,483.8364862,508.659353
2011,3364OT,240.1501664,262.9648768
2011,337,51.14542003,58.73263825
2011,339,162.6086443,164.2295121
2011,311FT,986.4504252,887.9799837
2011,313TT,51.23927701,53.04934453
2011,315AL,13.08093422,25.50676976
2011,322,177.4322072,176.1601432
2011,323,82.79685752,84.6510011
2011,324,1022.828579,826.1336318
2011,325,797.1016067,784.2614949
2011,326,201.5782145,206.0256866
2011,42,1592.421802,1568.324004
2011,441,198.1495527,200.4171631
2011,445,213.3663121,212.3239302
2011,452,230.1466263,230.402262
2011,4A0,725.5734779,732.0315603
2011,481,217.3399355,203.6993295
2011,482,80.73928335,79.14806081
2011,483,51.70468431,48.13883694
2011,484,283.5427016,287.2535148
2011,485,50.2956388,50.06238943
2011,486,43.25370379,35.64376506
2011,487OS,188.0488188,185.1248499
2011,493,95.36878582,95.6336742
2011,511,279.1753428,297.0505292
2011,512,148.6692062,131.2464387
2011,513,764.4047098,714.725948
2011,514,184.9253193,189.4518897
2011,521CI,772.0992625,717.0025217
2011,523,512.4146541,467.7634456
2011,524,824.1577658,736.4327988
2011,525,122.210572,121.7599658
2011,HS,1750.083536,1722.491859
2011,ORE,864.7714505,829.3992038
2011,532RL,304.6399255,289.0748767
2011,5411,333.8337999,306.9022026
2011,5415,262.1961819,329.001204
2011,5412OP,1027.778124,1097.080217
2011,55,454.9754259,450.2351811
2011,561,635.3725239,635.0897946
2011,562,86.06082631,84.54366441
2011,61,312.1968941,314.3741475
2011,621,844.2262831,844.3196697
2011,622,679.6914945,680.613136
2011,623,204.8808121,204.8857365
2011,624,167.9090931,167.932696
2011,711AS,154.197406,139.4718213
2011,713,118.9496098,118.8989106
2011,721,205.1864059,204.5294087
2011,722,598.1585328,596.8380964
2011,81,562.5045918,561.1668861
2011,GFGD,693.6986776,695.6493049
2011,GFGN,368.0216183,369.4600803
2011,GFE,98.26876162,95.35480452
2011,GSLG,1966.772162,1971.467636
2011,GSLE,298.5794596,285.9603986
2012,111CA,468.6306583,404.166
2012,113FF,48.0995722,46.892
2012,211,608.8549345,362.616
2012,212,123.7180252,124.611
2012,213,116.9894572,126.19
2012,22,507.9209027,461.578
2012,23,1048.870187,1075.477
2012,321,79.4445418,80.398
2012,327,98.16205735,99.294
2012,331,249.8218027,269.218
2012,332,331.5483534,343.079
2012,333,352.0460163,404.552
2012,334,314.2426897,354.253
2012,335,111.2184329,122.794
2012,3361MV,495.5896976,516.699
2012,3364OT,277.3739592,290.815
2012,337,58.44060548,65.729
2012,339,149.4253941,156.592
2012,311FT,1005.391762,895.874
2012,313TT,50.8159385,51.802
2012,315AL,7.941719339,19.244
2012,322,182.5790178,179.235
2012,323,81.04761293,83.081
2012,324,1009.37071,833.174
2012,325,822.7299077,794.029
2012,326,215.3637115,216.486
2012,42,1683.469059,1655.028
2012,441,220.5494934,221.875
2012,445,208.7803247,207.679
2012,452,210.7720417,210.838
2012,4A0,758.7138185,763.319
2012,481,208.4556216,195.415
2012,482,81.97177389,79.141
2012,483,53.91027896,50.023
2012,484,297.9911598,297.774
2012,485,51.14347223,50.992
2012,486,43.92323199,36.442
2012,487OS,190.670122,187.233
2012,493,108.883733,108.888
2012,511,283.3244195,296.233
2012,512,139.1979325,131.699
2012,513,781.6386288,733.128
2012,514,213.5648186,221.543
2012,521CI,820.3420232,761.619
2012,523,538.3686435,478.47
2012,524,889.3728038,798.591
2012,525,139.8992314,117.259
2012,HS,1763.222608,1726.663
2012,ORE,929.4621609,889.093
2012,532RL,314.3329242,298.617
2012,5411,334.6954171,306.935
2012,5415,288.3677549,354.223
2012,5412OP,1006.181779,1123.861
2012,55,485.1600297,478.846
2012,561,661.4148733,661.562
2012,562,85.32618129,83.564
2012,61,306.5170087,309.61
2012,621,869.1735915,869.254
2012,622,708.2161853,709.379
2012,623,208.96943,208.979
2012,624,169.658697,169.679
2012,711AS,159.7132807,144.767
2012,713,119.8822904,119.836
2012,721,215.5767053,214.978
2012,722,615.1034317,613.983
2012,81,577.5894646,576.029
2012,GFGD,673.520743,676.303
2012,GFGN,368.5432229,370.378
2012,GFE,102.6383246,98.913
2012,GSLG,1945.288893,1947.062
2012,GSLE,313.0342606,298.57
2013,111CA,444.2219296,420.0646127
2013,113FF,48.20012257,48.1981787
2013,211,640.7565295,391.494883
2013,212,117.0185187,118.9735655
2013,213,97.54354678,125.8668437
2013,22,513.5648746,466.0971225
2013,23,1086.4734,1128.512488
2013,321,80.93403652,83.89403777
2013,327,101.0919985,102.9350132
2013,331,257.4999665,278.3293753
2013,332,337.928281,348.5399126
2013,333,339.3241893,391.446297
2013,334,328.6250928,355.2192175
2013,335,111.644683,123.7550645
2013,3361MV,538.3805542,550.3998909
2013,3364OT,280.8838789,299.0793759
2013,337,54.69384827,66.59806607
2013,339,155.9982392,165.9540944
2013,311FT,1016.050275,913.0265358
2013,313TT,50.99184988,53.18469398
2013,315AL,3.249708792,18.89724949
2013,322,181.8863838,179.9165585
2013,323,80.93059331,82.72247182
2013,324,1052.801924,863.2053806
2013,325,840.2555083,823.2479886
2013,326,216.6183466,219.7654445
2013,42,1784.370279,1721.203425
2013,441,243.5476549,245.1925543
2013,445,208.6004744,207.6042028
2013,452,215.0731834,215.2028244
2013,4A0,792.9183165,799.0861312
2013,481,217.4549604,202.4961396
2013,482,82.95322679,80.11151624
2013,483,54.52107698,50.56052114
2013,484,303.0831254,304.5854531
2013,485,54.93797882,54.63903366
2013,486,45.43452899,36.73040608
2013,487OS,195.3275009,190.8201192
2013,493,112.4603511,111.7750646
2013,511,312.0566844,310.9524895
2013,512,134.4660435,136.619994
2013,513,807.9166351,749.7202742
2013,514,233.1519815,240.2347354
2013,521CI,836.755038,777.0406913
2013,523,534.6830636,474.2308528
2013,524,921.6405996,827.3564829
2013,525,161.5130156,135.5303097
2013,HS,1784.276878,1743.029863
2013,ORE,1003.185698,960.4627846
2013,532RL,331.7171647,315.3567273
2013,5411,324.803098,297.716879
2013,5415,310.26348,369.3379096
2013,5412OP,1027.007223,1131.560509
2013,55,502.4566637,488.6777069
2013,561,684.2522856,681.2134559
2013,562,87.38227607,85.47727804
2013,61,309.7562457,312.3842837
2013,621,865.4711481,865.5747508
2013,622,716.9347439,718.0263465
2013,623,211.6609182,211.6676564
2013,624,171.185409,171.2084374
2013,711AS,164.9084978,148.7714629
2013,713,123.0530566,122.9797275
2013,721,222.5957892,221.7037595
2013,722,627.2949092,625.6137757
2013,81,576.7547459,574.6962508
2013,GFGD,630.7056441,633.1510606
2013,GFGN,358.9403906,360.5372605
2013,GFE,97.1453571,93.45068235
2013,GSLG,1960.271614,1962.204783
2013,GSLE,317.3078821,302.5492615
2014,111CA,471.2014249,426.9591743
2014,113FF,53.39174856,53.00329593
2014,211,652.8071093,426.7537306
2014,212,116.8875067,122.4624409
2014,213,37.48242954,159.7072121
2014,22,518.3202482,472.1610722
2014,23,1140.71136,1191.792556
2014,321,81.97483064,84.86816984
2014,327,104.1229324,107.0695856
2014,331,256.0985092,278.4018351
2014,332,344.2202748,355.5833421
2014,333,346.4751795,398.1527264
2014,334,340.5207882,354.7213471
2014,335,114.6950806,127.3907201
2014,3361MV,534.4704451,587.2035562
2014,3364OT,291.7554728,311.5349482
2014,337,59.44408161,67.44260484
2014,339,167.3720257,160.4764343
2014,311FT,1016.752335,910.5577956
2014,313TT,51.88556345,53.96859719
2014,315AL,4.603628257,18.15784282
2014,322,181.2459876,178.583728
2014,323,80.56836786,81.53338845
2014,324,1006.22299,834.613092
2014,325,836.5732045,810.5917251
2014,326,222.3384575,224.507892
2014,42,1893.320316,1802.327272
2014,441,269.7229657,271.6411199
2014,445,210.9529198,209.9680384
2014,452,219.0397337,219.1929247
2014,4A0,820.8991938,827.1238123
2014,481,238.6147215,210.6764134
2014,482,87.4345861,84.81309337
2014,483,57.0630017,52.98547068
2014,484,324.8594758,326.4871626
2014,485,61.14032465,60.86070485
2014,486,47.11708756,39.1053764
2014,487OS,207.0883213,200.4218243
2014,493,113.6956037,112.3573748
2014,511,330.2374169,327.2902762
2014,512,136.8002158,138.2572914
2014,513,856.4302356,792.944715
2014,514,254.6601003,260.4244569
2014,521CI,855.3108144,794.9007774
2014,523,522.7673387,466.0142255
2014,524,977.069192,884.5774773
2014,525,164.0536973,137.51382
2014,HS,1810.622364,1738.811048
2014,ORE,1034.818143,1008.8257
2014,532RL,348.4924785,334.1377749
2014,5411,319.2427265,295.0836616
2014,5415,335.7714376,399.2951331
2014,5412OP,1100.975484,1185.159305
2014,55,531.6051575,519.4258455
2014,561,739.1790574,737.2642375
2014,562,91.87583538,90.3897978
2014,61,313.1266842,315.283236
2014,621,892.1253885,892.2740288
2014,622,718.8491179,719.8774351
2014,623,216.2749071,216.2839925
2014,624,177.6442021,177.6651074
2014,711AS,173.5952629,156.8679416
2014,713,125.8936598,125.8390589
2014,721,234.0168786,233.392097
2014,722,651.5498602,650.1047981
2014,81,603.7816357,602.0764871
2014,GFGD,609.2052256,611.1507441
2014,GFGN,359.9780659,361.275454
2014,GFE,94.63999816,91.01968091
2014,GSLG,1974.270998,1974.686571
2014,GSLE,327.638257,302.0676769
2015,111CA,475.0016246,436.0488367
2015,113FF,51.92499325,51.65745506
2015,211,681.548864,385.4277226
2015,212,110.9787404,116.0829032
2015,213,37.97468934,130.5363462
2015,22,511.7260621,467.807517
2015,23,1119.313151,1295.417935
2015,321,84.42800338,90.20827436
2015,327,103.3046289,109.2318949
2015,331,253.1990656,263.6489986
2015,332,337.5253009,347.9478634
2015,333,344.3391739,365.7140668
2015,334,352.488463,357.9108663
2015,335,127.9700501,127.9215545
2015,3361MV,558.1794871,612.0777708
2015,3364OT,302.3698594,312.476085
2015,337,69.76523047,71.61670546
2015,339,167.7414138,162.2099672
2015,311FT,1051.80162,942.6697447
2015,313TT,50.2557959,51.98721063
2015,315AL,3.771287078,17.53919044
2015,322,180.5840698,177.498468
2015,323,80.81678093,80.75759637
2015,324,971.2186139,816.58304
2015,325,816.4231436,798.7331198
2015,326,228.5528319,229.5009016
2015,42,1947.344691,1834.793204
2015,441,348.7654489,309.3517
2015,445,211.9791765,211.0073652
2015,452,226.3698135,226.8170894
2015,4A0,856.0141717,869.7926879
2015,481,238.2258179,221.8366338
2015,482,83.63269705,81.24824659
2015,483,54.42912528,50.44854095
2015,484,334.3701427,332.248169
2015,485,63.9641653,63.65092971
2015,486,48.30372633,41.175425
2015,487OS,216.2146025,209.4803452
2015,493,114.5053023,111.8821372
2015,511,331.404449,331.2869921
2015,512,140.5766192,145.2152306
2015,513,906.7253445,835.6001965
2015,514,285.6581945,287.7877374
2015,521CI,859.6712684,796.9871293
2015,523,514.283387,457.0513089
2015,524,1015.323334,923.2496697
2015,525,178.6306081,149.5228717
2015,HS,1833.145861,1738.697539
2015,ORE,1074.423551,1080.250361
2015,532RL,344.3099729,330.8324745
2015,5411,317.2059268,297.423745
2015,5415,330.4474991,414.3131013
2015,5412OP,1184.138492,1215.558175
2015,55,547.6253087,536.8542537
2015,561,773.3063987,772.1057593
2015,562,93.05480046,92.13327874
2015,61,317.7373976,319.0729495
2015,621,940.6125985,940.9201437
2015,622,752.4881294,753.697788
2015,623,221.2024186,221.2311618
2015,624,184.0328901,184.1032362
2015,711AS,180.6242567,162.5597135
2015,713,129.7365813,129.7115215
2015,721,242.1424502,241.8098771
2015,722,685.9752183,684.9764838
2015,81,615.3320042,613.60812
2015,GFGD,595.8211433,596.7820889
2015,GFGN,370.9698152,371.7633928
2015,GFE,97.23411218,91.98470896
2015,GSLG,2029.10903,2029.242764
2015,GSLE,339.0156138,313.484584
2016,111CA,510.8756031,461.5977536
2016,113FF,47.37489594,48.12054667
2016,211,667.0444178,363.1658128
2016,212,105.6822295,107.0434337
2016,213,64.04995247,71.53234164
2016,22,503.1766528,460.0327092
2016,23,1075.68198,1377.64628
2016,321,81.42015934,92.85185132
2016,327,100.4599512,111.8139082
2016,331,235.660371,249.8897303
2016,332,321.3045392,340.2000873
2016,333,328.0851578,340.6332211
2016,334,370.9303817,365.1531145
2016,335,118.1774847,124.9476687
2016,3361MV,570.7066482,607.1532051
2016,3364OT,309.833209,288.3043838
2016,337,69.22525192,72.17826789
2016,339,156.5570756,153.12297
2016,311FT,1075.911485,966.2365365
2016,313TT,48.84083967,51.00643607
2016,315AL,6.327734405,17.73403157
2016,322,178.7662893,174.597221
2016,323,85.06319933,84.21199313
