vincolo,duale,famiglia
"bilancio[111CA,2010]",-1.065569565e-05,bilancio
"bilancio[113FF,2010]",-1.655553187e-05,bilancio
"bilancio[211,2010]",-5.479250995e-06,bilancio
"bilancio[212,2010]",-5.315758824e-06,bilancio
"bilancio[213,2010]",-7.868096164e-06,bilancio
"bilancio[22,2010]",-6.541682915e-06,bilancio
"bilancio[23,2010]",-1.182557835e-05,bilancio
"bilancio[321,2010]",-1.382303404e-05,bilancio
"bilancio[327,2010]",-1.02993349e-05,bilancio
"bilancio[331,2010]",-7.396904058e-06,bilancio
"bilancio[332,2010]",-1.078498591e-05,bilancio
"bilancio[333,2010]",-9.30072638e-06,bilancio
"bilancio[334,2010]",-7.579535125e-06,bilancio
"bilancio[335,2010]",-8.75331043e-06,bilancio
"bilancio[3361MV,2010]",-8.576717799e-06,bilancio
"bilancio[3364OT,2010]",-7.940767011e-06,bilancio
"bilancio[337,2010]",-1.401526609e-05,bilancio
"bilancio[339,2010]",-9.09922101e-06,bilancio
"bilancio[311FT,2010]",-9.607351873e-06,bilancio
"bilancio[313TT,2010]",-1.165207756e-05,bilancio
"bilancio[315AL,2010]",-1.561838255e-05,bilancio
"bilancio[322,2010]",-9.03287633e-06,bilancio
"bilancio[323,2010]",-1.304685929e-05,bilancio
"bilancio[324,2010]",-3.803275609e-06,bilancio
"bilancio[325,2010]",-5.479250995e-06,bilancio
"bilancio[326,2010]",-9.35622883e-06,bilancio
"bilancio[42,2010]",-8.925230762e-06,bilancio
"bilancio[441,2010]",-1.282407054e-05,bilancio
"bilancio[445,2010]",-1.93292955e-05,bilancio
"bilancio[452,2010]",-1.954367688e-05,bilancio
"bilancio[4A0,2010]",-1.582809469e-05,bilancio
"bilancio[481,2010]",-7.121977422e-06,bilancio
"bilancio[482,2010]",-7.320872568e-06,bilancio
"bilancio[483,2010]",-8.482053416e-06,bilancio
"bilancio[484,2010]",-1.199238309e-05,bilancio
"bilancio[485,2010]",-1.423205858e-05,bilancio
"bilancio[486,2010]",-5.431079075e-06,bilancio
"bilancio[487OS,2010]",-1.277539692e-05,bilancio
"bilancio[493,2010]",-1.5107356e-05,bilancio
"bilancio[511,2010]",-7.351919978e-06,bilancio
"bilancio[512,2010]",-9.13226503e-06,bilancio
"bilancio[513,2010]",-9.257403397e-06,bilancio
"bilancio[514,2010]",-7.272785988e-06,bilancio
"bilancio[521CI,2010]",-8.896925074e-06,bilancio
"bilancio[523,2010]",-7.361524309e-06,bilancio
"bilancio[524,2010]",-8.547592171e-06,bilancio
"bilancio[525,2010]",-8.52545589e-06,bilancio
"bilancio[HS,2010]",-9.256347921e-06,bilancio
"bilancio[ORE,2010]",-8.947585197e-06,bilancio
"bilancio[532RL,2010]",-7.694294802e-06,bilancio
"bilancio[5411,2010]",-8.026777218e-06,bilancio
"bilancio[5415,2010]",-1.051196551e-05,bilancio
"bilancio[5412OP,2010]",-1.001796922e-05,bilancio
"bilancio[55,2010]",-9.532542356e-06,bilancio
"bilancio[561,2010]",-1.913252594e-05,bilancio
"bilancio[562,2010]",-1.049698514e-05,bilancio
"bilancio[61,2010]",-1.572727195e-05,bilancio
"bilancio[621,2010]",-1.302590602e-05,bilancio
"bilancio[622,2010]",-1.390806592e-05,bilancio
"bilancio[623,2010]",-2.444556257e-05,bilancio
"bilancio[624,2010]",-2.372340049e-05,bilancio
