anno,industria,x,x_oss
2010,111CA,415.6732562,410.635968
2010,113FF,44.89432203,47.97230405
2010,211,372.3081049,310.2504248
2010,212,132.5396378,122.5519868
2010,213,108.0966418,90.07869719
2010,22,526.0880596,484.3502015
2010,23,1168.353271,1072.812018
2010,321,71.48158744,74.19156597
2010,327,93.94409529,95.87725762
2010,331,218.8196943,252.4715087
2010,332,291.4394337,310.3419818
2010,333,267.6459747,333.6215223
2010,334,324.582261,349.1128872
2010,335,127.8610611,113.7506109
2010,3361MV,342.2988396,450.373889
2010,3364OT,323.5649396,258.369358
2010,337,45.26129126,59.88056791
2010,339,145.1703114,165.57078
2010,311FT,872.338533,901.9630011
2010,313TT,48.2457241,54.22248795
2010,315AL,9.404148766,24.45383947
2010,322,168.2232506,175.7695379
2010,323,85.006892,85.58333584
2010,324,982.6376231,794.8962343
2010,325,901.9544601,789.840828
2010,326,189.5322301,203.1143406
2010,42,1377.65813,1431.256907
2010,441,199.1396969,203.930149
2010,445,214.938765,215.2000665
2010,452,230.921654,231.4790434
2010,4A0,708.1089289,711.8769266
2010,481,195.0797204,183.2040915
2010,482,74.79718345,74.83133139
2010,483,50.42314454,47.2954469
2010,484,263.992317,274.2471601
2010,485,48.25348989,48.13693776
2010,486,35.89615805,33.19677558
2010,487OS,182.0127713,182.0347979
2010,493,84.03260432,85.26549403
2010,511,307.2206703,288.8876666
2010,512,154.4849883,132.338888
2010,513,717.0946778,692.5783474
2010,514,165.3158786,163.9690117
2010,521CI,732.9508388,723.1898399
2010,523,533.8068176,496.4579255
2010,524,750.6982871,679.690766
2010,525,119.1581792,118.6887055
2010,HS,1743.514628,1709.351405
2010,ORE,826.5724298,813.7397603
2010,532RL,289.9563291,277.3149204
2010,5411,328.3443233,305.5937754
2010,5415,243.1795474,304.0280435
2010,5412OP,1044.527085,1055.164244
2010,55,424.978081,429.75256
2010,561,600.2985469,601.835638
2010,562,86.73138318,86.06860898
2010,61,307.0709491,308.004095
2010,621,825.6907774,825.6834837
2010,622,660.5138023,660.9254589
2010,623,202.7496123,202.752989
2010,624,170.0441452,170.038702
2010,711AS,150.1243419,138.1331143
2010,713,117.7767741,117.744059
2010,721,195.3130604,195.0397039
2010,722,574.9522345,574.4082853
2010,81,560.4757592,560.2502366
2010,GFGD,702.720676,703.4826768
2010,GFGN,385.6340729,386.3430023
2010,GFE,101.6710798,99.90879426
2010,GSLG,2016.433471,2017.489888
2010,GSLE,290.2798144,280.1599134
2011,111CA,404.7935157,398.7032071
2011,113FF,47.63568867,49.85670241
2011,211,586.4591539,338.9433348
2011,212,139.1471616,131.1202909
2011,213,174.2367036,102.0075197
2011,22,508.6090896,465.8249772
2011,23,1081.889294,1046.056824
2011,321,73.24606693,75.24390211
2011,327,93.90540255,96.30291717
2011,331,243.7900683,271.4797559
2011,332,314.0699267,331.4110827
2011,333,320.9885362,377.0353514
2011,334,314.8754554,357.1258249
2011,335,131.0158203,120.0001713
2011,3361MV,457.6629307,508.659353
2011,3364OT,269.5808366,262.9648768
2011,337,49.19197753,58.73263825
2011,339,149.9136066,164.2295121
2011,311FT,872.0863707,887.9799837
2011,313TT,48.47022553,53.04934453
2011,315AL,13.11513513,25.50676976
2011,322,169.9370929,176.1601432
2011,323,83.04919682,84.6510011
2011,324,1024.646346,826.1336318
2011,325,792.1589499,784.2614949
2011,326,195.4065537,206.0256866
2011,42,1514.058691,1568.324004
2011,441,197.417009,200.4171631
2011,445,212.2513689,212.3239302
2011,452,229.9180643,230.402262
2011,4A0,727.2336719,732.0315603
2011,481,217.136513,203.6993295
2011,482,78.59784365,79.14806081
2011,483,48.47835559,48.13883694
2011,484,280.9199338,287.2535148
2011,485,50.25034631,50.06238943
2011,486,43.65951855,35.64376506
2011,487OS,185.8084602,185.1248499
2011,493,94.18317806,95.6336742
2011,511,281.740239,297.0505292
2011,512,188.244248,131.2464387
2011,513,777.7836577,714.725948
2011,514,188.4187449,189.4518897
2011,521CI,770.6933254,717.0025217
2011,523,512.5485353,467.7634456
2011,524,792.6059233,736.4327988
2011,525,122.0379451,121.7599658
2011,HS,1745.863944,1722.491859
2011,ORE,849.7337355,829.3992038
2011,532RL,305.1826241,289.0748767
2011,5411,331.0420561,306.9022026
2011,5415,258.4901888,329.001204
2011,5412OP,1057.418049,1097.080217
2011,55,452.0990871,450.2351811
2011,561,633.3637486,635.0897946
2011,562,85.9012201,84.54366441
2011,61,312.671873,314.3741475
2011,621,844.2590738,844.3196697
2011,622,679.8784964,680.613136
2011,623,204.8828864,204.8857365
2011,624,167.9205872,167.932696
2011,711AS,147.1548729,139.4718213
2011,713,118.9335576,118.8989106
2011,721,205.1138277,204.5294087
2011,722,597.9980258,596.8380964
2011,81,561.622793,561.1668861
2011,GFGD,694.279824,695.6493049
2011,GFGN,368.3119988,369.4600803
2011,GFE,97.22962167,95.35480452
2011,GSLG,1968.139813,1971.467636
2011,GSLE,297.2518207,285.9603986
2012,111CA,435.7240764,404.166
2012,113FF,46.23212786,46.892
2012,211,600.9057066,362.616
2012,212,128.1465336,124.611
2012,213,154.9225544,126.19
2012,22,504.8702189,461.578
2012,23,1132.175668,1075.477
2012,321,79.62892574,80.398
2012,327,98.44875752,99.294
2012,331,252.5977534,269.218
