vincolo,duale,famiglia
"bilancio[111CA,2010]",-9.593544356e-06,bilancio
"bilancio[113FF,2010]",-1.784793458e-05,bilancio
"bilancio[211,2010]",-5.907598183e-06,bilancio
"bilancio[212,2010]",-5.785231224e-06,bilancio
"bilancio[213,2010]",-8.209280647e-06,bilancio
"bilancio[22,2010]",-7.122039699e-06,bilancio
"bilancio[23,2010]",-1.288145567e-05,bilancio
"bilancio[321,2010]",-1.504608616e-05,bilancio
"bilancio[327,2010]",-1.122089168e-05,bilancio
"bilancio[331,2010]",-8.054003616e-06,bilancio
"bilancio[332,2010]",-1.175438516e-05,bilancio
"bilancio[333,2010]",-1.013328856e-05,bilancio
"bilancio[334,2010]",-8.260511674e-06,bilancio
"bilancio[335,2010]",-9.538038748e-06,bilancio
"bilancio[3361MV,2010]",-9.33178976e-06,bilancio
"bilancio[3364OT,2010]",-8.652415304e-06,bilancio
"bilancio[337,2010]",-1.527609711e-05,bilancio
"bilancio[339,2010]",-9.909530773e-06,bilancio
"bilancio[311FT,2010]",-9.907549797e-06,bilancio
"bilancio[313TT,2010]",-1.256541919e-05,bilancio
"bilancio[315AL,2010]",-1.701515121e-05,bilancio
"bilancio[322,2010]",-9.833141177e-06,bilancio
"bilancio[323,2010]",-1.422161365e-05,bilancio
"bilancio[324,2010]",-4.10978541e-06,bilancio
"bilancio[325,2010]",-5.907598183e-06,bilancio
"bilancio[326,2010]",-1.017920463e-05,bilancio
"bilancio[42,2010]",-9.720911727e-06,bilancio
"bilancio[441,2010]",-1.399457836e-05,bilancio
"bilancio[445,2010]",-2.10887526e-05,bilancio
"bilancio[452,2010]",-2.13306374e-05,bilancio
"bilancio[4A0,2010]",-1.727197615e-05,bilancio
"bilancio[481,2010]",-7.761728647e-06,bilancio
"bilancio[482,2010]",-7.976454042e-06,bilancio
"bilancio[483,2010]",-9.238882953e-06,bilancio
"bilancio[484,2010]",-1.308008955e-05,bilancio
"bilancio[485,2010]",-1.552919959e-05,bilancio
"bilancio[486,2010]",-5.914812116e-06,bilancio
"bilancio[487OS,2010]",-1.393705182e-05,bilancio
"bilancio[493,2010]",-1.648391848e-05,bilancio
"bilancio[511,2010]",-8.00737676e-06,bilancio
"bilancio[512,2010]",-1.438486999e-05,bilancio
"bilancio[513,2010]",-9.257283699e-06,bilancio
"bilancio[514,2010]",-7.918865891e-06,bilancio
"bilancio[521CI,2010]",-9.692061548e-06,bilancio
"bilancio[523,2010]",-8.00874319e-06,bilancio
"bilancio[524,2010]",-9.324469716e-06,bilancio
"bilancio[525,2010]",-9.272759686e-06,bilancio
"bilancio[HS,2010]",-9.256347921e-06,bilancio
"bilancio[ORE,2010]",-9.747333256e-06,bilancio
"bilancio[532RL,2010]",-8.363404524e-06,bilancio
"bilancio[5411,2010]",-8.744108818e-06,bilancio
"bilancio[5415,2010]",-1.145905537e-05,bilancio
"bilancio[5412OP,2010]",-1.087518638e-05,bilancio
"bilancio[55,2010]",-1.039107156e-05,bilancio
"bilancio[561,2010]",-2.087290796e-05,bilancio
"bilancio[562,2010]",-1.144407053e-05,bilancio
"bilancio[61,2010]",-1.714745642e-05,bilancio
"bilancio[621,2010]",-1.421002388e-05,bilancio
"bilancio[622,2010]",-1.516497171e-05,bilancio
"bilancio[623,2010]",-2.667304686e-05,bilancio
"bilancio[624,2010]",-2.587396048e-05,bilancio
"bilancio[711AS,2010]",-9.146473847e-06,bilancio
"bilancio[713,2010]",-1.776100444e-05,bilancio
"bilancio[721,2010]",-1.716516068e-05,bilancio
"bilancio[722,2010]",-2.386128229e-05,bilancio
"bilancio[81,2010]",-1.817118029e-05,bilancio
"bilancio[GFGD,2010]",-7.651906882e-06,bilancio
"bilancio[GFGN,2010]",-1.233468659e-05,bilancio
"bilancio[GFE,2010]",-1.40077168e-05,bilancio
