anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,27873.50608,10793.72336,3298.316228,787.641367,404.9141306,589.2146946,382.9823414,2164.752534,2302.605583,2020.103644,144.6488897,19.40052034,1600.844595,2131.091685,33.99944682,0.9991045882,15917.79805,13897.69441,3103.971043
2011,28502.22992,10931.30501,3204.017473,889.147231,411.8340548,625.7717854,382.3305865,2309.083658,2427.366966,2037.72889,271.3547675,12.52913459,1737.959754,2281.33261,34.26650824,1.011839624,16066.11224,14028.38335,3097.078337
2012,29250.58173,11056.32784,3142.018,979.968,461.3877392,655.697,432.014,2529.066739,2649.67108,2082.977365,446.0893743,42.17917562,1789.203,2359.7,35.75138794,1.023412172,16355.45048,14272.47312,3216.145278
2013,29899.85064,11217.06883,3066.668636,1040.300973,467.9064184,696.838089,486.640999,2691.686479,2801.320694,2146.487565,545.1989146,76.94093972,1813.000954,2314.001983,28.35606429,1.038290918,16689.35414,14542.86657,3325.79774
2014,30735.97623,11470.73127,3043.148649,1120.873071,519.5374335,736.3419464,508.1175307,2884.869981,3011.752898,2219.595004,665.274977,34.22053291,1861.772477,2400.943252,46.83520171,1.061770795,17067.51777,14847.92277,3377.191501
2015,31444.24389,11875.06634,3099.013496,1162.908228,508.2394309,771.8410725,562.3000943,3005.288826,3126.26933,2304.6917,700.5971257,70.36628184,1786.331162,2449.018461,83.22024414,1.099197456,17591.24839,15286.55669,3411.490353
2016,32024.68141,12189.32786,3153.230443,1160.192463,494.6857711,845.5307864,602.4324513,3102.841472,3213.322113,2389.482244,713.3592275,-11.65477501,1792.891133,2422.09463,56.94388981,1.128286596,17971.96603,15582.48379,3393.15593
2017,32781.29816,12451.91164,3174.345219,1217.722438,505.8650774,902.5941762,629.0185563,3255.200248,3364.460827,2479.926159,775.2740887,-25.48814693,1869.897522,2503.170818,60.63333295,1.152592264,18392.58958,15912.66342,3460.751776
2018,33797.64687,12712.14343,3247.706474,1277.112406,540.3655188,984.9626808,627.4769191,3429.917525,3539.185693,2578.381594,851.5359311,35.06368171,1924.276746,2597.656693,29.26878166,1.176680224,18889.98811,16311.60652,3599.463089
2019,34385.62362,12927.03504,3372.528694,1294.274697,552.0009372,1064.490259,622.2039545,3532.969848,3613.921401,2693.588797,839.3810502,48.7553133,1937.66587,2611.710152,30.41031742,1.196571339,19318.60648,16625.01768,3697.982647
