anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28171.2366,11505.82638,3298.316228,353.2908714,251.5717433,100.4824897,1023.727951,1729.073056,1842.842982,2020.103644,-291.0305882,-54.29471246,1600.844595,2131.091685,0,1.065019321,16062.44379,14042.34015,2536.513763
2011,29041.87184,11823.87783,3204.017473,246.1162442,562.427572,332.618994,394.5580825,1535.720893,1585.105047,1843.175338,-307.4544455,217.0653983,1737.959754,2281.33261,0,1.094459269,16286.69289,14443.51755,2619.639725
2012,29559.51706,11951.32752,3142.018,701.3556837,148.7570214,485.8131686,933.2867829,2269.212657,2349.712228,1772.276461,496.9361955,-340.0086302,1789.203,2359.7,0,1.106256456,16532.55212,14760.27566,2808.948137
2013,30436.4181,12148.67515,3066.668636,512.9799834,169.5074996,774.5117395,640.088721,2097.087944,2155.342432,1833.784994,263.3029495,93.68690008,1813.000954,2314.001983,0,1.124523639,16963.37209,15129.58709,2980.911945
2014,31298.69168,12501.73523,3043.148649,639.5080675,96.44489507,917.4354378,633.5731582,2286.961559,2342.587372,1923.718157,363.2434019,68.79368012,1861.772477,2400.943252,0,1.157204109,17417.09415,15493.37599,2991.640769
2015,32201.23221,12998.93873,3099.013496,1005.306463,1.99372486,694.7642934,797.8997534,2499.964234,2549.81226,2048.351011,451.6132237,118.682562,1786.331162,2449.018461,0,1.203226995,18103.75975,16055.40874,3056.470008
2016,32805.28841,13511.66397,3153.230443,1001.615834,0,1027.491018,452.4965348,2481.603386,2507.141196,2135.448852,346.1545345,46.82602574,1792.891133,2422.09463,0,1.250686627,18589.65814,16454.20929,2942.545316
2017,33862.15443,13880.81661,3174.345219,1005.154726,0,1083.646062,62.94421336,2151.745002,2105.936431,2281.265154,-129.5201526,617.1183399,1869.897522,2503.170818,0,1.28485668,19144.94331,16863.67815,2982.861539
2018,34937.01493,14119.66374,3247.706474,1358.016159,12.08568821,1253.568392,0,2623.670239,2337.68086,2448.872801,174.7974387,659.843636,1924.276746,2597.656693,0,1.306965201,19691.51477,17242.64197,3122.978222
2019,35481.98587,14449.55118,3372.528694,4888.871159,0,1056.001636,0,5944.872796,4185.119899,2711.553417,3233.319379,-950.8535332,1937.66587,2611.710152,0,1.33750073,20382.30196,17670.74854,3221.197362
