anno,industria,x,x_oss
2010,111CA,415.6732562,410.635968
2010,113FF,46.90619039,47.97230405
2010,211,369.7619029,310.2504248
2010,212,127.2099721,122.5519868
2010,213,89.77910906,90.07869719
2010,22,531.9314451,484.3502015
2010,23,1405.150643,1072.812018
2010,321,83.96044772,74.19156597
2010,327,104.5638274,95.87725762
2010,331,216.7570975,252.4715087
2010,332,292.4808085,310.3419818
2010,333,227.1901358,333.6215223
2010,334,298.097163,349.1128872
2010,335,108.6037202,113.7506109
2010,3361MV,366.1679743,450.373889
2010,3364OT,214.8171243,258.369358
2010,337,48.68216631,59.88056791
2010,339,153.0441933,165.57078
2010,311FT,881.1349879,901.9630011
2010,313TT,51.63833902,54.22248795
2010,315AL,11.22490891,24.45383947
2010,322,172.3880766,175.7695379
2010,323,79.48835866,85.58333584
2010,324,987.0391068,794.8962343
2010,325,777.5477693,789.840828
2010,326,197.4670682,203.1143406
2010,42,1416.850724,1431.256907
2010,441,197.4184097,203.930149
2010,445,215.0681937,215.2000665
2010,452,231.2004547,231.4790434
2010,4A0,720.5122838,711.8769266
2010,481,194.5493823,183.2040915
2010,482,74.77990077,74.83133139
2010,483,50.48231925,47.2954469
2010,484,261.238281,274.2471601
2010,485,48.07895643,48.13693776
2010,486,36.76268145,33.19677558
2010,487OS,180.2334801,182.0347979
2010,493,84.16890103,85.26549403
2010,511,249.0083126,288.8876666
2010,512,132.8985389,132.338888
2010,513,717.0946778,692.5783474
2010,514,148.5645979,163.9690117
2010,521CI,778.7597898,723.1898399
2010,523,551.4460125,496.4579255
2010,524,762.5404484,679.690766
2010,525,141.7360922,118.6887055
2010,HS,1743.514628,1709.351405
2010,ORE,936.7733865,813.7397603
2010,532RL,288.992588,277.3149204
2010,5411,353.1648599,305.5937754
2010,5415,202.7020623,304.0280435
2010,5412OP,841.8468778,1055.164244
2010,55,414.0023145,429.75256
2010,561,599.8761256,601.835638
2010,562,87.63915989,86.06860898
2010,61,301.9477996,308.004095
2010,621,825.7500672,825.6834837
2010,622,659.6471882,660.9254589
2010,623,202.7499116,202.752989
2010,624,170.0761159,170.038702
2010,711AS,149.0918755,138.1331143
2010,713,117.7676539,117.744059
2010,721,195.2526302,195.0397039
2010,722,574.8266655,574.4082853
2010,81,561.8384866,560.2502366
