anno,industria,tipo,I
2012,111CA,E,42.36969376
2012,111CA,S,3.802567706
2012,111CA,N,0
2012,113FF,E,0
2012,113FF,S,0.2584697574
2012,113FF,N,0
2012,211,E,0
2012,211,S,173.6724366
2012,211,N,295.7366237
2012,212,E,0
2012,212,S,5.972496426
2012,212,N,0
2012,213,E,76.09174939
2012,213,S,2.273343958
2012,213,N,0
2012,22,E,72.80286872
2012,22,S,25.80172725
2012,22,N,0
2012,23,E,0
2012,23,S,1.07817425
2012,23,N,0
2012,311FT,E,0
2012,311FT,S,1.77794785
2012,311FT,N,0
2012,313TT,E,0
2012,313TT,S,0.06795154185
2012,313TT,N,0
2012,315AL,E,0
2012,315AL,S,0.02073412698
2012,315AL,N,0
2012,321,E,0
2012,321,S,0.1104280742
2012,321,N,0
2012,322,E,0
2012,322,S,0.3591791045
2012,322,N,0
2012,323,E,0
2012,323,S,0.1094047619
2012,323,N,0
2012,324,E,33.13578392
2012,324,S,0.8736590519
2012,324,N,0
2012,325,E,0
2012,325,S,1.433011864
2012,325,N,124.6401165
2012,326,E,0
2012,326,S,0.351258565
2012,326,N,0
2012,327,E,0
2012,327,S,0.2849756477
2012,327,N,0
2012,331,E,0
2012,331,S,0.6180707354
2012,331,N,0
2012,332,E,0.5769374779
2012,332,S,0.6012737092
2012,332,N,0
2012,333,E,0
2012,333,S,0.9255115115
2012,333,N,0
2012,334,E,0
2012,334,S,2.207682285
2012,334,N,0
2012,335,E,0
2012,335,S,0.2504053803
2012,335,N,0
2012,3361MV,E,0
2012,3361MV,S,0.9648790364
2012,3361MV,N,0
2012,3364OT,E,0
2012,3364OT,S,0.7811801459
2012,3364OT,N,0
2012,337,E,0
2012,337,S,0.07062195122
2012,337,N,0
2012,339,E,0
2012,339,S,0.4626887575
2012,339,N,0
2012,42,E,80.55384066
2012,42,S,3.893238906
2012,42,N,0
2012,441,E,0
2012,441,S,0.9017296904
2012,441,N,0
2012,445,E,0
2012,445,S,1.169007502
2012,445,N,0
2012,452,E,0
2012,452,S,2.530599631
2012,452,N,1.585467998
2012,481,E,33.69664555
2012,481,S,0.260629745
2012,481,N,0
2012,482,E,26.55576088
2012,482,S,4.1713792
2012,482,N,0
2012,483,E,14.66217159
2012,483,S,0.02861019772
2012,483,N,0
2012,484,E,10.94934341
2012,484,S,0.1200307182
2012,484,N,0
2012,485,E,0
2012,485,S,0.05482624398
2012,485,N,0
2012,486,E,16.78880542
2012,486,S,3.129512148
2012,486,N,0
2012,487OS,E,0
2012,487OS,S,0.8729721074
2012,487OS,N,0
2012,493,E,1.854311476
2012,493,S,0.4240308723
2012,493,N,0
2012,4A0,E,0
2012,4A0,S,3.754482932
2012,4A0,N,7.285632165
2012,511,E,0
2012,511,S,0.7282668206
2012,511,N,0
2012,512,E,92.75272447
2012,512,S,0.2605545539
2012,512,N,80.34326096
2012,513,E,177.737001
2012,513,S,9.029072659
2012,513,N,0
2012,514,E,0
2012,514,S,49.11844809
2012,514,N,0
2012,521CI,E,160.4035288
2012,521CI,S,2.434742711
2012,521CI,N,0
2012,523,E,0
2012,523,S,0.9102142556
2012,523,N,8.144355929
2012,524,E,10.56304785
2012,524,S,66.78278545
2012,524,N,0
2012,525,E,0.007831187676
2012,525,S,0.07301048951
2012,525,N,0
2012,532RL,E,49.04880501
2012,532RL,S,0.2924921596
2012,532RL,N,0
2012,5411,E,0
2012,5411,S,4.206466791
2012,5411,N,0
2012,5412OP,E,0
2012,5412OP,S,2.449722875
2012,5412OP,N,9.123107762
2012,5415,E,0
2012,5415,S,0.4486844026
2012,5415,N,0
2012,55,E,0
2012,55,S,1.119269498
2012,55,N,9.844635376
2012,561,E,12.28143977
2012,561,S,0.9103573771
2012,561,N,0
2012,562,E,0
2012,562,S,0.368862544
2012,562,N,0
2012,61,E,0
2012,61,S,6.614340179
2012,61,N,10.39281254
2012,621,E,9.63936649
2012,621,S,2.230609813
2012,621,N,0
2012,622,E,0
2012,622,S,12.15131673
2012,622,N,27.81762617
2012,623,E,0
2012,623,S,1.641618403
2012,623,N,0.9423143545
2012,624,E,0
2012,624,S,0.5068498363
2012,624,N,0.2986803615
2012,711AS,E,0
2012,711AS,S,1.877335173
2012,711AS,N,18.2403124
2012,713,E,0
2012,713,S,2.184870988
2012,713,N,0
2012,721,E,0
2012,721,S,3.906815331
2012,721,N,0
2012,722,E,11.14684068
2012,722,S,1.543987112
2012,722,N,0
2012,81,E,0
2012,81,S,3.489709246
2012,81,N,0
2012,ORE,E,0
2012,ORE,S,10.15021875
2012,ORE,N,0
2012,HS,R,401.4471158
2013,111CA,E,0
2013,111CA,S,0
2013,111CA,N,14.57254916
2013,113FF,E,5.079524006
2013,113FF,S,-0
2013,113FF,N,0
2013,211,E,0
2013,211,S,324.8455955
2013,211,N,0
2013,212,E,0
2013,212,S,0
2013,212,N,0
2013,213,E,35.07801418
2013,213,S,-0
2013,213,N,0
2013,22,E,11.21846886
2013,22,S,-0
2013,22,N,0
2013,23,E,0
2013,23,S,0
2013,23,N,0
2013,311FT,E,13.65194053
2013,311FT,S,-0
2013,311FT,N,0
2013,313TT,E,0
2013,313TT,S,-0
2013,313TT,N,0
2013,315AL,E,0
2013,315AL,S,0
2013,315AL,N,0
2013,321,E,0
2013,321,S,-0
2013,321,N,0
2013,322,E,0
2013,322,S,-0
2013,322,N,5.393485358
2013,323,E,0
2013,323,S,0
2013,323,N,0
2013,324,E,16.78928787
2013,324,S,-0
2013,324,N,0
2013,325,E,0
2013,325,S,-0
2013,325,N,150.4341585
2013,326,E,0
2013,326,S,0
2013,326,N,2.328684385
2013,327,E,0
2013,327,S,-0
2013,327,N,0
2013,331,E,0
2013,331,S,-0
2013,331,N,0
2013,332,E,0
2013,332,S,0
2013,332,N,0
2013,333,E,0
2013,333,S,-0
2013,333,N,0
2013,334,E,93.27086451
2013,334,S,-0
2013,334,N,0
2013,335,E,0
2013,335,S,0
2013,335,N,0
2013,3361MV,E,32.93246236
2013,3361MV,S,-0
2013,3361MV,N,0
2013,3364OT,E,10.34172813
2013,3364OT,S,-0
2013,3364OT,N,0
2013,337,E,0
2013,337,S,0
2013,337,N,0
2013,339,E,0
2013,339,S,-0
2013,339,N,7.533690037
2013,42,E,84.52264632
2013,42,S,-0
2013,42,N,0
2013,441,E,0
2013,441,S,0
2013,441,N,0
2013,445,E,0
2013,445,S,-0
2013,445,N,2.630203205
2013,452,E,0
2013,452,S,-0
2013,452,N,7.30545345
2013,481,E,0
2013,481,S,0
2013,481,N,0
2013,482,E,0
2013,482,S,-0
2013,482,N,0
2013,483,E,0
2013,483,S,-0
2013,483,N,0
2013,484,E,24.95509675
2013,484,S,0
2013,484,N,0
2013,485,E,1.985892995
2013,485,S,-0
2013,485,N,0
2013,486,E,17.07818652
2013,486,S,-0
2013,486,N,0
2013,487OS,E,10.15013487
2013,487OS,S,-0
2013,487OS,N,0
2013,493,E,1.208698858
2013,493,S,-0
2013,493,N,0
2013,4A0,E,0
2013,4A0,S,-0
2013,4A0,N,29.11300629
2013,511,E,0
2013,511,S,0
2013,511,N,43.67731792
2013,512,E,0
2013,512,S,-0
2013,512,N,220.6887952
2013,513,E,170.943758
2013,513,S,-0
2013,513,N,0
2013,514,E,0
2013,514,S,53.12623975
2013,514,N,0
2013,521CI,E,123.4103801
2013,521CI,S,-0
2013,521CI,N,0
2013,523,E,0
2013,523,S,-0
2013,523,N,12.12950135
2013,524,E,0
2013,524,S,66.03402478
2013,524,N,0
2013,525,E,0
2013,525,S,-0
2013,525,N,0.8840751309
2013,532RL,E,85.898047
2013,532RL,S,-0
2013,532RL,N,0
2013,5411,E,0
2013,5411,S,5.326115913
2013,5411,N,0
2013,5412OP,E,0
2013,5412OP,S,-0
2013,5412OP,N,58.04062582
2013,5415,E,16.6075199
2013,5415,S,-0
2013,5415,N,0
2013,55,E,58.10396684
2013,55,S,0
2013,55,N,0
2013,561,E,41.33002972
2013,561,S,-0
2013,561,N,0
2013,562,E,4.584918831
2013,562,S,-0
2013,562,N,0
2013,61,E,0
2013,61,S,0
2013,61,N,16.11033167
2013,621,E,32.76548737
2013,621,S,-0
2013,621,N,0
2013,622,E,67.06702033
2013,622,S,-0
2013,622,N,0
2013,623,E,0
2013,623,S,0
2013,623,N,3.482495698
2013,624,E,0
2013,624,S,-0
2013,624,N,1.586312078
2013,711AS,E,0
2013,711AS,S,-0
2013,711AS,N,22.02777456
2013,713,E,0
2013,713,S,0
2013,713,N,1.511886152
2013,721,E,0
2013,721,S,-0
2013,721,N,3.050515244
2013,722,E,19.10244632
2013,722,S,-0
2013,722,N,0
2013,81,E,0
2013,81,S,0
2013,81,N,23.17802947
2013,ORE,E,0
2013,ORE,S,-0
2013,ORE,N,0
2013,HS,R,407.9266452
2014,111CA,E,0
2014,111CA,S,-0
2014,111CA,N,19.00117994
2014,113FF,E,4.903985889
2014,113FF,S,-0
2014,113FF,N,0
2014,211,E,0
2014,211,S,242.176016
2014,211,N,0
2014,212,E,0
2014,212,S,4.332479958
2014,212,N,0
2014,213,E,0
2014,213,S,80.71672306
2014,213,N,0
2014,22,E,26.08410311
2014,22,S,0
2014,22,N,0
2014,23,E,27.34018162
2014,23,S,-0
2014,23,N,0
2014,311FT,E,31.8188926
2014,311FT,S,-0
2014,311FT,N,0
2014,313TT,E,0
2014,313TT,S,-0
2014,313TT,N,0
2014,315AL,E,0
2014,315AL,S,0
2014,315AL,N,0
2014,321,E,0
2014,321,S,0
2014,321,N,0
2014,322,E,0
2014,322,S,0
2014,322,N,7.793854472
2014,323,E,0
2014,323,S,-0
2014,323,N,0
2014,324,E,18.13491507
2014,324,S,0
2014,324,N,0
2014,325,E,0
2014,325,S,0
2014,325,N,3.2516467
2014,326,E,0
2014,326,S,-0
2014,326,N,9.938905928
2014,327,E,0
2014,327,S,0
2014,327,N,0
2014,331,E,0
2014,331,S,0
2014,331,N,0
2014,332,E,11.33869751
2014,332,S,0
2014,332,N,0
2014,333,E,0
2014,333,S,0
2014,333,N,0
2014,334,E,103.718488
2014,334,S,0
2014,334,N,0
2014,335,E,0
2014,335,S,0
2014,335,N,5.226770024
2014,3361MV,E,39.64145707
2014,3361MV,S,0
2014,3361MV,N,0
2014,3364OT,E,16.79941321
2014,3364OT,S,0
2014,3364OT,N,0
2014,337,E,0
2014,337,S,-0
2014,337,N,0.4062515913
2014,339,E,0
2014,339,S,0
2014,339,N,12.40704137
2014,42,E,10.19986749
2014,42,S,71.31188325
2014,42,N,0
2014,441,E,0
2014,441,S,-0
2014,441,N,9.457114524
2014,445,E,0
2014,445,S,-0
2014,445,N,7.661035315
2014,452,E,0
2014,452,S,-0
2014,452,N,10.42310119
2014,481,E,0
2014,481,S,-0
2014,481,N,0
2014,482,E,0
2014,482,S,-0
2014,482,N,0
2014,483,E,0
2014,483,S,-0
2014,483,N,0
2014,484,E,20.57146231
2014,484,S,0
2014,484,N,0
2014,485,E,3.219793551
2014,485,S,0
2014,485,N,0
2014,486,E,16.40893882
2014,486,S,0
2014,486,N,0
2014,487OS,E,10.67576225
2014,487OS,S,-0
2014,487OS,N,0
2014,493,E,0.8915457623
2014,493,S,-0
2014,493,N,0
2014,4A0,E,0
2014,4A0,S,-0
2014,4A0,N,38.42838996
2014,511,E,0
2014,511,S,-0
2014,511,N,52.30023886
2014,512,E,0
2014,512,S,0
2014,512,N,361.2840811
2014,513,E,177.5107958
2014,513,S,0
2014,513,N,0
2014,514,E,0
2014,514,S,50.2855525
2014,514,N,0
2014,521CI,E,110.063501
2014,521CI,S,-0
2014,521CI,N,0
2014,523,E,0
2014,523,S,0
2014,523,N,13.46006691
2014,524,E,0
2014,524,S,15.95068662
2014,524,N,0
