vincolo,duale,famiglia
"bilancio[111CA,2012]",-1.359013536e-05,bilancio
"bilancio[113FF,2012]",-1.206968161e-05,bilancio
"bilancio[211,2012]",-5.351871313e-06,bilancio
"bilancio[212,2012]",-5.51941113e-06,bilancio
"bilancio[213,2012]",-6.107525246e-06,bilancio
"bilancio[22,2012]",-5.425303298e-06,bilancio
"bilancio[23,2012]",-8.839636096e-06,bilancio
"bilancio[321,2012]",-9.966475238e-06,bilancio
"bilancio[327,2012]",-7.883308374e-06,bilancio
"bilancio[331,2012]",-6.368084045e-06,bilancio
"bilancio[332,2012]",-8.463649759e-06,bilancio
"bilancio[333,2012]",-7.234515265e-06,bilancio
"bilancio[334,2012]",-6.515929867e-06,bilancio
"bilancio[335,2012]",-7.067037948e-06,bilancio
"bilancio[3361MV,2012]",-6.92182811e-06,bilancio
"bilancio[3364OT,2012]",-6.109159949e-06,bilancio
"bilancio[337,2012]",-1.042456976e-05,bilancio
"bilancio[339,2012]",-7.585442435e-06,bilancio
"bilancio[311FT,2012]",-9.429444845e-06,bilancio
"bilancio[313TT,2012]",-9.383370083e-06,bilancio
"bilancio[315AL,2012]",-1.214079378e-05,bilancio
"bilancio[322,2012]",-7.425006216e-06,bilancio
"bilancio[323,2012]",-9.759243503e-06,bilancio
"bilancio[324,2012]",-5.351871313e-06,bilancio
"bilancio[325,2012]",-5.351871313e-06,bilancio
"bilancio[326,2012]",-7.583744102e-06,bilancio
"bilancio[42,2012]",-9.037186305e-06,bilancio
"bilancio[441,2012]",-1.197125977e-05,bilancio
"bilancio[445,2012]",-2.002122455e-05,bilancio
"bilancio[452,2012]",-2.213996831e-05,bilancio
"bilancio[4A0,2012]",-1.483386766e-05,bilancio
"bilancio[481,2012]",-6.427682238e-06,bilancio
"bilancio[482,2012]",-9.413825321e-06,bilancio
"bilancio[483,2012]",-9.037186305e-06,bilancio
"bilancio[484,2012]",-1.126818023e-05,bilancio
"bilancio[485,2012]",-1.113638642e-05,bilancio
"bilancio[486,2012]",-4.461017139e-06,bilancio
"bilancio[487OS,2012]",-1.03995648e-05,bilancio
"bilancio[493,2012]",-0.0001527375438,bilancio
"bilancio[511,2012]",-5.70039033e-06,bilancio
"bilancio[512,2012]",-1.037265597e-05,bilancio
"bilancio[513,2012]",-9.038217656e-06,bilancio
"bilancio[514,2012]",-6.464006356e-06,bilancio
"bilancio[521CI,2012]",-3.734696175e-05,bilancio
"bilancio[523,2012]",-9.578874295e-06,bilancio
"bilancio[524,2012]",-9.338488217e-06,bilancio
"bilancio[525,2012]",-9.037186305e-06,bilancio
"bilancio[HS,2012]",-9.037186305e-06,bilancio
"bilancio[ORE,2012]",-7.045481638e-06,bilancio
"bilancio[532RL,2012]",-1.100536081e-05,bilancio
"bilancio[5411,2012]",-5.990975092e-06,bilancio
"bilancio[5415,2012]",-7.322189093e-06,bilancio
"bilancio[5412OP,2012]",-7.528481618e-06,bilancio
"bilancio[55,2012]",-7.710321495e-06,bilancio
"bilancio[561,2012]",-1.298317914e-05,bilancio
"bilancio[562,2012]",-8.443986916e-06,bilancio
"bilancio[61,2012]",-1.103360105e-05,bilancio
"bilancio[621,2012]",-9.037448674e-06,bilancio
"bilancio[622,2012]",-9.775714568e-06,bilancio
"bilancio[623,2012]",-1.632872474e-05,bilancio
"bilancio[624,2012]",-1.781345279e-05,bilancio
"bilancio[711AS,2012]",-9.063047989e-06,bilancio
"bilancio[713,2012]",-1.171723902e-05,bilancio
"bilancio[721,2012]",-1.155992141e-05,bilancio
"bilancio[722,2012]",-1.566844931e-05,bilancio
"bilancio[81,2012]",-1.23699117e-05,bilancio
"bilancio[GFGD,2012]",-4.968341627e-06,bilancio
"bilancio[GFGN,2012]",-7.677128336e-06,bilancio
"bilancio[GFE,2012]",-1.058896282e-05,bilancio
"bilancio[GSLG,2012]",-9.772341288e-06,bilancio
"bilancio[GSLE,2012]",-8.091369348e-06,bilancio
"bilancio[111CA,2013]",-7.036051996e-06,bilancio
"bilancio[113FF,2013]",-1.549560866e-05,bilancio
"bilancio[211,2013]",-5.386748314e-06,bilancio
"bilancio[212,2013]",-5.585340595e-06,bilancio
"bilancio[213,2013]",-7.041701251e-06,bilancio
"bilancio[22,2013]",-5.909036134e-06,bilancio
"bilancio[23,2013]",-1.09667565e-05,bilancio
"bilancio[321,2013]",-1.207854334e-05,bilancio
"bilancio[327,2013]",-9.07897913e-06,bilancio
"bilancio[331,2013]",-6.578748567e-06,bilancio
"bilancio[332,2013]",-9.963128297e-06,bilancio
"bilancio[333,2013]",-8.382655286e-06,bilancio
"bilancio[334,2013]",-6.558533753e-06,bilancio
"bilancio[335,2013]",-7.883210871e-06,bilancio
"bilancio[3361MV,2013]",-7.67116676e-06,bilancio
