caso,variabile,anno,valore
osservato,produzione_lorda,2012,29232.151
osservato,consumo_privato,2012,11065.391
osservato,investimento_E,2012,979.968
osservato,investimento_S,2012,461.451
osservato,investimento_N,2012,655.697
osservato,investimento_R,2012,432.014
osservato,produzione_lorda,2013,29888.3702
osservato,consumo_privato,2013,11221.41039
osservato,investimento_E,2013,1040.300973
osservato,investimento_S,2013,467.9013577
osservato,investimento_N,2013,694.3590635
osservato,investimento_R,2013,486.640999
osservato,produzione_lorda,2014,30756.33925
osservato,consumo_privato,2014,11485.59399
osservato,investimento_E,2014,1120.873196
osservato,investimento_S,2014,519.2513389
osservato,investimento_N,2014,736.3419464
osservato,investimento_R,2014,508.1175307
osservato,produzione_lorda,2015,31442.76287
osservato,consumo_privato,2015,11875.06634
osservato,investimento_E,2015,1162.908353
osservato,investimento_S,2015,515.2587226
osservato,investimento_N,2015,771.8410725
osservato,investimento_R,2015,562.3000943
osservato,produzione_lorda,2016,32015.74003
osservato,consumo_privato,2016,12189.77949
osservato,investimento_E,2016,1160.192713
osservato,investimento_S,2016,494.6712135
osservato,investimento_N,2016,845.5307864
osservato,investimento_R,2016,602.4324513
osservato,stock_E,2012,5482.556292
osservato,stock_S,2012,12034.73719
osservato,stock_N,2012,2308.266901
osservato,stock_R,2012,16320.95131
osservato,stock_E,2013,5697.245
osservato,stock_S,2013,12111.938
osservato,stock_N,2013,2392.597
osservato,stock_R,2013,16352.383
osservato,stock_E,2014,5939.767384
osservato,stock_S,2014,12201.77995
osservato,stock_N,2014,2486.697176
osservato,stock_R,2014,16463.18883
osservato,stock_E,2015,6224.30194
osservato,stock_S,2015,12338.34192
osservato,stock_N,2015,2591.449439
osservato,stock_R,2015,16592.58793
osservato,stock_E,2016,6509.75935
osservato,stock_S,2016,12467.24791
osservato,stock_N,2016,2698.174801
osservato,stock_R,2016,16773.35508
osservato,stock_E,2017,6754.034715
osservato,stock_S,2017,12574.478
osservato,stock_N,2017,2838.099865
osservato,stock_R,2017,16989.36543
O2 taratura,produzione_lorda,2012,29374.1936
O2 taratura,consumo_privato,2012,11785.35275
O2 taratura,investimento_E,2012,613.589896
O2 taratura,investimento_S,2012,126.5307494
O2 taratura,investimento_N,2012,170.0257052
O2 taratura,investimento_R,2012,1330.874749
O2 taratura,produzione_lorda,2013,30729.55752
O2 taratura,consumo_privato,2013,12211.89078
O2 taratura,investimento_E,2013,798.924602
O2 taratura,investimento_S,2013,167.2840901
O2 taratura,investimento_N,2013,512.9931715
O2 taratura,investimento_R,2013,534.8548096
O2 taratura,produzione_lorda,2014,31402.14817
O2 taratura,consumo_privato,2014,12596.99274
O2 taratura,investimento_E,2014,914.0124242
O2 taratura,investimento_S,2014,37.36251109
O2 taratura,investimento_N,2014,947.878551
O2 taratura,investimento_R,2014,360.386587
O2 taratura,produzione_lorda,2015,32417.90988
O2 taratura,consumo_privato,2015,13151.62326
O2 taratura,investimento_E,2015,1465.203869
O2 taratura,investimento_S,2015,0
O2 taratura,investimento_N,2015,634.1191577
O2 taratura,investimento_R,2015,0
O2 taratura,produzione_lorda,2016,33321.91353
O2 taratura,consumo_privato,2016,13315.04934
O2 taratura,investimento_E,2016,2309.594565
O2 taratura,investimento_S,2016,0
O2 taratura,investimento_N,2016,1962.961217
O2 taratura,investimento_R,2016,0
O2 taratura,stock_E,2012,5482.556292
O2 taratura,stock_S,2012,12034.73719
O2 taratura,stock_N,2012,2308.266901
O2 taratura,stock_R,2012,16320.95131
O2 taratura,stock_E,2013,5330.568636
O2 taratura,stock_S,2013,11787.68338
O2 taratura,stock_N,2013,1900.560806
O2 taratura,stock_R,2013,17274.46051
O2 taratura,stock_E,2014,5387.972678
O2 taratura,stock_S,2014,11592.84022
O2 taratura,stock_N,2014,1953.004612
O2 taratura,stock_R,2014,17409.90318
O2 taratura,stock_E,2015,5533.105641
O2 taratura,stock_S,2015,11272.22228
O2 taratura,stock_N,2015,2417.694916
O2 taratura,stock_R,2015,17367.74598
O2 taratura,stock_E,2016,6200.174885
O2 taratura,stock_S,2016,10927.3517
O2 taratura,stock_N,2016,2420.073237
O2 taratura,stock_R,2016,16966.17693
O2 taratura,stock_E,2017,7544.390485
O2 taratura,stock_S,2017,10595.85327
O2 taratura,stock_N,2017,3680.245447
O2 taratura,stock_R,2017,16573.89278
O2 penalita,produzione_lorda,2012,29714.08885
O2 penalita,consumo_privato,2012,11636.40951
O2 penalita,investimento_E,2012,933.6184975
O2 penalita,investimento_S,2012,431.8441225
O2 penalita,investimento_N,2012,594.3949462
O2 penalita,investimento_R,2012,401.4471158
O2 penalita,produzione_lorda,2013,30866.54984
O2 penalita,consumo_privato,2013,12040.35803
O2 penalita,investimento_E,2013,978.0765212
O2 penalita,investimento_S,2013,447.4912078
O2 penalita,investimento_N,2013,625.6788907
O2 penalita,investimento_R,2013,407.9266452
O2 penalita,produzione_lorda,2014,31686.28229
O2 penalita,consumo_privato,2014,12345.12872
O2 penalita,investimento_E,2014,1022.534545
O2 penalita,investimento_S,2014,468.0565294
