anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28272.90347,11300.81368,3298.316228,690.5201211,490.5244681,544.7366734,414.9170341,2140.698297,2275.357009,2020.103644,120.5946526,-174.7397351,1600.844595,2131.091685,0,1.046042632,16169.50009,14149.39644,2848.582767
2011,29058.6104,11480.98125,3204.017473,723.4020316,513.8827761,516.0663222,434.6749881,2188.026118,2285.069764,1941.856436,246.1696817,-55.74371373,1737.959754,2281.33261,0,1.062719569,16370.95191,14429.09548,2948.114232
2012,29829.64418,11655.37728,3142.018,756.2839421,537.2410841,487.395971,450.3257774,2231.246775,2332.388586,1909.500412,321.7463623,81.67976081,1789.203,2359.7,0,1.078862272,16640.96662,14731.46621,3076.088935
2013,30566.12836,11934.09082,3066.668636,789.1658527,560.5993921,516.0663221,440.7895855,2306.621152,2395.967462,1915.526542,391.0946102,83.91911336,1813.000954,2314.001983,0,1.104660968,16979.64501,15064.11846,3130.02764
2014,31409.6509,12322.54286,3043.148649,822.0477632,583.9577001,544.7366734,446.2289921,2396.971129,2474.381988,1942.374281,454.596848,92.95618264,1861.772477,2400.943252,0,1.14061744,17393.8589,15451.48462,3128.941763
2015,31955.34373,12783.67768,3099.013496,854.9296737,607.3160081,573.4070246,465.9869461,2501.639653,2576.658235,1967.44407,534.1955821,97.89673553,1786.331162,2449.018461,0,1.183301684,17894.55885,15927.11478,3143.437097
2016,32661.03828,13114.30168,3153.230443,887.8115843,630.6743161,602.0773758,485.7449001,2606.308176,2683.650069,1997.313606,608.9945699,14.76917695,1792.891133,2422.09463,0,1.213905391,18336.74787,16339.43427,3225.132586
2017,33395.67555,13401.01946,3174.345219,920.6934948,654.0326242,630.7477271,505.5028541,2710.9767,2718.734238,2061.330328,649.6463719,65.48124267,1869.897522,2503.170818,0,1.240444986,18726.30686,16664.97654,3263.957075
2018,34435.50148,13916.91545,3247.706474,953.5754053,677.3909322,659.4180783,525.2608081,2815.645224,2702.482874,2148.858118,666.7871061,74.97693398,1924.276746,2597.656693,0,1.288198113,19268.70178,17119.84366,3202.928217
2019,34971.12792,14419.99171,3372.528694,986.4573158,700.7492402,688.0884295,545.0187621,2920.313748,2569.012104,2312.777597,607.5361509,38.282257,1937.66587,2611.710152,0,1.334764603,19725.77048,17412.99289,2993.001177
