anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28290.70345,11484.38711,3298.316228,624.7563,443.8078521,544.7366734,414.9170341,2028.21786,2150.726228,2020.103644,8.114215544,-227.0116226,1600.844595,2131.091685,0,1.063034828,16176.17085,14156.06721,2671.680098
2011,29302.31771,11691.8569,3204.017473,591.8743895,420.4495441,516.0663222,434.6749881,1963.065244,2033.080815,1935.664998,27.40024575,40.354142,1737.959754,2281.33261,0,1.082238953,16425.93647,14490.27147,2798.414577
2012,29630.76149,11957.62071,3142.018,558.992479,397.0912361,487.3959709,454.4329421,1897.912628,1971.966865,1919.316002,-21.40337438,44.993722,1789.203,2359.7,0,1.106838976,16546.1023,14626.7863,2669.165584
2013,30266.09499,12306.95751,3066.668636,541.5586966,373.7329281,469.925434,474.1908961,1859.407955,1924.047228,1904.744117,-45.33616258,60.87502301,1813.000954,2314.001983,0,1.139174806,16857.54737,14952.80325,2645.845741
2014,30929.08649,12630.91979,3043.148649,574.4406072,350.3746201,498.5957852,493.9488501,1917.359862,1964.144745,1935.683037,-18.3231748,70.39413094,1861.772477,2400.943252,0,1.169161882,17169.43654,15233.75351,2602.833712
2015,31685.05364,13070.77161,3099.013496,607.3225177,327.0163121,527.2661364,513.7068041,1975.31177,2007.961882,1952.49381,22.81796008,262.985843,1786.331162,2449.018461,0,1.209876096,17778.04553,15825.55172,2754.780111
2016,32438.04699,13426.29548,3153.230443,640.2044282,303.6580041,555.9364877,493.9488501,1993.74777,2028.055728,1985.534355,8.213415408,261.267953,1792.891133,2422.09463,0,1.242784622,18239.64611,16254.11175,2827.816272
2017,33051.95486,13859.32456,3174.345219,673.0863387,280.2996961,584.6068389,474.1908961,2012.18377,2019.436822,2027.745913,-15.56214328,163.486345,1869.897522,2503.170818,0,1.282867301,18583.31965,16555.57374,2696.249176
2018,33536.3067,14407.81367,3247.706474,640.2044282,256.9413881,613.2771901,476.6214849,1987.044491,1990.568595,2100.550749,-113.5062581,-117.97496,1924.276746,2597.656693,0,1.333637361,18854.73384,16754.18309,2346.369413
2019,33645.5414,14814.42201,3372.528694,607.3225177,233.58308,584.6068389,496.3794389,1921.891876,1726.615679,2141.682676,-219.7908006,-253.5378869,1937.66587,2545.197134,0,1.371274444,19052.49724,16910.81456,2096.392546
