vincolo,duale,famiglia
"bilancio[111CA,2010]",-1.041375379e-05,bilancio
"bilancio[113FF,2010]",-1.667787546e-05,bilancio
"bilancio[211,2010]",-5.521469839e-06,bilancio
"bilancio[212,2010]",-5.385421079e-06,bilancio
"bilancio[213,2010]",-8.99458979e-06,bilancio
"bilancio[22,2010]",-6.60433943e-06,bilancio
"bilancio[23,2010]",-1.19430162e-05,bilancio
"bilancio[321,2010]",-1.39510434e-05,bilancio
"bilancio[327,2010]",-1.039918968e-05,bilancio
"bilancio[331,2010]",-7.468366774e-06,bilancio
"bilancio[332,2010]",-1.089142038e-05,bilancio
"bilancio[333,2010]",-9.389433003e-06,bilancio
"bilancio[334,2010]",-7.651881151e-06,bilancio
"bilancio[335,2010]",-8.836687397e-06,bilancio
"bilancio[3361MV,2010]",-8.65667394e-06,bilancio
"bilancio[3364OT,2010]",-8.016515463e-06,bilancio
"bilancio[337,2010]",-1.414884137e-05,bilancio
"bilancio[339,2010]",-9.185211361e-06,bilancio
"bilancio[311FT,2010]",-9.603428494e-06,bilancio
"bilancio[313TT,2010]",-1.174015419e-05,bilancio
"bilancio[315AL,2010]",-1.576509582e-05,bilancio
"bilancio[322,2010]",-9.117551484e-06,bilancio
"bilancio[323,2010]",-1.317134343e-05,bilancio
"bilancio[324,2010]",-3.834118018e-06,bilancio
"bilancio[325,2010]",-5.521469839e-06,bilancio
"bilancio[326,2010]",-9.442769529e-06,bilancio
"bilancio[42,2010]",-9.010914669e-06,bilancio
"bilancio[441,2010]",-1.295010349e-05,bilancio
"bilancio[445,2010]",-1.95169613e-05,bilancio
"bilancio[452,2010]",-1.973333431e-05,bilancio
"bilancio[4A0,2010]",-1.598382022e-05,bilancio
"bilancio[481,2010]",-7.189921299e-06,bilancio
"bilancio[482,2010]",-7.393675549e-06,bilancio
"bilancio[483,2010]",-8.563160053e-06,bilancio
"bilancio[484,2010]",-1.210818798e-05,bilancio
"bilancio[485,2010]",-1.436982781e-05,bilancio
"bilancio[486,2010]",-5.484455312e-06,bilancio
"bilancio[487OS,2010]",-1.289928763e-05,bilancio
"bilancio[493,2010]",-1.525384077e-05,bilancio
"bilancio[511,2010]",-7.423038294e-06,bilancio
"bilancio[512,2010]",-1.063869903e-05,bilancio
"bilancio[513,2010]",-9.257391599e-06,bilancio
"bilancio[514,2010]",-7.343828109e-06,bilancio
"bilancio[521CI,2010]",-8.983343579e-06,bilancio
"bilancio[523,2010]",-7.432555948e-06,bilancio
"bilancio[524,2010]",-8.630162982e-06,bilancio
"bilancio[525,2010]",-8.60742715e-06,bilancio
"bilancio[HS,2010]",-9.256347921e-06,bilancio
"bilancio[ORE,2010]",-9.036769195e-06,bilancio
"bilancio[532RL,2010]",-7.772305903e-06,bilancio
"bilancio[5411,2010]",-8.105196632e-06,bilancio
"bilancio[5415,2010]",-1.061527145e-05,bilancio
"bilancio[5412OP,2010]",-1.011520922e-05,bilancio
"bilancio[55,2010]",-9.628910251e-06,bilancio
"bilancio[561,2010]",-1.931862578e-05,bilancio
"bilancio[562,2010]",-1.059797144e-05,bilancio
"bilancio[61,2010]",-1.587905352e-05,bilancio
"bilancio[621,2010]",-1.315214849e-05,bilancio
"bilancio[622,2010]",-1.404157056e-05,bilancio
"bilancio[623,2010]",-2.468184789e-05,bilancio
"bilancio[624,2010]",-2.395172968e-05,bilancio
"bilancio[711AS,2010]",-9.274709579e-06,bilancio
"bilancio[713,2010]",-1.647836294e-05,bilancio
"bilancio[721,2010]",-1.589503475e-05,bilancio
"bilancio[722,2010]",-2.21100452e-05,bilancio
"bilancio[81,2010]",-1.681740742e-05,bilancio
"bilancio[GFGD,2010]",-7.093671662e-06,bilancio
"bilancio[GFGN,2010]",-1.14217207e-05,bilancio
"bilancio[GFE,2010]",-1.297073335e-05,bilancio
"bilancio[GSLG,2010]",-1.391880752e-05,bilancio
"bilancio[GSLE,2010]",-1.150362501e-05,bilancio
"bilancio[111CA,2011]",-8.532304804e-06,bilancio
"bilancio[113FF,2011]",-1.532780339e-05,bilancio
"bilancio[211,2011]",-6.071811163e-06,bilancio
"bilancio[212,2011]",-7.037661004e-06,bilancio
"bilancio[213,2011]",-7.678078006e-06,bilancio
"bilancio[22,2011]",-6.231533531e-06,bilancio
"bilancio[23,2011]",-1.145295793e-05,bilancio
"bilancio[321,2011]",-1.298287488e-05,bilancio
"bilancio[327,2011]",-1.012708546e-05,bilancio
"bilancio[331,2011]",-8.050825551e-06,bilancio
"bilancio[332,2011]",-1.063121506e-05,bilancio
"bilancio[333,2011]",-9.081059946e-06,bilancio
"bilancio[334,2011]",-7.51763141e-06,bilancio
"bilancio[335,2011]",-9.038435923e-06,bilancio
"bilancio[3361MV,2011]",-8.583317107e-06,bilancio
"bilancio[3364OT,2011]",-7.807578613e-06,bilancio
"bilancio[337,2011]",-1.360804561e-05,bilancio
"bilancio[339,2011]",-9.233342115e-06,bilancio
"bilancio[311FT,2011]",-9.246728276e-06,bilancio
"bilancio[313TT,2011]",-1.180932816e-05,bilancio
"bilancio[315AL,2011]",-1.459462498e-05,bilancio
"bilancio[322,2011]",-9.202189834e-06,bilancio
"bilancio[323,2011]",-1.24457776e-05,bilancio
"bilancio[324,2011]",-5.054301708e-06,bilancio
"bilancio[325,2011]",-6.071811163e-06,bilancio
"bilancio[326,2011]",-9.497716169e-06,bilancio
"bilancio[42,2011]",-9.147276807e-06,bilancio
"bilancio[441,2011]",-1.334045158e-05,bilancio
"bilancio[445,2011]",-1.89415573e-05,bilancio
"bilancio[452,2011]",-1.945615356e-05,bilancio
"bilancio[4A0,2011]",-1.50946794e-05,bilancio
"bilancio[481,2011]",-7.347758262e-06,bilancio
"bilancio[482,2011]",-7.764836391e-06,bilancio
"bilancio[483,2011]",-8.354762557e-06,bilancio
"bilancio[484,2011]",-1.120249425e-05,bilancio
"bilancio[485,2011]",-1.321808304e-05,bilancio
"bilancio[486,2011]",-6.176386665e-06,bilancio
"bilancio[487OS,2011]",-1.22314098e-05,bilancio
"bilancio[493,2011]",-1.356847711e-05,bilancio
"bilancio[511,2011]",-6.789808673e-06,bilancio
"bilancio[512,2011]",-8.133539663e-06,bilancio
"bilancio[513,2011]",-7.066567405e-06,bilancio
"bilancio[514,2011]",-6.517388445e-06,bilancio
"bilancio[521CI,2011]",-7.975047395e-06,bilancio
"bilancio[523,2011]",-7.637354174e-06,bilancio
"bilancio[524,2011]",-8.138787337e-06,bilancio
"bilancio[525,2011]",-8.409964978e-06,bilancio
"bilancio[HS,2011]",-9.147276807e-06,bilancio
"bilancio[ORE,2011]",-7.878347772e-06,bilancio
"bilancio[532RL,2011]",-7.310471117e-06,bilancio
"bilancio[5411,2011]",-7.373703242e-06,bilancio
"bilancio[5415,2011]",-9.620677712e-06,bilancio
"bilancio[5412OP,2011]",-9.294921683e-06,bilancio
"bilancio[55,2011]",-8.987818231e-06,bilancio
"bilancio[561,2011]",-1.775292692e-05,bilancio
"bilancio[562,2011]",-1.07322914e-05,bilancio
"bilancio[61,2011]",-1.487493346e-05,bilancio
"bilancio[621,2011]",-1.225255129e-05,bilancio
"bilancio[622,2011]",-1.302848891e-05,bilancio
"bilancio[623,2011]",-2.280251308e-05,bilancio
"bilancio[624,2011]",-2.231281776e-05,bilancio
"bilancio[711AS,2011]",-7.83449843e-06,bilancio
"bilancio[713,2011]",-1.508040121e-05,bilancio
"bilancio[721,2011]",-1.4514711e-05,bilancio
"bilancio[722,2011]",-2.041460284e-05,bilancio
"bilancio[81,2011]",-1.569772082e-05,bilancio
"bilancio[GFGD,2011]",-6.515634479e-06,bilancio
"bilancio[GFGN,2011]",-1.049072863e-05,bilancio
"bilancio[GFE,2011]",-1.22348707e-05,bilancio
"bilancio[GSLG,2011]",-1.289917971e-05,bilancio
"bilancio[GSLE,2011]",-1.060018184e-05,bilancio
"bilancio[111CA,2012]",-6.39465534e-06,bilancio
"bilancio[113FF,2012]",-1.243665808e-05,bilancio
"bilancio[211,2012]",-3.087842467e-06,bilancio
"bilancio[212,2012]",-4.496095823e-06,bilancio
"bilancio[213,2012]",-5.211596833e-06,bilancio
"bilancio[22,2012]",-4.584050054e-06,bilancio
"bilancio[23,2012]",-8.77322526e-06,bilancio
"bilancio[321,2012]",-9.617912758e-06,bilancio
"bilancio[327,2012]",-7.436628905e-06,bilancio
"bilancio[331,2012]",-5.603311402e-06,bilancio
"bilancio[332,2012]",-8.016378903e-06,bilancio
"bilancio[333,2012]",-6.670235806e-06,bilancio
"bilancio[334,2012]",-5.913559544e-06,bilancio
"bilancio[335,2012]",-6.577875886e-06,bilancio
"bilancio[3361MV,2012]",-6.010786631e-06,bilancio
"bilancio[3364OT,2012]",-5.859774434e-06,bilancio
"bilancio[337,2012]",-1.005489166e-05,bilancio
"bilancio[339,2012]",-7.027558987e-06,bilancio
"bilancio[311FT,2012]",-6.94439844e-06,bilancio
"bilancio[313TT,2012]",-8.461399844e-06,bilancio
"bilancio[315AL,2012]",-1.222723801e-05,bilancio
"bilancio[322,2012]",-6.769237002e-06,bilancio
"bilancio[323,2012]",-9.485691125e-06,bilancio
"bilancio[324,2012]",-3.112322617e-06,bilancio
"bilancio[325,2012]",-4.264275624e-06,bilancio
"bilancio[326,2012]",-6.92632955e-06,bilancio
"bilancio[42,2012]",-7.02112597e-06,bilancio
"bilancio[441,2012]",-9.584745035e-06,bilancio
"bilancio[445,2012]",-1.525940951e-05,bilancio
"bilancio[452,2012]",-1.63779697e-05,bilancio
"bilancio[4A0,2012]",-1.166466227e-05,bilancio
"bilancio[481,2012]",-5.771965516e-06,bilancio
"bilancio[482,2012]",-6.114378294e-06,bilancio
"bilancio[483,2012]",-6.457392962e-06,bilancio
"bilancio[484,2012]",-8.825311016e-06,bilancio
"bilancio[485,2012]",-1.015493259e-05,bilancio
"bilancio[486,2012]",-4.564815399e-06,bilancio
"bilancio[487OS,2012]",-9.83963999e-06,bilancio
"bilancio[493,2012]",-1.031849428e-05,bilancio
"bilancio[511,2012]",-5.385059611e-06,bilancio
"bilancio[512,2012]",-5.557287047e-06,bilancio
"bilancio[513,2012]",-5.369685665e-06,bilancio
"bilancio[514,2012]",-6.062450636e-06,bilancio
"bilancio[521CI,2012]",-6.240129362e-06,bilancio
"bilancio[523,2012]",-5.302166009e-06,bilancio
"bilancio[524,2012]",-6.4818826e-06,bilancio
"bilancio[525,2012]",-6.064428873e-06,bilancio
"bilancio[HS,2012]",-9.037186305e-06,bilancio
"bilancio[ORE,2012]",-5.886463777e-06,bilancio
"bilancio[532RL,2012]",-5.769400367e-06,bilancio
"bilancio[5411,2012]",-6.036254636e-06,bilancio
"bilancio[5415,2012]",-7.321621541e-06,bilancio
"bilancio[5412OP,2012]",-7.315680938e-06,bilancio
"bilancio[55,2012]",-6.849425213e-06,bilancio
"bilancio[561,2012]",-1.406667463e-05,bilancio
"bilancio[562,2012]",-8.597286484e-06,bilancio
"bilancio[61,2012]",-1.182326774e-05,bilancio
"bilancio[621,2012]",-9.703830166e-06,bilancio
