anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28294.79077,11484.91475,3298.316228,624.7563,443.8078521,544.7366734,414.9170341,2028.21786,2152.483479,2020.103644,8.114215539,-225.2390955,1600.844595,2131.091685,0,1.063083667,16180.22827,14160.12462,2675.209876
2011,29335.37706,11708.4518,3204.017473,591.8743895,420.4495441,516.0663222,434.6749881,1963.065244,2032.412801,1942.356,20.70924367,41.19004496,1737.959754,2281.33261,0,1.083775034,16442.69926,14500.34326,2791.891464
2012,29638.38041,11965.17125,3142.018,558.992479,397.0912361,487.3959709,454.4329421,1897.912628,1971.973414,1927.442333,-29.52970519,44.74621504,1789.203,2359.7,0,1.10753788,16553.41188,14625.96955,2660.798296
2013,30298.13979,12295.60935,3066.668636,526.1105684,373.7329281,516.0663221,474.1908961,1890.100715,1952.474389,1913.459304,-23.35858911,58.05159113,1813.000954,2314.001983,0,1.13812438,16871.80294,14958.34363,2662.734284
2014,30933.87797,12608.06672,3043.148649,558.992479,350.3746201,544.7366734,493.9488501,1948.052622,1993.479436,1947.849769,0.2028534992,69.06071371,1861.772477,2400.943252,0,1.167046522,17174.58475,15226.73498,2618.668254
2015,31649.23899,13070.77262,3099.013496,591.8743895,327.0163121,573.4070246,513.7068041,2006.00453,2037.17241,1965.099361,40.9051688,223.9194263,1786.331162,2449.018461,0,1.209876189,17768.19065,15803.09129,2732.318672
2016,32378.29318,13426.14716,3153.230443,624.7563,303.6580041,602.0773758,514.6733275,2045.165007,2079.143703,1998.648628,46.51637971,195.1351561,1792.891133,2422.09463,0,1.242770893,18224.45296,16225.80434,2799.657178
2017,33136.78595,13791.9247,3174.345219,657.6382106,280.2996961,630.7477271,494.9153735,2063.601007,2062.749486,2044.190562,19.41044543,229.2740908,1869.897522,2503.170818,0,1.276628536,18625.0202,16580.82964,2788.904938
2018,33617.89908,14384.94417,3247.706474,638.2968938,256.9413881,659.4180783,475.1574195,2029.81378,2028.819308,2125.592437,-95.77865723,-84.50364125,1924.276746,2597.656693,0,1.33152048,18903.58636,16777.99392,2393.049757
2019,33800.46077,14848.83723,3372.528694,605.4149833,233.5830801,688.0884296,458.7196098,1985.806103,1791.970494,2182.42113,-196.6150277,-243.4129835,1937.66587,2551.06244,0,1.374460036,19156.52687,16974.10574,2125.268504
