anno,industria,x,x_oss
2010,111CA,415.6732562,410.635968
2010,113FF,44.66745885,47.97230405
2010,211,372.3081049,310.2504248
2010,212,130.4038263,122.5519868
2010,213,108.0966418,90.07869719
2010,22,526.462783,484.3502015
2010,23,1120.25252,1072.812018
2010,321,69.9669512,74.19156597
2010,327,91.86817088,95.87725762
2010,331,210.1328129,252.4715087
2010,332,281.082365,310.3419818
2010,333,237.7414515,333.6215223
2010,334,320.2620201,349.1128872
2010,335,122.4015377,113.7506109
2010,3361MV,370.2183735,450.373889
2010,3364OT,249.173658,258.369358
2010,337,45.76269378,59.88056791
2010,339,152.7963837,165.57078
2010,311FT,890.4477842,901.9630011
2010,313TT,50.28151974,54.22248795
2010,315AL,8.780570812,24.45383947
2010,322,172.8153578,175.7695379
2010,323,85.36368559,85.58333584
2010,324,977.4526843,794.8962343
2010,325,887.2451819,789.840828
2010,326,192.6562545,203.1143406
2010,42,1444.677137,1431.256907
2010,441,199.0567696,203.930149
2010,445,215.1620262,215.2000665
2010,452,230.8089066,231.4790434
2010,4A0,704.9707453,711.8769266
2010,481,195.4832788,183.2040915
2010,482,74.02723335,74.83133139
2010,483,50.34937716,47.2954469
2010,484,260.5096842,274.2471601
2010,485,48.435102,48.13693776
2010,486,35.5715569,33.19677558
2010,487OS,183.0178916,182.0347979
2010,493,84.64707,85.26549403
2010,511,301.6587782,288.8876666
2010,512,154.4849883,132.338888
2010,513,717.0946778,692.5783474
2010,514,165.3332758,163.9690117
2010,521CI,778.6319896,723.1898399
2010,523,552.4723328,496.4579255
2010,524,753.724292,679.690766
2010,525,141.6953445,118.6887055
2010,HS,1743.514628,1709.351405
2010,ORE,829.3484794,813.7397603
2010,532RL,290.2755167,277.3149204
2010,5411,328.7845218,305.5937754
2010,5415,239.2586604,304.0280435
2010,5412OP,1047.340624,1055.164244
2010,55,425.8193155,429.75256
2010,561,602.3839141,601.835638
2010,562,86.84969114,86.06860898
2010,61,307.3043689,308.004095
2010,621,825.6410979,825.6834837
2010,622,660.4247599,660.9254589
2010,623,202.7499657,202.752989
2010,624,170.0352811,170.038702
2010,711AS,156.3867379,138.1331143
2010,713,117.8289761,117.744059
2010,721,195.7699753,195.0397039
