vincolo,duale,famiglia
"bilancio[111CA,2010]",-1.053291353e-05,bilancio
"bilancio[113FF,2010]",-1.661622531e-05,bilancio
"bilancio[211,2010]",-5.500960697e-06,bilancio
"bilancio[212,2010]",-5.360847302e-06,bilancio
"bilancio[213,2010]",-8.97972091e-06,bilancio
"bilancio[22,2010]",-6.574037797e-06,bilancio
"bilancio[23,2010]",-1.188746138e-05,bilancio
"bilancio[321,2010]",-1.388740148e-05,bilancio
"bilancio[327,2010]",-1.035074413e-05,bilancio
"bilancio[331,2010]",-7.434045511e-06,bilancio
"bilancio[332,2010]",-1.084044457e-05,bilancio
"bilancio[333,2010]",-9.345771206e-06,bilancio
"bilancio[334,2010]",-7.61617221e-06,bilancio
"bilancio[335,2010]",-8.795507275e-06,bilancio
"bilancio[3361MV,2010]",-8.617489942e-06,bilancio
"bilancio[3364OT,2010]",-7.979158448e-06,bilancio
"bilancio[337,2010]",-1.408254988e-05,bilancio
"bilancio[339,2010]",-9.142858906e-06,bilancio
"bilancio[311FT,2010]",-9.6053344e-06,bilancio
"bilancio[313TT,2010]",-1.169638837e-05,bilancio
"bilancio[315AL,2010]",-1.56919846e-05,bilancio
"bilancio[322,2010]",-9.075865407e-06,bilancio
"bilancio[323,2010]",-1.310955431e-05,bilancio
"bilancio[324,2010]",-3.819119519e-06,bilancio
"bilancio[325,2010]",-5.500960697e-06,bilancio
"bilancio[326,2010]",-9.40009863e-06,bilancio
"bilancio[42,2010]",-8.969146976e-06,bilancio
"bilancio[441,2010]",-1.288893281e-05,bilancio
"bilancio[445,2010]",-1.942494539e-05,bilancio
"bilancio[452,2010]",-1.963863732e-05,bilancio
"bilancio[4A0,2010]",-1.590804816e-05,bilancio
"bilancio[481,2010]",-7.156379866e-06,bilancio
"bilancio[482,2010]",-7.359363267e-06,bilancio
"bilancio[483,2010]",-8.52347033e-06,bilancio
"bilancio[484,2010]",-1.205072698e-05,bilancio
"bilancio[485,2010]",-1.43011051e-05,bilancio
"bilancio[486,2010]",-5.460071381e-06,bilancio
"bilancio[487OS,2010]",-1.283783501e-05,bilancio
"bilancio[493,2010]",-1.518091881e-05,bilancio
"bilancio[511,2010]",-7.388673716e-06,bilancio
"bilancio[512,2010]",-1.11482861e-05,bilancio
"bilancio[513,2010]",-9.25739733e-06,bilancio
"bilancio[514,2010]",-7.310810614e-06,bilancio
"bilancio[521CI,2010]",-8.941445256e-06,bilancio
"bilancio[523,2010]",-7.398586291e-06,bilancio
"bilancio[524,2010]",-8.589048317e-06,bilancio
"bilancio[525,2010]",-8.568310386e-06,bilancio
"bilancio[HS,2010]",-9.256347921e-06,bilancio
"bilancio[ORE,2010]",-8.99494742e-06,bilancio
"bilancio[532RL,2010]",-7.738042125e-06,bilancio
"bilancio[5411,2010]",-8.067357896e-06,bilancio
"bilancio[5415,2010]",-1.056592472e-05,bilancio
"bilancio[5412OP,2010]",-1.00712358e-05,bilancio
"bilancio[55,2010]",-9.584058046e-06,bilancio
"bilancio[561,2010]",-1.922655715e-05,bilancio
"bilancio[562,2010]",-1.054804539e-05,bilancio
"bilancio[61,2010]",-1.580473483e-05,bilancio
"bilancio[621,2010]",-1.308953197e-05,bilancio
"bilancio[622,2010]",-1.397532209e-05,bilancio
"bilancio[623,2010]",-2.456440507e-05,bilancio
"bilancio[624,2010]",-2.383963082e-05,bilancio
"bilancio[711AS,2010]",-9.274810407e-06,bilancio
"bilancio[713,2010]",-1.640394615e-05,bilancio
"bilancio[721,2010]",-1.582127715e-05,bilancio
"bilancio[722,2010]",-2.200853063e-05,bilancio
"bilancio[81,2010]",-1.673772012e-05,bilancio
"bilancio[GFGD,2010]",-7.062605919e-06,bilancio
"bilancio[GFGN,2010]",-1.136905278e-05,bilancio
"bilancio[GFE,2010]",-1.290965177e-05,bilancio
"bilancio[GSLG,2010]",-1.385418238e-05,bilancio
"bilancio[GSLE,2010]",-1.14499238e-05,bilancio
"bilancio[111CA,2011]",-8.61252098e-06,bilancio
"bilancio[113FF,2011]",-1.513772144e-05,bilancio
"bilancio[211,2011]",-6.183678944e-06,bilancio
"bilancio[212,2011]",-6.335643548e-06,bilancio
"bilancio[213,2011]",-7.456737784e-06,bilancio
