anno,industria,x,x_oss
2012,111CA,426.8869924,404.166
2012,113FF,44.7805275,46.892
2012,211,415.2701432,362.616
2012,212,120.6294234,124.611
2012,213,72.39412729,126.19
2012,22,504.8767643,461.578
2012,23,1114.343605,1075.477
2012,321,75.85266235,80.398
2012,327,96.86611035,99.294
2012,331,234.2328983,269.218
2012,332,318.4276102,343.079
2012,333,343.5623079,404.552
2012,334,326.8632718,354.253
2012,335,117.5499214,122.794
2012,3361MV,466.8470891,516.699
2012,3364OT,311.7226096,290.815
2012,337,55.04374426,65.729
2012,339,137.5674859,156.592
2012,311FT,912.9359815,895.874
2012,313TT,49.00375287,51.802
2012,315AL,3.99335722,19.244
2012,322,178.7840181,179.235
2012,323,82.65230003,83.081
2012,324,1001.874628,833.174
2012,325,1030.15312,794.029
2012,326,210.0411765,216.486
2012,42,1684.25868,1655.028
2012,441,220.2237281,221.875
2012,445,207.8521321,207.679
2012,452,210.7864675,210.838
2012,4A0,762.1868806,763.319
2012,481,208.163926,195.415
2012,482,79.09379021,79.141
2012,483,52.81448279,50.023
2012,484,292.8553749,297.774
2012,485,51.13985323,50.992
2012,486,39.58872577,36.442
2012,487OS,190.3364829,187.233
2012,493,108.888,108.888
2012,511,306.328859,296.233
2012,512,155.6624675,131.699
2012,513,768.9553333,733.128
2012,514,224.4737691,221.543
2012,521CI,767.9879113,761.619
2012,523,499.7011116,478.47
2012,524,825.0670347,798.591
2012,525,139.4665839,117.259
2012,HS,1741.231952,1726.663
2012,ORE,890.5479944,889.093
2012,532RL,300.5693229,298.617
2012,5411,325.7270895,306.935
2012,5415,302.9230854,354.223
2012,5412OP,1109.952653,1123.861
2012,55,481.5775821,478.846
2012,561,662.2424158,661.562
2012,562,84.62311719,83.564
2012,61,309.046806,309.61
2012,621,869.1585596,869.254
2012,622,708.8694837,709.379
2012,623,208.9771774,208.979
2012,624,169.6780086,169.679
2012,711AS,161.0430356,144.767
2012,713,119.9008156,119.836
2012,721,215.2652087,214.978
2012,722,614.7384319,613.983
2012,81,577.0454534,576.029
2012,GFGD,675.6860347,676.303
2012,GFGN,369.860763,370.378
2012,GFE,101.2173144,98.913
2012,GSLG,1950.610918,1947.062
2012,GSLE,314.6084003,298.57
2013,111CA,444.2753034,420.0646127
2013,113FF,47.04432542,48.1981787
2013,211,705.018653,391.494883
2013,212,131.4337631,118.9735655
2013,213,299.2964546,125.8668437
2013,22,513.3983593,466.0971225
2013,23,821.2704155,1128.512488
2013,321,72.13905724,83.89403777
2013,327,92.87532307,102.9350132
2013,331,251.4104392,278.3293753
2013,332,320.2506459,348.5399126
2013,333,332.7399875,391.446297
2013,334,338.5666744,355.2192175
2013,335,113.2576771,123.7550645
2013,3361MV,534.8681302,550.3998909
2013,3364OT,280.3743681,299.0793759
2013,337,52.93883986,66.59806607
2013,339,164.343374,165.9540944
2013,311FT,1013.723167,913.0265358
2013,313TT,50.63657401,53.18469398
2013,315AL,2.641304237,18.89724949
2013,322,181.8803344,179.9165585
2013,323,82.90145227,82.72247182
2013,324,1052.147148,863.2053806
2013,325,918.5607741,823.2479886
2013,326,214.2171325,219.7654445
2013,42,1803.041234,1721.203425
2013,441,243.7066241,245.1925543
2013,445,208.5754635,207.6042028
2013,452,214.5505673,215.2028244
2013,4A0,779.7925069,799.0861312
2013,481,218.2284911,202.4961396
2013,482,82.77336743,80.11151624
2013,483,54.57315105,50.56052114
2013,484,300.760728,304.5854531
