vincolo,duale,famiglia
"bilancio[111CA,2012]",-1.174702844e-05,bilancio
"bilancio[113FF,2012]",-1.374672426e-05,bilancio
"bilancio[211,2012]",-5.558350338e-06,bilancio
"bilancio[212,2012]",-5.773779214e-06,bilancio
"bilancio[213,2012]",-6.661213247e-06,bilancio
"bilancio[22,2012]",-5.784524719e-06,bilancio
"bilancio[23,2012]",-9.964762466e-06,bilancio
"bilancio[321,2012]",-1.110719405e-05,bilancio
"bilancio[327,2012]",-8.699219001e-06,bilancio
"bilancio[331,2012]",-6.850409915e-06,bilancio
"bilancio[332,2012]",-9.364268708e-06,bilancio
"bilancio[333,2012]",-7.945030201e-06,bilancio
"bilancio[334,2012]",-6.858511296e-06,bilancio
"bilancio[335,2012]",-7.790227362e-06,bilancio
"bilancio[3361MV,2012]",-7.481622507e-06,bilancio
"bilancio[3364OT,2012]",-6.811084213e-06,bilancio
"bilancio[337,2012]",-1.164050911e-05,bilancio
"bilancio[339,2012]",-8.29023205e-06,bilancio
"bilancio[311FT,2012]",-9.407467575e-06,bilancio
"bilancio[313TT,2012]",-1.023316723e-05,bilancio
"bilancio[315AL,2012]",-1.382509738e-05,bilancio
"bilancio[322,2012]",-8.08274931e-06,bilancio
"bilancio[323,2012]",-1.091362629e-05,bilancio
"bilancio[324,2012]",-4.957494004e-06,bilancio
"bilancio[325,2012]",-5.558350338e-06,bilancio
"bilancio[326,2012]",-8.310472123e-06,bilancio
"bilancio[42,2012]",-9.037186305e-06,bilancio
"bilancio[441,2012]",-1.218378938e-05,bilancio
"bilancio[445,2012]",-2.026940345e-05,bilancio
"bilancio[452,2012]",-2.199942203e-05,bilancio
"bilancio[4A0,2012]",-1.504346149e-05,bilancio
"bilancio[481,2012]",-6.962138817e-06,bilancio
"bilancio[482,2012]",-9.048911514e-06,bilancio
"bilancio[483,2012]",-9.037186305e-06,bilancio
"bilancio[484,2012]",-1.149255982e-05,bilancio
"bilancio[485,2012]",-1.223720455e-05,bilancio
"bilancio[486,2012]",-4.745227745e-06,bilancio
"bilancio[487OS,2012]",-1.144970477e-05,bilancio
"bilancio[493,2012]",-0.0001031960379,bilancio
"bilancio[511,2012]",-6.213158759e-06,bilancio
"bilancio[512,2012]",-1.131196106e-05,bilancio
"bilancio[513,2012]",-9.038159872e-06,bilancio
"bilancio[514,2012]",-6.989786398e-06,bilancio
"bilancio[521CI,2012]",-2.929151397e-05,bilancio
"bilancio[523,2012]",-9.037692516e-06,bilancio
"bilancio[524,2012]",-9.321607021e-06,bilancio
"bilancio[525,2012]",-8.980215711e-06,bilancio
"bilancio[HS,2012]",-9.037186305e-06,bilancio
"bilancio[ORE,2012]",-7.502565846e-06,bilancio
"bilancio[532RL,2012]",-1.016581007e-05,bilancio
"bilancio[5411,2012]",-6.779743976e-06,bilancio
"bilancio[5415,2012]",-8.233164109e-06,bilancio
"bilancio[5412OP,2012]",-8.412050134e-06,bilancio
"bilancio[55,2012]",-8.320318614e-06,bilancio
"bilancio[561,2012]",-1.513778852e-05,bilancio
"bilancio[562,2012]",-9.551534441e-06,bilancio
"bilancio[61,2012]",-1.27853315e-05,bilancio
"bilancio[621,2012]",-1.050450329e-05,bilancio
"bilancio[622,2012]",-1.122905577e-05,bilancio
"bilancio[623,2012]",-1.921862791e-05,bilancio
"bilancio[624,2012]",-2.095271191e-05,bilancio
"bilancio[711AS,2012]",-9.061599023e-06,bilancio
"bilancio[713,2012]",-1.33059198e-05,bilancio
"bilancio[721,2012]",-1.297786313e-05,bilancio
"bilancio[722,2012]",-1.79702613e-05,bilancio
"bilancio[81,2012]",-1.388819141e-05,bilancio
"bilancio[GFGD,2012]",-5.644524959e-06,bilancio
"bilancio[GFGN,2012]",-8.928463808e-06,bilancio
"bilancio[GFE,2012]",-1.153703239e-05,bilancio
"bilancio[GSLG,2012]",-1.124155419e-05,bilancio
"bilancio[GSLE,2012]",-9.037186305e-06,bilancio
"bilancio[111CA,2013]",-7.26307386e-06,bilancio
"bilancio[113FF,2013]",-1.6127998e-05,bilancio
"bilancio[211,2013]",-5.592424479e-06,bilancio
"bilancio[212,2013]",-5.801817717e-06,bilancio
"bilancio[213,2013]",-7.299081072e-06,bilancio
"bilancio[22,2013]",-6.14193213e-06,bilancio
"bilancio[23,2013]",-1.141343708e-05,bilancio
"bilancio[321,2013]",-1.256895304e-05,bilancio
"bilancio[327,2013]",-9.441446328e-06,bilancio
"bilancio[331,2013]",-6.834631649e-06,bilancio
"bilancio[332,2013]",-1.036733503e-05,bilancio
"bilancio[333,2013]",-8.716971006e-06,bilancio
"bilancio[334,2013]",-6.826007448e-06,bilancio
"bilancio[335,2013]",-8.197657897e-06,bilancio
"bilancio[3361MV,2013]",-7.970095341e-06,bilancio
"bilancio[3364OT,2013]",-7.548435868e-06,bilancio
"bilancio[337,2013]",-1.291413783e-05,bilancio
"bilancio[339,2013]",-9.096039031e-06,bilancio
"bilancio[311FT,2013]",-8.484030462e-06,bilancio
"bilancio[313TT,2013]",-1.082775584e-05,bilancio
"bilancio[315AL,2013]",-1.571985559e-05,bilancio
"bilancio[322,2013]",-8.668974156e-06,bilancio
"bilancio[323,2013]",-1.204061348e-05,bilancio
"bilancio[324,2013]",-4.727204692e-06,bilancio
"bilancio[325,2013]",-5.592424479e-06,bilancio
"bilancio[326,2013]",-9.187493098e-06,bilancio
"bilancio[42,2013]",-8.564317818e-06,bilancio
"bilancio[441,2013]",-1.117655829e-05,bilancio
"bilancio[445,2013]",-1.979779618e-05,bilancio
"bilancio[452,2013]",-2.06551992e-05,bilancio
"bilancio[4A0,2013]",-1.466155684e-05,bilancio
"bilancio[481,2013]",-7.253183677e-06,bilancio
"bilancio[482,2013]",-7.341326715e-06,bilancio
"bilancio[483,2013]",-7.565403141e-06,bilancio
"bilancio[484,2013]",-1.139844099e-05,bilancio
"bilancio[485,2013]",-1.30562814e-05,bilancio
"bilancio[486,2013]",-6.136210109e-06,bilancio
"bilancio[487OS,2013]",-1.265889149e-05,bilancio
"bilancio[493,2013]",-1.346966285e-05,bilancio
"bilancio[511,2013]",-6.489767226e-06,bilancio
"bilancio[512,2013]",-9.749843983e-06,bilancio
"bilancio[513,2013]",-7.32638703e-06,bilancio
"bilancio[514,2013]",-6.827721948e-06,bilancio
"bilancio[521CI,2013]",-8.670847377e-06,bilancio
"bilancio[523,2013]",-7.288019945e-06,bilancio
"bilancio[524,2013]",-8.448042681e-06,bilancio
"bilancio[525,2013]",-8.024268933e-06,bilancio
"bilancio[HS,2013]",-8.911535767e-06,bilancio
"bilancio[ORE,2013]",-7.501793486e-06,bilancio
"bilancio[532RL,2013]",-7.629607809e-06,bilancio
"bilancio[5411,2013]",-7.876930856e-06,bilancio
"bilancio[5415,2013]",-9.429205187e-06,bilancio
"bilancio[5412OP,2013]",-9.567080193e-06,bilancio
"bilancio[55,2013]",-8.948740913e-06,bilancio
"bilancio[561,2013]",-1.826348696e-05,bilancio
"bilancio[562,2013]",-1.106754612e-05,bilancio
"bilancio[61,2013]",-1.555667157e-05,bilancio
"bilancio[621,2013]",-1.268898626e-05,bilancio
"bilancio[622,2013]",-1.33506939e-05,bilancio
"bilancio[623,2013]",-2.302803528e-05,bilancio
"bilancio[624,2013]",-2.659796874e-05,bilancio
"bilancio[711AS,2013]",-8.38320384e-06,bilancio
"bilancio[713,2013]",-1.51714339e-05,bilancio
"bilancio[721,2013]",-1.45761965e-05,bilancio
"bilancio[722,2013]",-2.11999305e-05,bilancio
"bilancio[81,2013]",-1.555089933e-05,bilancio
"bilancio[GFGD,2013]",-6.40993837e-06,bilancio
"bilancio[GFGN,2013]",-1.063441962e-05,bilancio
"bilancio[GFE,2013]",-1.2543863e-05,bilancio
"bilancio[GSLG,2013]",-1.306646575e-05,bilancio
"bilancio[GSLE,2013]",-9.953549367e-06,bilancio
"bilancio[111CA,2014]",-8.591577339e-06,bilancio
"bilancio[113FF,2014]",-1.479340125e-05,bilancio
"bilancio[211,2014]",-5.488659105e-06,bilancio
"bilancio[212,2014]",-5.683321086e-06,bilancio
"bilancio[213,2014]",-6.957231239e-06,bilancio
"bilancio[22,2014]",-6.027293699e-06,bilancio
"bilancio[23,2014]",-1.068089288e-05,bilancio
"bilancio[321,2014]",-1.275329704e-05,bilancio
"bilancio[327,2014]",-9.192877048e-06,bilancio
"bilancio[331,2014]",-6.6599564e-06,bilancio
"bilancio[332,2014]",-1.003894238e-05,bilancio
"bilancio[333,2014]",-8.585512263e-06,bilancio
"bilancio[334,2014]",-7.173043067e-06,bilancio
"bilancio[335,2014]",-8.208741593e-06,bilancio
"bilancio[3361MV,2014]",-8.160197073e-06,bilancio
"bilancio[3364OT,2014]",-7.547146709e-06,bilancio
"bilancio[337,2014]",-1.229196526e-05,bilancio
"bilancio[339,2014]",-8.999800433e-06,bilancio
"bilancio[311FT,2014]",-8.952067385e-06,bilancio
"bilancio[313TT,2014]",-1.023536026e-05,bilancio
"bilancio[315AL,2014]",-1.463481367e-05,bilancio
"bilancio[322,2014]",-8.613942158e-06,bilancio
"bilancio[323,2014]",-1.121480611e-05,bilancio
"bilancio[324,2014]",-4.560767208e-06,bilancio
"bilancio[325,2014]",-5.603240346e-06,bilancio
"bilancio[326,2014]",-9.180270075e-06,bilancio
"bilancio[42,2014]",-8.538445686e-06,bilancio
"bilancio[441,2014]",-1.115961786e-05,bilancio
"bilancio[445,2014]",-1.905787683e-05,bilancio
"bilancio[452,2014]",-1.935239944e-05,bilancio
"bilancio[4A0,2014]",-1.376307471e-05,bilancio
"bilancio[481,2014]",-6.501175852e-06,bilancio
"bilancio[482,2014]",-7.590878943e-06,bilancio
"bilancio[483,2014]",-7.450207444e-06,bilancio
"bilancio[484,2014]",-1.046392372e-05,bilancio
"bilancio[485,2014]",-1.187440554e-05,bilancio
"bilancio[486,2014]",-5.85729858e-06,bilancio
"bilancio[487OS,2014]",-1.192064272e-05,bilancio
"bilancio[493,2014]",-1.266195879e-05,bilancio
"bilancio[511,2014]",-6.369033295e-06,bilancio
"bilancio[512,2014]",-7.345436924e-06,bilancio
"bilancio[513,2014]",-6.773563164e-06,bilancio
"bilancio[514,2014]",-6.97944163e-06,bilancio
"bilancio[521CI,2014]",-7.775469007e-06,bilancio
"bilancio[523,2014]",-7.51402666e-06,bilancio
"bilancio[524,2014]",-7.121162246e-06,bilancio
"bilancio[525,2014]",-7.614130914e-06,bilancio
"bilancio[HS,2014]",-8.706558849e-06,bilancio
"bilancio[ORE,2014]",-7.01281106e-06,bilancio
"bilancio[532RL,2014]",-7.176463524e-06,bilancio
"bilancio[5411,2014]",-7.284886058e-06,bilancio
"bilancio[5415,2014]",-8.834454027e-06,bilancio
"bilancio[5412OP,2014]",-8.810521509e-06,bilancio
"bilancio[55,2014]",-7.99292883e-06,bilancio
"bilancio[561,2014]",-1.637692993e-05,bilancio
"bilancio[562,2014]",-1.049242991e-05,bilancio
"bilancio[61,2014]",-1.431813575e-05,bilancio
"bilancio[621,2014]",-1.159720686e-05,bilancio
"bilancio[622,2014]",-1.212248044e-05,bilancio
"bilancio[623,2014]",-2.078292837e-05,bilancio
"bilancio[624,2014]",-2.415732541e-05,bilancio
"bilancio[711AS,2014]",-7.167003137e-06,bilancio
"bilancio[713,2014]",-1.448394414e-05,bilancio
"bilancio[721,2014]",-1.357855542e-05,bilancio
"bilancio[722,2014]",-1.942923056e-05,bilancio
"bilancio[81,2014]",-1.444768087e-05,bilancio
"bilancio[GFGD,2014]",-5.823972802e-06,bilancio
